Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11,Feature log2 fold change topic 11,Feature count topic 12,Feature log2 fold change topic 12,Feature count topic 13,Feature log2 fold change topic 13
ENSG00000228794,LINC01128,5,-2.2789,28,0.34155,14,-0.6633,16,-0.5047,37,0.80453,22,-0.0230,28,0.35521,29,0.39750,26,0.21102,26,0.25929,34,0.66413,18,-0.3029,7,-1.6733
ENSG00000187634,SAMD11,17,-0.6505,15,-0.8245,76,1.71910,22,-0.3274,11,-1.3484,6,-2.1775,30,0.16404,3,-2.9953,16,-0.7900,62,1.36116,44,0.77531,26,-0.0353,21,-0.4044
ENSG00000188976,NOC2L,54,0.25945,55,0.27750,48,0.07651,56,0.30803,68,0.61569,53,0.23944,52,0.18977,44,-0.0590,37,-0.3371,44,-0.0610,33,-0.5172,25,-0.9063,27,-0.7843
ENSG00000188290,HES4,129,-0.4056,445,1.61979,180,0.11131,102,-0.7672,55,-1.6864,130,-0.3901,77,-1.1854,112,-0.6158,99,-0.8099,69,-1.3494,150,-0.1748,120,-0.5085,512,1.87889
ENSG00000187608,ISG15,32,-1.6420,311,1.97289,68,-0.5422,41,-1.3050,34,-1.5715,77,-0.3569,78,-0.3352,66,-0.5881,39,-1.3714,121,0.34986,114,0.25422,32,-1.6702,245,1.53729
ENSG00000188157,AGRN,24,0.57059,28,0.81042,0,-6.1959,1,-3.9281,18,0.07818,45,1.61413,13,-0.3309,14,-0.2722,19,0.21781,1,-4.2019,6,-1.5187,11,-0.5820,38,1.30888
ENSG00000078808,SDF4,120,-0.0551,201,0.75849,72,-0.8319,111,-0.1848,150,0.28722,139,0.17609,99,-0.3613,170,0.49506,92,-0.4665,135,0.11923,116,-0.1056,111,-0.1732,104,-0.2802
ENSG00000176022,B3GALT6,6,-3.0576,34,-0.5812,27,-0.9597,48,-0.0648,81,0.76649,58,0.21646,80,0.74502,65,0.41852,40,-0.3320,65,0.40969,68,0.47592,45,-0.1613,34,-0.5952
ENSG00000160087,UBE2J2,45,-0.3669,93,0.75513,38,-0.6264,56,-0.0547,56,-0.0469,35,-0.7686,86,0.64427,66,0.21435,63,0.15221,58,0.00168,46,-0.3524,46,-0.3376,61,0.07965
ENSG00000131584,ACAP3,51,-0.3147,66,0.08997,27,-1.2572,51,-0.3153,107,0.86112,57,-0.1220,122,1.07888,50,-0.3462,27,-1.2497,66,0.09544,42,-0.6106,91,0.60555,53,-0.2475
ENSG00000127054,INTS11,80,0.36421,102,0.75035,35,-0.8882,49,-0.4023,87,0.50295,55,-0.2193,71,0.16751,74,0.24036,49,-0.4053,80,0.36757,46,-0.4870,52,-0.2991,45,-0.5363
ENSG00000107404,DVL1,45,-0.0698,48,0.02073,36,-0.3931,36,-0.3858,73,0.70739,65,0.51620,58,0.32308,48,0.04351,33,-0.5462,40,-0.2408,33,-0.5565,56,0.28733,39,-0.3019
ENSG00000162576,MXRA8,69,1.42217,148,2.93299,0,-6.9719,14,-1.0644,40,0.51716,14,-1.0940,7,-2.0211,7,-2.0600,2,-3.8539,6,-2.2850,17,-0.8315,26,-0.1436,26,-0.1848
ENSG00000175756,AURKAIP1,211,0.41735,207,0.38668,245,0.65998,140,-0.2252,99,-0.7516,167,0.05242,153,-0.0826,156,-0.0599,208,0.39609,124,-0.4105,116,-0.5141,137,-0.2537,140,-0.2204
ENSG00000221978,CCNL2,25,-1.6054,198,1.64490,32,-1.2333,44,-0.7655,81,0.16197,62,-0.2457,114,0.69899,81,0.14811,76,0.04679,64,-0.1993,44,-0.7843,44,-0.7770,87,0.27425
ENSG00000242485,MRPL20,109,-0.9248,223,0.17263,68,-1.6185,244,0.31441,220,0.14598,194,-0.0466,210,0.07210,154,-0.4025,221,0.15364,249,0.34644,315,0.72188,173,-0.2270,221,0.15491
ENSG00000235098,ANKRD65,1,-3.5504,10,-1.0923,8,-1.2978,17,-0.2962,40,1.07726,26,0.39443,33,0.75796,37,0.96978,13,-0.6743,14,-0.5898,16,-0.3133,44,1.24455,4,-2.2633
ENSG00000179403,VWA1,66,0.59741,133,1.79946,4,-3.5434,16,-1.5396,38,-0.2666,17,-1.4306,38,-0.2863,37,-0.3272,26,-0.8588,12,-1.9169,16,-1.5180,153,2.05752,33,-0.4942
ENSG00000160072,ATAD3B,17,0.06264,52,1.89953,0,-5.4513,16,-0.0054,41,1.45762,17,0.01167,18,0.10792,12,-0.4734,3,-2.2421,10,-0.6714,12,-0.4179,11,-0.6527,5,-1.6800
ENSG00000197785,ATAD3A,21,0.15651,32,0.85162,0,-6.2558,21,0.16697,13,-0.5560,24,0.37488,26,0.49693,32,0.85210,7,-1.4712,17,-0.1816,35,1.00081,12,-0.6239,4,-2.1328
ENSG00000205090,TMEM240,5,-2.3054,22,-0.1055,20,-0.3037,36,0.62836,30,0.35576,25,0.07022,30,0.36352,41,0.85796,27,0.18470,25,0.05292,28,0.26792,10,-1.3419,12,-0.9923
ENSG00000160075,SSU72,206,-0.0035,236,0.21202,121,-0.8190,202,-0.0312,226,0.14362,211,0.03016,278,0.46835,163,-0.3647,260,0.36577,218,0.08546,222,0.11289,193,-0.1014,147,-0.5206
ENSG00000228594,FNDC10,17,-2.3733,34,-1.3813,88,0.03004,122,0.54843,88,0.03611,75,-0.2186,115,0.45648,95,0.14678,61,-0.5346,193,1.31385,146,0.83809,26,-1.7769,60,-0.5434
ENSG00000272106,AL691432.2,24,-0.8200,45,0.15150,18,-1.2099,24,-0.7627,70,0.86932,37,-0.1441,37,-0.1499,44,0.11675,49,0.29720,60,0.61867,40,-0.0344,36,-0.1750,44,0.12567
ENSG00000197530,MIB2,48,-0.2179,67,0.31185,23,-1.2770,46,-0.2836,62,0.18010,64,0.23541,71,0.39975,52,-0.0685,39,-0.5327,81,0.62107,66,0.28379,40,-0.4891,55,0.01334
