NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	200	137		
HALLMARK_HYPOXIA	200	152		
HALLMARK_CHOLESTEROL_HOMEOSTASIS	74	61		
HALLMARK_MITOTIC_SPINDLE	199	152		
HALLMARK_WNT_BETA_CATENIN_SIGNALING	42	33		
HALLMARK_TGF_BETA_SIGNALING	54	45		
HALLMARK_IL6_JAK_STAT3_SIGNALING	87	39		
HALLMARK_DNA_REPAIR	150	122		
HALLMARK_G2M_CHECKPOINT	200	137		
HALLMARK_APOPTOSIS	161	120		
HALLMARK_NOTCH_SIGNALING	32	27		
HALLMARK_ADIPOGENESIS	200	171		
HALLMARK_ESTROGEN_RESPONSE_EARLY	200	139		
HALLMARK_ESTROGEN_RESPONSE_LATE	200	134		
HALLMARK_ANDROGEN_RESPONSE	101	81		
HALLMARK_MYOGENESIS	200	135		
HALLMARK_PROTEIN_SECRETION	96	89		
HALLMARK_INTERFERON_ALPHA_RESPONSE	97	71		
HALLMARK_INTERFERON_GAMMA_RESPONSE	200	132		
HALLMARK_APICAL_JUNCTION	200	145		
HALLMARK_APICAL_SURFACE	44	29		
HALLMARK_HEDGEHOG_SIGNALING	36	32		
HALLMARK_COMPLEMENT	200	128		
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	113	97		
HALLMARK_PI3K_AKT_MTOR_SIGNALING	105	78		
HALLMARK_MTORC1_SIGNALING	200	176		
HALLMARK_E2F_TARGETS	200	141		
HALLMARK_MYC_TARGETS_V1	200	183		
HALLMARK_MYC_TARGETS_V2	58	42		
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	200	126		
HALLMARK_INFLAMMATORY_RESPONSE	200	109		
HALLMARK_XENOBIOTIC_METABOLISM	200	128		
HALLMARK_FATTY_ACID_METABOLISM	158	117		
HALLMARK_OXIDATIVE_PHOSPHORYLATION	200	178		
HALLMARK_GLYCOLYSIS	200	151		
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	49	40		
HALLMARK_P53_PATHWAY	200	165		
HALLMARK_UV_RESPONSE_UP	158	132		
HALLMARK_UV_RESPONSE_DN	144	121		
HALLMARK_ANGIOGENESIS	36	24		
HALLMARK_HEME_METABOLISM	200	148		
HALLMARK_COAGULATION	138	71		
HALLMARK_IL2_STAT5_SIGNALING	199	145		
HALLMARK_BILE_ACID_METABOLISM	112	82		
HALLMARK_PEROXISOME	104	86		
HALLMARK_ALLOGRAFT_REJECTION	200	100		
HALLMARK_SPERMATOGENESIS	135	67		
HALLMARK_KRAS_SIGNALING_UP	200	118		
HALLMARK_KRAS_SIGNALING_DN	200	92		
HALLMARK_PANCREAS_BETA_CELLS	40	25		
CHR1P11	21		Rejected!	
CHR1P12	53		Rejected!	
CHR1P13	213	83		
CHR1P21	107	30		
CHR1P22	134	40		
CHR1P31	223	59		
CHR1P32	156	40		
CHR1P33	61	16		
CHR1P34	292	120		
CHR1P35	136	67		
CHR1P36	681	230		
CHR1Q21	404	107		
CHR1Q22	71	35		
CHR1Q23	224	55		
CHR1Q24	128	33		
CHR1Q25	165	50		
CHR1Q31	74	17		
CHR1Q32	286	90		
CHR1Q41	96	23		
CHR1Q42	239	74		
CHR1Q43	62		Rejected!	
CHR1Q44	128	25		
CHR10P11	126	20		
CHR10P12	140	38		
CHR10P13	66	18		
CHR10P14	48	15		
CHR10P15	89	24		
CHR10Q11	188	38		
CHR10Q21	119	32		
CHR10Q22	207	70		
CHR10Q23	194	47		
CHR10Q24	189	86		
CHR10Q25	131	35		
CHR10Q26	207	76		
CHR11P11	153	43		
CHR11P12	19		Rejected!	
CHR11P13	64	26		
CHR11P14	59	15		
CHR11P15	563	131		
CHR11Q11	40		Rejected!	
CHR11Q12	342	73		
CHR11Q13	449	171		
CHR11Q14	156	31		
CHR11Q21	63	24		
CHR11Q22	105	30		
CHR11Q23	218	67		
CHR11Q24	190	42		
CHR11Q25	31		Rejected!	
CHR12P11	84	28		
CHR12P12	113	32		
CHR12P13	349	96		
CHR12Q12	62	21		
CHR12Q13	419	141		
CHR12Q14	114	27		
CHR12Q15	56		Rejected!	
CHR12Q21	139	44		
CHR12Q22	57		Rejected!	
CHR12Q23	150	48		
CHR12Q24	410	166		
CHR13Q11	25		Rejected!	
CHR13Q12	235	48		
CHR13Q13	81	21		
CHR13Q14	245	66		
CHR13Q21	117		Rejected!	
CHR13Q22	62		Rejected!	
CHR13Q31	99		Rejected!	
CHR13Q32	95	24		
CHR13Q33	57	16		
CHR13Q34	88	27		
CHR14Q11	330	49		
CHR14Q12	105	34		
CHR14Q13	60	19		
CHR14Q21	97	22		
CHR14Q22	93	34		
CHR14Q23	131	46		
CHR14Q24	201	78		
CHR14Q31	59		Rejected!	
CHR14Q32	565	99		
CHR15Q11	216		Rejected!	
CHR15Q12	18		Rejected!	
CHR15Q13	101	17		
CHR15Q14	61	21		
CHR15Q15	146	58		
CHR15Q21	176	61		
CHR15Q22	131	53		
CHR15Q23	68	23		
CHR15Q24	122	45		
CHR15Q25	157	50		
CHR15Q26	204	56		
CHR16P11	276	71		
CHR16P12	172	55		
CHR16P13	421	166		
CHR16Q11	12		Rejected!	
CHR16Q12	101	26		
CHR16Q13	40	20		
CHR16Q21	78	23		
CHR16Q22	182	84		
CHR16Q23	114	36		
CHR16Q24	132	50		
CHR17P11	203	48		
CHR17P12	64	15		
CHR17P13	346	128		
CHR17Q11	169	55		
CHR17Q12	147	51		
CHR17Q21	472	147		
CHR17Q22	88	32		
CHR17Q23	118	37		
CHR17Q24	98	27		
CHR17Q25	305	129		
CHR18P11	210	51		
CHR18Q11	85	22		
CHR18Q12	104	27		
CHR18Q21	202	53		
CHR18Q22	65	19		
CHR18Q23	39	15		
CHR19P12	114	20		
CHR19P13	786	353		
CHR19Q11	5		Rejected!	
CHR19Q12	30		Rejected!	
CHR19Q13	1185	450		
CHR2P11	213	33		
CHR2P12	56		Rejected!	
CHR2P13	140	55		
CHR2P14	63	16		
CHR2P15	44		Rejected!	
CHR2P16	119	30		
CHR2P21	80	31		
CHR2P22	103	35		
CHR2P23	149	64		
CHR2P24	80	18		
CHR2P25	126	38		
