label	pval	fdr	signature	geneset	overlap	background	hits	spdomain_sex	clus_set
AUD	0.054	0.67	46	49	3	2614	HERPUD1 , HMGB1 , LMNA	X14_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OCD	0.071	0.67	46	55	3	2614	COL18A1 , PDCD6IP , SERPING1	X14_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Panic	0.25	1	46	16	1	2614	ANXA5	X14_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BMI	0.44	1	46	1307	24	2614	ANXA5 , CD151 , COL18A1 , CTNNA1 , EIF3K , HERPUD1 , HIF1A , HMGB1 , LMNA , MED4 , MYH9 , PDIA6 , PFN1 , PTBP1 , RAB10 , RWDD1 , S100A11 , SELENOK , SERPING1 , TSPAN7 , UBA1 , WASF2 , YBX1 , ZFAS1	X14_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OUD	0.53	1	46	42	1	2614	SERPING1	X14_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
ASD	0.6	1	46	233	4	2614	HNRNPF , MYH9 , PDIA6 , TSPAN7	X14_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
ADHD	0.63	1	46	119	2	2614	CAPZA2 , EIF3K	X14_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
NDD	0.78	1	46	296	4	2614	COL18A1 , FLNA , NONO , TSPAN7	X14_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
MDD	0.8	1	46	495	7	2614	CAPZA2 , ENO1 , HIF1A , HMGB1 , PDIA6 , SERPING1 , ZFAS1	X14_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AD	0.93	1	46	144	1	2614	ENO1	X14_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
SCZ	0.98	1	46	405	3	2614	CTNNA1 , SERPING1 , WASF2	X14_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BIP	1	1	46	58	0	2614		X14_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Cannabis	1	1	46	6	0	2614		X14_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
PTSD	1	1	46	8	0	2614		X14_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Anorexia	1	1	46	26	0	2614		X14_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
GAD	1	1	46	14	0	2614		X14_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
TS	1	1	46	8	0	2614		X14_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Lefthanded	1	1	46	9	0	2614		X14_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
CannabisUseDisorder	1	1	46	2	0	2614		X14_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AUD	0.14	1	7	32	1	1465	MBP	X1_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
SCZ	0.29	1	7	225	2	1465	MBP , SOX2-OT	X1_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AD	0.34	1	7	83	1	1465	PACS2	X1_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
ASD	0.45	1	7	119	1	1465	PACS2	X1_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BMI	0.48	1	7	718	4	1465	EIF1 , MBP , PPDPF , SOX2-OT	X1_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
NDD	0.56	1	7	163	1	1465	PACS2	X1_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
MDD	1	1	7	252	0	1465		X1_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BIP	1	1	7	32	0	1465		X1_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OCD	1	1	7	28	0	1465		X1_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Cannabis	1	1	7	6	0	1465		X1_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
ADHD	1	1	7	63	0	1465		X1_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OUD	1	1	7	23	0	1465		X1_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Panic	1	1	7	8	0	1465		X1_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
PTSD	1	1	7	2	0	1465		X1_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Anorexia	1	1	7	11	0	1465		X1_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
GAD	1	1	7	7	0	1465		X1_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
TS	1	1	7	2	0	1465		X1_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Lefthanded	1	1	7	5	0	1465		X1_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
CannabisUseDisorder	1	1	7	2	0	1465		X1_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Panic	0.0033	0.063	13	16	2	2330	ANXA5 , COMT	X2_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Cannabis	0.038	0.35	13	7	1	2330	COMT	X2_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Lefthanded	0.055	0.35	13	10	1	2330	FLOT1	X2_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
SCZ	0.13	0.61	13	361	4	2330	ACTB , COMT , FLOT1 , HLA-DRB1	X2_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AUD	0.22	0.82	13	43	1	2330	COMT	X2_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
ASD	0.27	0.86	13	183	2	2330	ACTB , HLA-DRB1	X2_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
MDD	0.43	1	13	425	3	2330	COMT , FLOT1 , HLA-DRB1	X2_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
ADHD	0.45	1	13	104	1	2330	COMT	X2_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AD	0.5	1	13	122	1	2330	HLA-DRB1	X2_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
NDD	0.78	1	13	255	1	2330	ACTB	X2_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BMI	0.95	1	13	1140	4	2330	ANXA5 , FLOT1 , LAPTM4A , PSME1	X2_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BIP	1	1	13	48	0	2330		X2_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OCD	1	1	13	49	0	2330		X2_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OUD	1	1	13	35	0	2330		X2_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
PTSD	1	1	13	7	0	2330		X2_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Anorexia	1	1	13	19	0	2330		X2_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
GAD	1	1	13	10	0	2330		X2_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
TS	1	1	13	7	0	2330		X2_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
CannabisUseDisorder	1	1	13	1	0	2330		X2_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AUD	0.46	1	31	78	1	4015	ALDH1A1	X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AD	0.48	1	31	205	2	4015	HIKESHI , HLA-C	X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OCD	0.51	1	31	91	1	4015	AIMP1	X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BIP	0.52	1	31	93	1	4015	TBC1D10B	X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
SCZ	0.57	1	31	644	5	4015	ALDH1A1 , COA8 , HLA-C , PSMB2 , TBC1D10B	X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
NDD	0.69	1	31	446	3	4015	AIMP1 , ATN1 , COA8	X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
ADHD	0.78	1	31	188	1	4015	TMBIM6	X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
MDD	0.94	1	31	726	3	4015	HLA-C , ITPKB , TBC1D10B	X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BMI	0.98	1	31	1948	10	4015	ALDH1A1 , ANXA2 , ATN1 , COA8 , PRR13 , PSMB2 , SPP1 , SRSF5 , TBC1D10B , TMBIM6	X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
ASD	1	1	31	330	0	4015		X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Cannabis	1	1	31	10	0	4015		X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OUD	1	1	31	59	0	4015		X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Panic	1	1	31	22	0	4015		X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
PTSD	1	1	31	11	0	4015		X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Anorexia	1	1	31	29	0	4015		X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
GAD	1	1	31	15	0	4015		X7_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
