label	pval	fdr	signature	geneset	overlap	background	hits	spdomain_sex	clus_set
ADHD	0.15	1	156	178	10	3999	ANXA1 , CDC26 , CDK2AP1 , COMT , LSM14A , LTBP2 , RHOA , RPLP2 , RPS20 , VIM	X9_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Panic	0.18	1	156	20	2	3999	ANXA5 , COMT	X9_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Cannabis	0.38	1	156	12	1	3999	COMT	X9_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AUD	0.38	1	156	80	4	3999	COMT , HNMT , OXT , RACK1	X9_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Lefthanded	0.47	1	156	16	1	3999	HLA-DQA1	X9_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
GAD	0.53	1	156	19	1	3999	OXT	X9_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OUD	0.7	1	156	62	2	3999	ARPC3 , RHOA	X9_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
Anorexia	0.71	1	156	31	1	3999	RHOA	X9_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
AD	0.81	1	156	231	7	3999	FCER1G , HLA-C , HLA-DQA1 , LTBP2 , PCOLCE , RPL4 , RPS18	X9_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BIP	0.87	1	156	88	2	3999	ADD3 , ARPC3	X9_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
SCZ	0.94	1	156	650	19	3999	APOD , ARPC3 , ASAH1 , CDK2AP1 , COMT , CTNNA1 , GSN , HLA-A , HLA-C , HLA-DQA1 , IER3 , OXT , PDIA3 , RPL10 , RPL12 , RPL13 , S100B , TGFBR2 , TPT1	X9_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
MDD	0.95	1	156	747	22	3999	ARRDC4 , CDK2AP1 , COMT , FTH1 , FTL , GTF3C6 , HLA-C , LGALS3 , LTBP2 , MGP , MYO6 , NPC2 , OXT , RAB34 , RHOA , RNF114 , RPL23A , RPL4 , RPL41 , S100A10 , S100B , TRMT112	X9_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
BMI	0.98	1	156	1972	65	3999	ALDH9A1 , ANXA5 , ARPC3 , B2M , BAZ1B , CD164 , CTNNA1 , CYB5B , DAD1 , DBI , EIF2AK1 , FBLN5 , FCER1G , FHL1 , FTL , GSN , HLA-A , IER3 , ITM2B , KXD1 , LGALS3 , LSM14A , LTBP1 , MGP , MYLK , MYO6 , NPC2 , OSBPL1A , OSTC , PPDPF , PRDX4 , RHOA , RPL10A , RPL12 , RPL21 , RPL26 , RPL30 , RPL31 , RPL41 , RPL7 , RPL9 , RPS12 , RPS15A , RPS18 , RPS21 , RPS27 , RPS29 , RPS3A , S100A10 , S100A11 , SETD7 , SH3BGRL , SLC25A37 , SMOX , TGFBR2 , TOMM7 , TPT1 , TRMT112 , TSPO , UBA52 , VIM , WSB1 , XIST , YAP1 , YBX1	X9_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
OCD	0.98	1	156	93	1	3999	HLA-A	X9_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
ASD	0.99	1	156	324	6	3999	ANXA1 , HLA-A , OXT , RHEB , RPL10 , SDC2	X9_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
NDD	1	1	156	441	8	3999	APOD , ASAH1 , MGP , NPC2 , RPL10 , RPL26 , RPS23 , YAP1	X9_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
PTSD	1	1	156	12	0	3999		X9_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
TS	1	1	156	11	0	3999		X9_FemUp	BSpace_k15_HARMONYlmbna_nnsvg10
