Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to8,Feature log2 fold change topic 4to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10to11,Feature log2 fold change topic 10to11,Feature count topic 12,Feature log2 fold change topic 12,Feature count topic 13,Feature log2 fold change topic 13
ENSG00000228794,LINC01128,5,-2.2789,28,0.34155,14,-0.6633,26,0.40934,26,0.21102,30,0.52475,18,-0.3029,7,-1.6733
ENSG00000187634,SAMD11,17,-0.6505,15,-0.8245,76,1.71910,14,-1.2526,16,-0.7900,53,1.24497,26,-0.0353,21,-0.4044
ENSG00000188976,NOC2L,54,0.25945,55,0.27750,48,0.07651,55,0.43037,37,-0.3371,38,-0.2959,25,-0.9063,27,-0.7843
ENSG00000188290,HES4,129,-0.4056,445,1.61979,180,0.11131,95,-1.1595,99,-0.8099,109,-0.7038,120,-0.5085,512,1.87889
ENSG00000187608,ISG15,32,-1.6420,311,1.97289,68,-0.5422,59,-1.0209,39,-1.3714,117,0.33363,32,-1.6702,245,1.53729
ENSG00000188157,AGRN,24,0.57059,28,0.81042,0,-6.1959,18,0.19013,19,0.21781,3,-2.4240,11,-0.5820,38,1.30888
ENSG00000078808,SDF4,120,-0.0551,201,0.75849,72,-0.8319,134,0.16893,92,-0.4665,125,0.01144,111,-0.1732,104,-0.2802
ENSG00000176022,B3GALT6,6,-3.0576,34,-0.5812,27,-0.9597,66,0.72999,40,-0.3320,66,0.49105,45,-0.1613,34,-0.5952
ENSG00000160087,UBE2J2,45,-0.3669,93,0.75513,38,-0.6264,60,0.08676,63,0.15221,52,-0.1802,46,-0.3376,61,0.07965
ENSG00000131584,ACAP3,51,-0.3147,66,0.08997,27,-1.2572,77,0.54275,27,-1.2497,54,-0.2388,91,0.60555,53,-0.2475
ENSG00000127054,INTS11,80,0.36421,102,0.75035,35,-0.8882,67,0.13466,49,-0.4053,63,-0.0072,52,-0.2991,45,-0.5363
ENSG00000107404,DVL1,45,-0.0698,48,0.02073,36,-0.3931,56,0.44512,33,-0.5462,36,-0.4219,56,0.28733,39,-0.3019
ENSG00000162576,MXRA8,69,1.42217,148,2.93299,0,-6.9719,16,-1.1298,2,-3.8539,11,-1.4711,26,-0.1436,26,-0.1848
ENSG00000175756,AURKAIP1,211,0.41735,207,0.38668,245,0.65998,143,-0.2774,208,0.39609,120,-0.4969,137,-0.2537,140,-0.2204
ENSG00000221978,CCNL2,25,-1.6054,198,1.64490,32,-1.2333,76,0.10137,76,0.04679,54,-0.5014,44,-0.7770,87,0.27425
ENSG00000242485,MRPL20,109,-0.9248,223,0.17263,68,-1.6185,204,0.04985,221,0.15364,282,0.60503,173,-0.2270,221,0.15491
ENSG00000235098,ANKRD65,1,-3.5504,10,-1.0923,8,-1.2978,30,1.11796,13,-0.6743,15,-0.4801,44,1.24455,4,-2.2633
ENSG00000179403,VWA1,66,0.59741,133,1.79946,4,-3.5434,29,-0.9155,26,-0.8588,14,-1.7925,153,2.05752,33,-0.4942
ENSG00000160072,ATAD3B,17,0.06264,52,1.89953,0,-5.4513,21,0.55933,3,-2.2421,11,-0.5800,11,-0.6527,5,-1.6800
ENSG00000197785,ATAD3A,21,0.15651,32,0.85162,0,-6.2558,23,0.52039,7,-1.4712,26,0.55988,12,-0.6239,4,-2.1328
ENSG00000205090,TMEM240,5,-2.3054,22,-0.1055,20,-0.3037,32,0.78767,27,0.18470,27,0.17959,10,-1.3419,12,-0.9923
ENSG00000160075,SSU72,206,-0.0035,236,0.21202,121,-0.8190,216,0.10675,260,0.36577,220,0.10860,193,-0.1014,147,-0.5206
ENSG00000228594,FNDC10,17,-2.3733,34,-1.3813,88,0.03004,99,0.33754,61,-0.5346,169,1.24578,26,-1.7769,60,-0.5434
ENSG00000272106,AL691432.2,24,-0.8200,45,0.15150,18,-1.2099,42,0.10385,49,0.29720,50,0.35514,36,-0.1750,44,0.12567
ENSG00000197530,MIB2,48,-0.2179,67,0.31185,23,-1.2770,59,0.16698,39,-0.5327,73,0.51039,40,-0.4891,55,0.01334
