rn	variable	value
x1023_OPC_NN_1	ARC	-0.228319748121496
x1026_MFOL_NN	ARC	-0.270517833693837
x1027_MOL_NN	ARC	-0.292282025981705
x1025_COP_NN	ARC	-0.241302534671044
x1028_NFOL_NN	ARC	-0.242668189148192
x1038_Microglia_NN	ARC	-0.265628761006475
x1039_BAM_NN	ARC	-0.222563560524076
x1036_SMC_NN	ARC	-0.253132670958627
x1037_Endo_NN	ARC	-0.285698583019363
x1035_Peri_NN	ARC	-0.27182182000434
x1032_VLMC_NN_2	ARC	-0.242136620803712
x1034_VLMC_NN_4	ARC	-0.248634489637491
x1017_Tanycyte_NN_2	ARC	-0.220434756386545
x1019_Ependymal_NN_1	ARC	-0.18678978653471
x1003_Astro_NT_NN_1	ARC	-0.299122804016885
x1004_Astro_NT_NN_2	ARC	-0.308513364170167
x0438_ZI_Pax6_Gaba_1	ARC	0.139420102326704
x0507_PVH_LHA_Barhl2_Glut_1	ARC	0.153957448426076
x0513_SI_MA_LPO_Skor1_Glut_1	ARC	0.170203987969679
x0468_DMH_Hmx2_Gaba_2	ARC	0.263046877972595
x0557_STN_PSTN_Pitx2_Glut_2	ARC	0.142647991490035
x0393_SI_MPO_LPO_Lhx8_Gaba_2	ARC	0.137411090276625
x0404_BST_Tac2_Gaba_1	ARC	0.129429103424693
x0467_DMH_Hmx2_Gaba_1	ARC	0.187143896776375
x0452_DMH_LHA_Gsx1_Gaba_2	ARC	0.170839537052366
x0534_PVa_AHN_LHA_Otp_Glut_3	ARC	0.178842573468691
x0542_AHN_RCH_TU_SBPV_Otp_Glut_7	ARC	0.147672504685188
x0549_PH_ant_Otp_Glut_1	ARC	0.133207741256405
x0567_PH_Pitx2_Glut_2	ARC	0.113651047628205
x0537_AHN_RCH_TU_SBPV_Otp_Glut_2	ARC	0.0699886237316524
x0425_AHN_SBPV_Gaba_1	ARC	0.129527793586906
x0431_AHN_SBPV_Gaba_7	ARC	0.142982818844093
x0443_ZI_Pax6_Gaba_2	ARC	0.0806124588389178
x0440_ZI_Pax6_Gaba_11	ARC	0.0908872140188305
x0453_PVHd_DMH_Lhx6_Gaba_1	ARC	0.053827043695067
x0437_AHN_Onecut3_Gaba_3	ARC	0.0947369046586736
x0447_ZI_Pax6_Gaba_6	ARC	0.0774990821910612
x0444_ZI_Pax6_Gaba_3	ARC	0.063254139701434
x0430_AHN_SBPV_Gaba_6	ARC	0.0883208974945558
x0436_AHN_Onecut3_Gaba_2	ARC	0.0854484180443602
x0403_BST_MPN_Lhx6_Zfhx3_Gaba_2	ARC	0.0934023881380367
x0421_PVH_Six3_Prox1_Gaba_1	ARC	0.06517675648321
x0475_MPO_MPN_Glut_3	ARC	0.179229369295399
x0470_DMH_Hmx2_Gaba_4	ARC	0.127324009730566
x0532_PVa_AHN_LHA_Otp_Glut_1	ARC	0.140516941020498
x0544_PVH_PVHd_SO_Otp_Glut_2	ARC	0.116963082363057
x0552_PH_ant_Otp_Glut_4	ARC	0.124552653982693
x0553_PH_ant_Otp_Glut_5	ARC	0.087511267239889
x0461_PVpo_VMPO_MPN_Hmx2_Gaba_1	ARC	0.186021576306098
x0584_PM_LHA_Foxb1_Glut_3	ARC	0.152995272893691
x0462_PVpo_VMPO_MPN_Hmx2_Gaba_2	ARC	0.205077946529561
x0471_DMH_Hmx2_Gaba_5	ARC	0.220954573617595
x0543_PVH_PVHd_SO_Otp_Glut_1	ARC	0.0645472792361124
x0551_PH_ant_Otp_Glut_3	ARC	0.118325312490747
x0399_MPO_LPO_Lhx8_Gaba_3	ARC	0.124594611497496
x0550_PH_ant_Otp_Glut_2	ARC	0.111868240470097
x0402_BST_MPN_Lhx6_Zfhx3_Gaba_1	ARC	0.109867718563805
x0474_MPO_MPN_Glut_2	ARC	0.111699468286686
x0493_VMH_Fezf1_Glut_1	ARC	0.115548622552971
x0495_VMH_Fezf1_Glut_3	ARC	0.126418292845515
x0473_MPO_MPN_Glut_1	ARC	0.132566940891949
x0564_PM_Pitx2_Glut_2	ARC	0.142302512504676
x0500_VMH_Nr5a1_Glut_5	ARC	0.0617798055505331
x0409_PVR_Six3_Gaba_5	ARC	0.0755173034480172
x0414_BST_MPN_Six3_Gaba_5	ARC	0.0554429441055434
x0354_AAA_BST_Six3_Meis2_Gaba_1	ARC	0.0811920856704882
x0579_PH_LHA_Foxb1_Glut_5	ARC	0.0824912587113965
x0538_AHN_RCH_TU_SBPV_Otp_Glut_3	ARC	0.0885349282798085
x0373_PVHd_Gsc_Gaba	ARC	0.0543907655743379
x0601_PH_SUM_Foxa1_Glut_6	ARC	0.0248559556982127
x0416_BST_MPN_Six3_Gaba_3	ARC	0.171455587452799
x0497_VMH_Nr5a1_Glut_2	ARC	0.0993946125137032
x0420_BST_MPN_Six3_Gaba_6	ARC	0.138707402852542
x0459_TU_ARH_Otp_Six6_Gaba_3	ARC	0.102707052412298
