rn	variable	value
x290_Tanycyte_NN	X1	-0.0564541408615647
x291_Ependymal_NN	X1	-0.0706289613751781
x302_Microglia_NN	X1	-0.0340161448770735
x303_BAM_NN	X1	-0.0622228197909973
x298_VLMC_NN	X1	-0.0867270563287316
x299_Peri_NN	X1	-0.0450747862095212
x300_SMC_NN	X1	-0.0552666615323811
x301_Endo_NN	X1	-0.0646817869397872
x295_Oligo_NN	X1	0.0462909616212513
x286_Astro_NT_NN	X1	0.0744931197440057
x294_OPC_NN	X1	0.0498522179239844
x135_AHN_RCH_TU_SBPV_Otp_Glut	X1	0.0238884589713354
x140_PH_Pitx2_Glut	X1	0.0142121209363825
x127_PVH_LHA_Barhl2_Glut	X1	0.0475282954692718
x138_STN_PSTN_Pitx2_Glut	X1	0.0408269880011939
x108_AHN_SBPV_Gaba	X1	0.0703814188075578
x111_ZI_Pax6_Gaba	X1	0.0959424420082341
x103_MPO_LPO_Lhx8_Gaba	X1	0.0886049378519139
x110_AHN_Onecut3_Gaba	X1	0.0560006397055323
x107_PVH_Six3_Prox1_Gaba	X1	0.0863226263727836
x113_PVHd_DMH_Lhx6_Gaba	X1	0.0892603171309742
x126_LGv_Otx2_Gaba	X1	0.1073331278712
x047_NDB_SI_MA_STRv_Lhx8_Gaba	X1	0.0853399710536264
x128_ADP_MPO_Trp73_Glut	X1	0.0586040373165439
x159_SPA_SPFm_SPFp_POL_PIL_PoT_Glut	X1	0.0741942421041316
x142_PH_LHA_Foxb1_Glut	X1	0.0766637595690713
x129_SI_MA_LPO_Skor1_Glut	X1	0.0550132599570785
x180_MB_HB_Lhx1_Glut	X1	0.0833525088746147
x116_PVpo_VMPO_MPN_Hmx2_Gaba	X1	-0.0369993700602642
x118_MPO_MPN_Glut	X1	-0.0547741663299988
x114_TU_ARH_Otp_Six6_Gaba	X1	-0.0753730226363993
x119_DMH_Hmx2_Glut	X1	-0.0445610979350959
x134_PVa_AHN_LHA_Otp_Glut	X1	-0.0500816320897267
x123_VMH_Fezf1_Glut	X1	-0.0383862867813809
x139_PM_Pitx2_Glut	X1	-0.0556920979459867
x084_MEA_BST_Lhx6_Sp9_Gaba	X1	0.0456715899767015
x106a_BST_MPN_Six3_Gaba	X1	0.00973022863632032
x117_DMH_Hmx2_Gaba	X1	-0.0290602655735624
x137_PH_ant_Otp_Glut	X1	0.00775850713145055
x102_SI_MPO_LPO_Lhx8_Gaba	X1	0.0272975083907436
x104_BST_MPN_Lhx6_Zfhx3_Gaba	X1	0.0399854550773177
x124_VMH_Nr5a1_Glut	X1	-0.0322809988606992
x083_MEA_BST_Sox6_Gaba	X1	0.0879540282916655
x097_PVHd_Gsc_Gaba	X1	0.0472398973402196
x092_AAA_BST_Six3_Meis2_Gaba	X1	0.0435282430384628
x093_ACB_BST_FS_D1_Gaba	X1	0.0313361916337043
x080_GPi_Skor1_Gaba_Glut	X1	0.0761097631671417
x214_LGv_SPFp_SPFm_Gata3_Gaba	X1	0.0614668936042852
x049_PAL_STR_Gaba_Chol	X1	0.0984358275524133
x081_RT_ZI_Gnb3_Gaba	X1	0.0928166968902027
x105_BST_Tac2_Gaba	X1	0.0297540584633262
x096_SI_MA_NDB_Six3_Meis2_Gaba	X1	0.0506577023160698
x143_PM_LHA_Foxb1_Glut	X1	0.015780674089083
x148_PH_SUM_Foxa1_Glut	X1	0.029661040390296
x149_IPN_IF_RL_Foxa1_Glut	X1	0.0694884881403952
x054_STR_PAL_Chst9_Gaba	X1	0.0429071755609176
x076_PMv_TMv_Tbx3_Hist_Gaba	X1	-0.0595993656811508
x136_PVH_PVHd_SO_Otp_Glut	X1	-0.115378850830926
x082_SCH_Gaba	X1	-0.0628173804497709
x120_ARH_PVp_Tbx3_Gaba	X1	-0.123108037360412
x087_DMH_Prdm13_Gaba	X1	-0.0944972983598373
x088_DMH_Nkx2_4_Glut	X1	-0.105991351026091
x046_Sst_Chodl_Gaba	X1	0.0933916173390871
x045_STRv_Lhx8_Gaba	X1	0.114934688557099
x090_SI_MA_NDB_Ebf1_Bnc2_Gaba	X1	0.118652326467897
x100_MS_SF_Bsx_Glut	X1	0.0791773752030805
x213_PRT_Tcf7l2_Gaba	X1	0.0835143038334163
x133_LHA_MEA_Otp_Glut	X1	0.0296502736395822
x147_PH_an_Pitx2_Glut	X1	0.0169703862416416
x070_RE_Xi_Nox4_Glut	X1	0.036197041541029
x067_PVT_PT_Ntrk1_Glut	X1	0.0233207457041348
x048_GPe_Sox6_Cyp26b1_Gaba	X1	0.0491975107146964
x250_SNc_VTA_RAmb_Foxa1_Dopa	X1	0.0546329461301831
x069_TH_Prkcd_Grin2c_Glut	X1	0.0293297682801666
x073_MM_ant_Foxb1_Glut	X1	0.0183851459461715
x074_MM_Foxb1_Glut	X1	0.0264546983765384
x086_MEA_BST_Lhx6_Nfib_Gaba	X1	0.0128774215277768
x132_MEA_BST_Otp_Glut	X1	0.0371084913817158
x122_DMH_LHA_Vgll2_Glut	X1	-0.0702871086458646
