rn	variable	value
x5146_OPC_NN_1	X1	0.0614089851399316
x5147_OPC_NN_1	X1	0.0726078217239563
x5190_Microglia_NN	X1	-0.0190799733186217
x5149_COP_NN	X1	0.0283531912881951
x5150_COP_NN	X1	0.020927999974915
x5159_MOL_NN	X1	0.0179069735685786
x5160_MOL_NN	X1	0.0336836025160073
x5157_MOL_NN	X1	0.0382597418546947
x5158_MOL_NN	X1	0.0374065182387866
x5129_Tanycyte_NN_2	X1	-0.0283189356143304
x5132_Tanycyte_NN_2	X1	-0.0682176922754843
x5189_Endo_NN	X1	-0.083690365334028
x5187_Endo_NN	X1	-0.0799590095031134
x5188_Endo_NN	X1	-0.0727200439380502
x5179_VLMC_NN_2	X1	-0.0712875622017136
x5182_Peri_NN	X1	-0.0498840150371834
x1806_AHN_SBPV_Gaba_1	X1	0.0382357492369056
x1890_ZI_Pax6_Gaba_11	X1	0.061530639566269
x2250_PVH_LHA_Barhl2_Glut_1	X1	0.0535108413441344
x2060_PVpo_VMPO_MPN_Hmx2_Gaba_2	X1	0.0239811566885936
x2061_PVpo_VMPO_MPN_Hmx2_Gaba_2	X1	0.032670168038973
x2430_AHN_RCH_TU_SBPV_Otp_Glut_7	X1	-0.00110326087910602
x1805_AHN_SBPV_Gaba_1	X1	0.0742602673854094
x1927_ZI_Pax6_Gaba_6	X1	0.064392061442221
x1875_ZI_Pax6_Gaba_1	X1	0.0738755621367864
x2411_AHN_RCH_TU_SBPV_Otp_Glut_2	X1	0.0486419889124522
x2225_VMH_Nr5a1_Glut_3	X1	0.0245572437784122
x2226_VMH_Nr5a1_Glut_3	X1	0.00982769316256485
x2209_VMH_Fezf1_Glut_2	X1	-0.0152194478656065
x2011_TU_ARH_Otp_Six6_Gaba_2	X1	0.0259840164888022
x2015_TU_ARH_Otp_Six6_Gaba_2	X1	0.0415395203364158
x1792_PVH_Six3_Prox1_Gaba_2	X1	0.105996359736056
x1793_PVH_Six3_Prox1_Gaba_2	X1	0.0930752378965129
x2224_VMH_Nr5a1_Glut_3	X1	-0.00730572291858073
x2229_VMH_Nr5a1_Glut_4	X1	0.00783053521782137
x2221_VMH_Nr5a1_Glut_2	X1	0.0112051271822775
x2227_VMH_Nr5a1_Glut_3	X1	0.0212235739615164
x2231_VMH_Nr5a1_Glut_5	X1	0.0428700063311901
x2228_VMH_Nr5a1_Glut_4	X1	0.0100618052658017
x2022_TU_ARH_Otp_Six6_Gaba_3	X1	0.00162025445763475
x2232_VMH_Nr5a1_Glut_5	X1	0.0289102631610749
x1916_ZI_Pax6_Gaba_4	X1	0.0756919608903788
x1920_ZI_Pax6_Gaba_4	X1	0.0734110165718403
x1903_ZI_Pax6_Gaba_2	X1	0.0873553263441465
x1915_ZI_Pax6_Gaba_4	X1	0.0768458587243549
x2413_AHN_RCH_TU_SBPV_Otp_Glut_2	X1	0.0531389166373942
