rn	variable	value
x5146_OPC_NN_1	ARC	-0.217911406073726
x5147_OPC_NN_1	ARC	-0.193843502830465
x5190_Microglia_NN	ARC	-0.227162581285085
x5149_COP_NN	ARC	-0.218897604163289
x5150_COP_NN	ARC	-0.197510813618763
x5159_MOL_NN	ARC	-0.278779319661582
x5160_MOL_NN	ARC	-0.305923273037862
x5157_MOL_NN	ARC	-0.314146875608884
x5158_MOL_NN	ARC	-0.291000601938591
x5129_Tanycyte_NN_2	ARC	-0.218619494399761
x5132_Tanycyte_NN_2	ARC	-0.151545555377406
x5189_Endo_NN	ARC	-0.248915414877656
x5187_Endo_NN	ARC	-0.26095295623685
x5188_Endo_NN	ARC	-0.266342973827064
x5179_VLMC_NN_2	ARC	-0.204011673101151
x5182_Peri_NN	ARC	-0.221079690275359
x2446_PVH_PVHd_SO_Otp_Glut_4	ARC	0.0028332855879713
x2447_PVH_PVHd_SO_Otp_Glut_4	ARC	0.070517669920676
x1956_DMH_LHA_Gsx1_Gaba_1	ARC	0.146004518258669
x1958_DMH_LHA_Gsx1_Gaba_4	ARC	0.0904151050050781
x1960_DMH_LHA_Gsx1_Gaba_1	ARC	0.0924353052733706
x2450_PVH_PVHd_SO_Otp_Glut_5	ARC	0.0950476656048855
x2451_PVH_PVHd_SO_Otp_Glut_5	ARC	0.085256837429206
x2443_PVH_PVHd_SO_Otp_Glut_3	ARC	0.124202196483444
x2445_PVH_PVHd_SO_Otp_Glut_3	ARC	0.103927726584824
x2186_ARH_PVp_Tbx3_Gaba_3	ARC	0.122530412520869
x1957_DMH_LHA_Gsx1_Gaba_1	ARC	0.118539403598825
x2449_PVH_PVHd_SO_Otp_Glut_5	ARC	0.115405404385883
x2444_PVH_PVHd_SO_Otp_Glut_3	ARC	0.12790497219106
x1222_PVa_ARH_Six3_Dopa_Gaba_1	ARC	0.119972573096562
x2196_ARH_PVp_Tbx3_Glut_3	ARC	0.168903251429233
x1961_DMH_LHA_Gsx1_Gaba_3	ARC	0.199124532842432
x2004_TU_ARH_Otp_Six6_Gaba_1	ARC	0.18994175281332
x2193_ARH_PVp_Tbx3_Glut_2	ARC	0.174798336455452
x2195_ARH_PVp_Tbx3_Glut_3	ARC	0.184590552512583
x2005_TU_ARH_Otp_Six6_Gaba_1	ARC	0.189916307561068
