rn	variable	value
x1023_OPC_NN_1	X1	0.0465352207920886
x1026_MFOL_NN	X1	0.0128006216856793
x1027_MOL_NN	X1	0.031449590772335
x1025_COP_NN	X1	0.0165708990274611
x1028_NFOL_NN	X1	0.0207457172380288
x1038_Microglia_NN	X1	-0.0382689943586848
x1039_BAM_NN	X1	-0.0666752000443866
x1036_SMC_NN	X1	-0.0577781244459907
x1037_Endo_NN	X1	-0.069469262751916
x1035_Peri_NN	X1	-0.0567752826051723
x1032_VLMC_NN_2	X1	-0.083331824918961
x1034_VLMC_NN_4	X1	-0.0758045470530408
x1017_Tanycyte_NN_2	X1	-0.066114743497867
x1019_Ependymal_NN_1	X1	-0.0776777444562914
x1003_Astro_NT_NN_1	X1	0.0119533145902078
x1004_Astro_NT_NN_2	X1	0.0626785810086759
x0438_ZI_Pax6_Gaba_1	X1	0.0673664486486396
x0549_PH_ant_Otp_Glut_1	X1	0.0394950261437883
x0567_PH_Pitx2_Glut_2	X1	0.0241728369148444
x0507_PVH_LHA_Barhl2_Glut_1	X1	0.028409754439489
x0513_SI_MA_LPO_Skor1_Glut_1	X1	0.0141976439255748
x0500_VMH_Nr5a1_Glut_5	X1	0.019712618250548
x0354_AAA_BST_Six3_Meis2_Gaba_1	X1	0.0281135665025686
x0579_PH_LHA_Foxb1_Glut_5	X1	0.0158135247087771
x0409_PVR_Six3_Gaba_5	X1	0.0533694784034924
x0414_BST_MPN_Six3_Gaba_5	X1	0.0599335666378442
x0497_VMH_Nr5a1_Glut_2	X1	-0.0254272666794074
x0459_TU_ARH_Otp_Six6_Gaba_3	X1	-0.0239388832821336
x0496_VMH_Nr5a1_Glut_1	X1	-0.00661967783795211
x0501_VMH_Nr5a1_Glut_6	X1	0.0225919203455628
x0325_MEA_BST_Sox6_Gaba_8	X1	0.0257557222726772
x0408_BST_MPN_Six3_Gaba_2	X1	0.0088396421896616
x0494_VMH_Fezf1_Glut_2	X1	-0.0320592849034966
x0458_TU_ARH_Otp_Six6_Gaba_2	X1	-0.0140346169871259
x0559_STN_PSTN_Pitx2_Glut_4	X1	-0.00886650411857252
x0498_VMH_Nr5a1_Glut_3	X1	-0.0196611344289926
x0499_VMH_Nr5a1_Glut_4	X1	-0.0174614003846663
x0493_VMH_Fezf1_Glut_1	X1	-0.0127580762328595
x0495_VMH_Fezf1_Glut_3	X1	-0.0338043733226046
x0564_PM_Pitx2_Glut_2	X1	-0.013061087157207
x0563_PM_Pitx2_Glut_1	X1	-0.0407238755762061
x0565_PM_Pitx2_Glut_3	X1	-0.0530523025163146
x0476_MPO_MPN_Glut_4	X1	-0.011461980515689
x0558_STN_PSTN_Pitx2_Glut_3	X1	-0.0271179352219431
x0416_BST_MPN_Six3_Gaba_3	X1	-0.0301574437843035
x0420_BST_MPN_Six3_Gaba_6	X1	-0.0215799404845351
x0473_MPO_MPN_Glut_1	X1	-0.0383748168195475
x0311_RT_ZI_Gnb3_Gaba_4	X1	0.0432281934633287
x0397_MPO_LPO_Lhx8_Gaba_1	X1	0.052844390529373
x0577_PH_LHA_Foxb1_Glut_3	X1	0.0429415559125101
x0543_PVH_PVHd_SO_Otp_Glut_1	X1	0.034032557982144
x0550_PH_ant_Otp_Glut_2	X1	0.0303991267112871
x0551_PH_ant_Otp_Glut_3	X1	-0.00871505988480544
x0399_MPO_LPO_Lhx8_Gaba_3	X1	0.0436038309475933
x0402_BST_MPN_Lhx6_Zfhx3_Gaba_1	X1	0.0314875453294025
x0474_MPO_MPN_Glut_2	X1	-0.000465974658455092
x0515_SI_MA_LPO_Skor1_Glut_3	X1	0.00800655794394485
x0538_AHN_RCH_TU_SBPV_Otp_Glut_3	X1	0.0185654413461914
x0519_SI_MA_LPO_Skor1_Glut_7	X1	0.0514551020667038
x0395_SI_MPO_LPO_Lhx8_Gaba_4	X1	0.0563221847454071
x0517_SI_MA_LPO_Skor1_Glut_5	X1	0.0262483541100259
x0371_SI_MA_NDB_Six3_Meis2_Gaba_1	X1	0.0533045960067288
x0539_AHN_RCH_TU_SBPV_Otp_Glut_4	X1	0.0394648051717237
x0566_PH_Pitx2_Glut_1	X1	0.0435174055983924
x0387_PVpo_VMPO_SFO_Tbr1_Glut_1	X1	-0.00921022725101429
x0324_MEA_BST_Lhx6_Sp9_Gaba_7	X1	0.0394403042189904
x0536_AHN_RCH_TU_SBPV_Otp_Glut_1	X1	0.0242362321634398
x0598_PH_SUM_Foxa1_Glut_3	X1	0.032121131542388
x0508_PVH_LHA_Barhl2_Glut_2	X1	0.0300574805622606
x0556_STN_PSTN_Pitx2_Glut_1	X1	0.0245265199116209
x0449_ZI_Pax6_Gaba_8	X1	0.0420995185117188
x0576_PH_LHA_Foxb1_Glut_2	X1	0.0551549596812479
