ensg	z	p	f	symbol	dx	twas_method	twas_citation	method_thresh	tissue
ENSG00000233016	NA	NA	NA	SNHG7	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000206344	NA	NA	NA	HCG27	SCZ	FUSION	TWASP000052	by_publication	Brain
NA	NA	NA	NA	LOC100507351	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000177335	NA	NA	NA	LINC02904	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000002016	NA	NA	NA	RAD52	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000005471	NA	NA	NA	ABCB4	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000006007	NA	NA	NA	GDE1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000006071	NA	NA	NA	ABCC8	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000006282	NA	NA	NA	SPATA20	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000006283	NA	NA	NA	CACNA1G	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000010322	NA	NA	NA	NISCH	SCZ	FUSION	TWASP000052	by_publication	Brain
ENSG00000012048	NA	NA	NA	BRCA1	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000013016	NA	NA	NA	EHD3	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000013374	NA	NA	NA	NUB1	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000015475	NA	NA	NA	BID	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000026025	NA	NA	NA	VIM	ADHD	FUSION	TWASP000136	by_publication	Brain
ENSG00000026025	NA	NA	NA	VIM	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000032219	NA	NA	NA	ARID4A	ADHD	FUSION	TWASP000136	by_publication	Whole Blood
ENSG00000032742	NA	NA	NA	IFT88	ADHD	FUSION	TWASP000136	by_publication	Brain
