symbol	dx
A1BG	SCZ
A2M	MDD
A2M	AD
A2ML1	AD
A3GALT2	MDD
A4GALT	BMI
AADAT	BMI
AAGAB	BMI
AAK1	BMI
AAMP	BMI
AANAT	BMI
AANAT	MDD
AAR2	AD
AARS	BMI
AARS1	BMI
AARS1	NDD
AARS2	BMI
AARSD1	BMI
AASS	NDD
AB015752.3	MDD
ABAT	BMI
ABAT	ASD
ABAT	NDD
ABC14-1188822O7.1	BMI
ABCA1	BMI
ABCA1	AD
ABCA1	SCZ
ABCA10	ASD
ABCA13	BMI
ABCA13	ASD
ABCA13	SCZ
ABCA2	BMI
ABCA3	BIP
ABCA4	OCD
ABCA5	BMI
ABCA5	MDD
ABCA7	BMI
ABCA7	AD
ABCA7	ASD
ABCB1	SCZ
ABCB1	MDD
ABCB1	Cannabis
ABCB10	BMI
ABCB10	MDD
ABCB4	ADHD
ABCB6	BMI
ABCB6	SCZ
ABCB7	NDD
ABCB9	SCZ
ABCB9	BMI
ABCB9	AD
ABCC10	SCZ
ABCC12	OCD
ABCC13	BMI
ABCC3	BMI
ABCC4	BMI
ABCC5	BMI
ABCC8	ADHD
ABCC8	SCZ
ABCD1	BMI
ABCD1	NDD
ABCD2	BMI
ABCD4	MDD
ABCD4	NDD
ABCE1	BMI
ABCE1	ASD
ABCF1	BMI
ABCF1	SCZ
ABCF2P1	BMI
ABCG1	BMI
ABCG2	BMI
ABCG4	BMI
ABHD11	MDD
ABHD12	BMI
ABHD13	BMI
ABHD14A	BMI
ABHD14A	MDD
ABHD15	BMI
ABHD16A	SCZ
ABHD16A	BMI
ABHD16A	AD
ABHD17A	BMI
ABHD17C	BMI
ABHD2	BMI
ABHD2	SCZ
ABHD3	BMI
ABHD4	BMI
ABHD4	MDD
ABHD5	BMI
ABHD5	ADHD
ABHD5	MDD
ABI1	BMI
ABI2	BMI
ABI3	AD
ABI3BP	MDD
ABL1	MDD
ABLIM1	BMI
ABLIM3	BMI
ABLIM3	ADHD
ABO	AUD
ABR	BMI
ABT1	BMI
ABT1	SCZ
ABT1	MDD
ABTB1	BMI
AC000032.2	BMI
AC002044.4	MDD
AC002306.1	SCZ
AC002310.12	BMI
AC002310.14	BMI
AC002310.14	AD
AC002398.11	BMI
AC002485.1	MDD
AC002550.5	BMI
AC002550.6	BMI
AC003045.1	MDD
AC003075.4	BMI
AC003084.2	MDD
AC003088.1	SCZ
AC004159.1	SCZ
AC004160.4	MDD
AC004381.6	BMI
AC004448.5	SCZ
AC004453.8	BMI
AC004690.2	MDD
AC004840.8	MDD
AC004840.9	MDD
AC004878.3	MDD
AC004878.6	BMI
AC005009.1	SCZ
AC005071.1	AD
AC005235.1	MDD
AC005306.3	BMI
AC005387.3	AD
AC005519.4	MDD
AC005522.7	BMI
AC005540.3	MDD
AC005609.1	MDD
AC005609.1	BIP
