Barcode,Cluster
aaaaofcp-1,2
aaabfgpj-1,19
aaacifap-1,8
aaaddjhf-1,19
aaaegakj-1,19
aaafhddp-1,19
aaagmnei-1,8
aaagpack-1,3
aaahahbm-1,8
aaahlhng-1,19
aaaiepbj-1,2
aaangcgn-1,6
aaaogmbg-1,19
aaaopphe-1,17
aaapppmk-1,19
aabakcdo-1,8
aabaphjo-1,19
aabchaep-1,19
aabcliea-1,19
aabcnlai-1,8
aabdejdb-1,8
aabegfao-1,19
aabficng-1,8
aabgelkp-1,6
aabheeje-1,1
aabjcppf-1,11
aabjdkek-1,8
aabjojdd-1,3
aabjpjck-1,6
aabkcgmj-1,1
aabkggca-1,6
aabkiopc-1,19
aabklcej-1,19
aabmofpn-1,6
aabnbgok-1,6
aabodefo-1,2
aabpcfka-1,6
aabpemdj-1,8
aabplckl-1,21
aacaagfp-1,12
aacacail-1,17
aacacmkb-1,17
aaccfgli-1,2
aaccnihc-1,19
aaccpgkl-1,19
aacdogoj-1,19
aaceielo-1,8
aachnhll-1,19
aacjgnoo-1,8
aacjjpfm-1,8
aacjloll-1,19
aaclkboj-1,2
aacnonlg-1,12
aacofpma-1,8
aadalboh-1,2
aadbmeem-1,2
aaddgfck-1,6
aaddload-1,21
aaddnpjo-1,19
aadedcbg-1,8
aadelpng-1,6
aadepgkm-1,6
aadfajmb-1,6
aadfofjg-1,1
aadgnogd-1,19
aadjkdll-1,12
aadkblae-1,17
aadkfhkb-1,1
aadknjbp-1,8
aadlkjja-1,12
aadloaai-1,17
aadmbhjn-1,8
aadmdlca-1,4
aadmkanj-1,3
aaeabgpp-1,1
aaebmibe-1,15
aaecbggf-1,16
aaeciiml-1,1
aaeckmcd-1,11
aaeeodmk-1,11
aaeffgmj-1,2
aaefhbpd-1,11
aaefhcia-1,9
aaegaoeo-1,3
aaegnlnd-1,8
aaeipoac-1,3
aaekehmc-1,4
aaeklkei-1,9
aaelfifh-1,9
aaemijme-1,9
aaemjfoo-1,11
aaemogda-1,3
aaenloif-1,2
aaenoaac-1,2
aaeoobin-1,12
aaepcmhf-1,8
aaepgklh-1,12
aaepkcmp-1,8
aafajbhk-1,1
aafakkaf-1,6
aafaoplg-1,8
aafbhmba-1,3
aafbinpn-1,19
aafccpan-1,6
aafclmgn-1,8
aafcnnhi-1,1
aafdlbmf-1,19
aafeondc-1,6
aaffdihc-1,2
aaffnjbh-1,12
aafifcfn-1,12
aafinmjh-1,17
aafjebcc-1,12
aaflnmio-1,17
aaflpgih-1,12
aafmecom-1,7
aafnajke-1,11
aafpmdnc-1,17
aagaedce-1,14
aagbaike-1,3
aagcobfe-1,6
aagdacdj-1,2
aagdkleg-1,10
aagdknbi-1,16
aagdmkpg-1,8
aagechgg-1,10
aagfphlf-1,6
aaggdghb-1,3
aaghfaoo-1,2
aagiebfh-1,6
aagimbed-1,9
aagjchih-1,8
aagjknkk-1,11
aaglclfk-1,2
aaglkkng-1,17
aagomiej-1,2
aagophdk-1,2
aahebogg-1,2
aaheepgk-1,3
aahfjaeh-1,3
aahgbmdf-1,16
aahgkmgi-1,7
aahhepcb-1,2
aahioeoa-1,1
aahkacmo-1,2
aahkmcip-1,7
aahmbngf-1,10
aahmjbaa-1,2
aahmlmgh-1,2
aahmlmpe-1,12
aahmmfic-1,2
aahmppnk-1,9
aahpohbo-1,17
aaiacehb-1,8
aaidjcai-1,11
aaidmden-1,17
aaieabin-1,2
aaighdai-1,7
aaiifkjj-1,2
aaiihccb-1,8
aaijphce-1,12
aaikjfag-1,3
aailcnae-1,3
aailhcje-1,6
aailljnf-1,11
aainafab-1,9
aainbnjo-1,8
aaincccm-1,3
aaiodlpa-1,4
aaioeggp-1,2
aaipdekh-1,5
aaipdepn-1,6
aajacmnn-1,2
aajbfplg-1,3
aajbojck-1,3
aajcncbe-1,2
aajdbkhm-1,1
aajdhifg-1,17
aajdjega-1,17
aajepjpa-1,3
aajfagkp-1,3
aajhalfc-1,17
aajhehim-1,1
aajhfoki-1,2
aajhmffg-1,7
aajiolea-1,6
aajjfpno-1,8
aajjjbmi-1,2
aajjlefa-1,2
aajlaoco-1,2
aajmbhah-1,2
aajmdlhk-1,3
aajmgmdc-1,1
aajmikjk-1,6
aajmppdo-1,11
aajnhobo-1,1
aajnoldl-1,6
aajpinbi-1,2
aajpmhpd-1,2
aakajaai-1,3
aakakebb-1,2
aakbegli-1,7
aakbehdo-1,2
aakdohko-1,17
aakefpne-1,3
aakhabab-1,4
aakhajig-1,17
aakhklbd-1,9
aakinadb-1,4
aakjgdbk-1,5
aaklicbo-1,10
aakmckgj-1,11
aakmdapn-1,10
aakmphej-1,3
aaknpbek-1,11
aakpbogh-1,1
aakpjegg-1,3
aalaminn-1,1
aalanngf-1,2
aalbeflp-1,2
aalceope-1,3
aalcomio-1,1
aalddepm-1,1
aaldoppp-1,1
aalhakka-1,1
aalinbkn-1,1
aaljmnin-1,2
aalknlho-1,16
aalmhhmd-1,3
aalpcieb-1,3
aalpgijh-1,1
aalpjnpd-1,3
aamcbkkb-1,1
aamcbngj-1,15
aamdlbbg-1,1
aameicei-1,2
aamgbkpo-1,4
aamghdco-1,4
aamhdpmo-1,6
aamjlokg-1,6
aamkhejm-1,2
aammbnnj-1,6
aammfhlc-1,10
aammmdle-1,6
aammmgec-1,8
aamnnfke-1,12
aamojjdf-1,3
aanahhha-1,7
aanampfk-1,3
aanapjbh-1,11
aanbbkek-1,3
aanelplg-1,1
aanfehja-1,1
aangbepp-1,3
aangnhme-1,3
aankmeeo-1,1
aankmfac-1,1
aanlapge-1,1
aannkfjd-1,6
aannknbk-1,9
aannpcfl-1,5
aanohchp-1,17
aanpbpie-1,2
aanpgmnc-1,2
aaoagicj-1,1
aaocadii-1,6
aaocpgpb-1,2
aaoehnhd-1,7
aaoeinfo-1,6
aaojabkl-1,1
aaojhhcl-1,16
aaojkdal-1,10
aaojllml-1,3
aaokemhn-1,1
aaonifod-1,9
aaonjdoj-1,2
aaonoaic-1,1
aaophahn-1,2
aapannpj-1,7
aapbgjop-1,2
aapbiban-1,3
aapbmacm-1,2
aapcfphl-1,6
aapeflfm-1,7
aapencea-1,8
aapfgogd-1,2
aapfpepf-1,9
aapghiem-1,4
aapinkib-1,2
aapjhgmn-1,4
aapjnedj-1,4
aapkbcdi-1,16
aapkhhjg-1,4
aapkiifi-1,4
aapknhdm-1,3
aaplhdcn-1,10
aapmbodp-1,8
aapmicko-1,4
aapnglkg-1,2
aapnnodc-1,2
aapodcje-1,3
abaaappk-1,8
ababbock-1,7
ababmibd-1,2
abaenknc-1,3
abaeoccp-1,16
abaepaem-1,3
abafepfl-1,1
abagmcln-1,2
abagndjj-1,2
abahpkgp-1,4
abamdbic-1,4
abampbig-1,4
abaoaccf-1,9
abaofnoh-1,4
abbahdoj-1,6
abbbhllf-1,1
abbchiin-1,9
abbcjbgi-1,5
abbckcpc-1,9
abbclpbd-1,4
abbclple-1,6
abbdalab-1,3
abbdepje-1,1
abbennie-1,3
abbhhnbb-1,9
abbiacpl-1,10
abbimlje-1,3
abbjcpcc-1,2
abbjpgdb-1,12
abbjpkni-1,1
abblcibl-1,2
abbmfpfe-1,1
abbmnnof-1,17
abbobiom-1,1
abbpmkmo-1,3
abbpmnmb-1,3
abcalfke-1,1
abcebhga-1,3
abcecbom-1,2
abcemaip-1,1
abcjeiop-1,7
abckaeia-1,2
abckhdpl-1,1
abckokpi-1,6
abclnhhe-1,1
abcmiiof-1,14
abcpgpae-1,11
abcphlfn-1,9
abdbbged-1,16
abdbendj-1,4
abdbfkdm-1,8
abdbjhhl-1,9
abdcddga-1,1
abdcmocf-1,9
abddfmoo-1,9
abddpeai-1,15
abdfpjlj-1,4
abdgahcd-1,7
abdgcibi-1,10
abdggllc-1,4
abdhgpng-1,15
abdhpjnp-1,7
abdidlnp-1,1
abdihbph-1,2
abdjboki-1,6
abdkdimm-1,4
abdlcfld-1,5
abdnijgh-1,5
abdnnmod-1,15
abdobmme-1,3
abdonmaa-1,10
abdpakpk-1,6
abdplchd-1,2
abeafock-1,3
abeajnlc-1,16
abebgbng-1,3
abeblmcm-1,3
abebmpce-1,9
abecklgf-1,2
abeddnle-1,6
abedeioh-1,3
abefdlig-1,3
abehlioi-1,1
abeidgjf-1,1
abejkkcb-1,9
abejohnc-1,6
abelacmn-1,6
abelifgg-1,15
abelkhfk-1,1
abemaain-1,3
abemmamd-1,10
abenifol-1,15
abeninfp-1,8
abenmhbn-1,2
abeonfon-1,7
abepphkm-1,11
abfbnahe-1,12
abfccdab-1,9
abfcffoi-1,4
abfckebm-1,21
abfddppl-1,4
abfdmopd-1,2
abfechhm-1,3
abfghijn-1,6
abfhpdjg-1,2
abfhpllb-1,3
abfjegbe-1,1
abfjmion-1,8
abfjnnbb-1,10
abfkmodo-1,3
abfmpmmh-1,1
abfnepkn-1,14
abfnfnan-1,4
abfoeepd-1,6
abfohhlb-1,3
abfpciep-1,2
abfppblh-1,1
abgbgohe-1,6
abgefbpm-1,7
abgepkdd-1,17
abgfdloo-1,1
abgffpef-1,2
abgglfhg-1,3
abgjdcdh-1,3
abgjeddh-1,4
abgjkfok-1,10
abgklfac-1,8
abglmmko-1,3
abgmcbmb-1,3
abgmmagd-1,1
abgoldme-1,7
abhadpih-1,9
abhaehai-1,15
abhcdkpp-1,2
abhdefip-1,1
abhggmoi-1,12
abhihlhd-1,11
abhiiacc-1,3
abhjkcao-1,1
abhjkhah-1,2
abhjkkkb-1,4
abhjonbm-1,16
abhkndmj-1,9
abhllnlk-1,4
abhlogoi-1,16
abhlohcn-1,7
abhmnhgn-1,5
abhpofhf-1,1
abicpndg-1,2
abiekock-1,7
abieoefc-1,3
abiglpgi-1,7
abignbdp-1,2
