NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
NR5A1	1	NR5A1	
FEZF1	1	FEZF1	
SOX14	1	SOX14	
KLK7	1	KLK7	
NRGN	1	NRGN	
TMEM215	1	TMEM215	
ADCYAP1	1	ADCYAP1	
SOSTDC1	1	SOSTDC1	
HS3ST4	1	HS3ST4	
ANKRD34B	1	ANKRD34B	
SLC17A6	1	SLC17A6	
LINC01615	1	LINC01615	
DGKK	1	DGKK	
ICAM5	1	ICAM5	
LAMP5	1	LAMP5	
LBHD2	1	LBHD2	
RBFOX1	1	RBFOX1	
FEZF1-AS1	1	FEZF1-AS1	
GABRA5	1	GABRA5	
TMEM233	1	TMEM233	
VGLL2	1	VGLL2	
BDNF	1	BDNF	
CDH13	1	CDH13	
GPR6	1	GPR6	
KRT8	1	KRT8	
NXPH2	1	NXPH2	
PCP4L1	1	PCP4L1	
C6orf141	1	C6orf141	
SYT6	1	SYT6	
FRMPD2	1	FRMPD2	
KISS1R	1	KISS1R	
CHRM1	1	CHRM1	
DDN	1	DDN	
KCNA1	1	KCNA1	
NPTX1	1	NPTX1	
PLCXD2	1	PLCXD2	
NOS1	1	NOS1	
CLEC4G	1	CLEC4G	
RPRML	1	RPRML	
NR0B1	1	NR0B1	
PTH2R	1	PTH2R	
WNT10B	1	WNT10B	
HTR7	1	HTR7	
GPR149	1	GPR149	
CLEC2L	1	CLEC2L	
PMCH	1	PMCH	
TAFA1	1	TAFA1	
CYP26A1	1	CYP26A1	
NPVF	1	NPVF	
DDN-AS1	1	DDN-AS1	
TCERG1L	1	TCERG1L	
VSNL1	1	VSNL1	
C1QL2	1	C1QL2	
TAC1	1	TAC1	
LINC00645	1	LINC00645	
PRKCG	1	PRKCG	
GRM4	1	GRM4	
HS6ST2	1	HS6ST2	
PCDH19	1	PCDH19	
C1orf115	1	C1orf115	
KCNH5	1	KCNH5	
CD6	1	CD6	
STK26	1	STK26	
KCNJ5	1	KCNJ5	
DOC2A	1	DOC2A	
GALR1	1	GALR1	
BMP8B	1	BMP8B	
KCNK4	1	KCNK4	
ARPP21	1	ARPP21	
CHRM5	1	CHRM5	
ISLR2	1	ISLR2	
GLRA3	1	GLRA3	
CD8B	1	CD8B	
CAMK1G	1	CAMK1G	
MYO15A	1	MYO15A	
TMEM275	1	TMEM275	
PITPNM3	1	PITPNM3	
SDR16C5	1	SDR16C5	
SLC17A8	1	SLC17A8	
KRT18	1	KRT18	
GREM2	1	GREM2	
EGR4	1	EGR4	
CA10	1	CA10	
PRDM13	1	PRDM13	
HRH3	1	HRH3	
KCNS2	1	KCNS2	
AKAP14	1	AKAP14	
SH2D5	1	SH2D5	
TOX3	1	TOX3	
SLC35F3	1	SLC35F3	
SLC35F4	1	SLC35F4	
MYZAP	1	MYZAP	
SOX1	1	SOX1	
SSTR3	1	SSTR3	
KLHL1	1	KLHL1	
TLL2	1	TLL2	
VWA5B2	1	VWA5B2	
RASGRF2	1	RASGRF2	
ANO3	1	ANO3	
OTOF	1	OTOF	
PLPPR5	1	PLPPR5	
CAMK2A	1	CAMK2A	
CTXN3	1	CTXN3	
CEACAM21	1	CEACAM21	
LHX5-AS1	1	LHX5-AS1	
GDF10	1	GDF10	
HTR1D	1	HTR1D	
KLK10	1	KLK10	
FFAR4	1	FFAR4	
KCNJ4	1	KCNJ4	
RFPL2	1	RFPL2	
DYDC2	1	DYDC2	
GDA	1	GDA	
RPRM	1	RPRM	
SYT2	1	SYT2	
PCDH11X	1	PCDH11X	
NPTX2	1	NPTX2	
RBFOX3	1	RBFOX3	
CCKBR	1	CCKBR	
SFTA3	1	SFTA3	
GPR150	1	GPR150	
PRMT8	1	PRMT8	
CPNE4	1	CPNE4	
GABRA1	1	GABRA1	
GABRD	1	GABRD	
ST6GAL2	1	ST6GAL2	
CAMKV	1	CAMKV	
FXYD7	1	FXYD7	
WSCD2	1	WSCD2	
CACNA2D1	1	CACNA2D1	
SLITRK3	1	SLITRK3	
TRIP13	1	TRIP13	
KCNAB1	1	KCNAB1	
FGF9	1	FGF9	
IGSF10	1	IGSF10	
CBLN1	1	CBLN1	
TMEM132D	1	TMEM132D	
GPR12	1	GPR12	
CACNA1I	1	CACNA1I	
MPPED1	1	MPPED1	
TACR1	1	TACR1	
ASIC2	1	ASIC2	
TMEM163	1	TMEM163	
CACNA1H	1	CACNA1H	
TENM2	1	TENM2	
GABRB2	1	GABRB2	
PCSK2	1	PCSK2	
CDH7	1	CDH7	
KCNB2	1	KCNB2	
TAFA2	1	TAFA2	
NKX2-1	1	NKX2-1	
CREB3L1	1	CREB3L1	
SOX1-OT	1	SOX1-OT	
CCNO	1	CCNO	
SOWAHA	1	SOWAHA	
CACNG8	1	CACNG8	
CHRM3	1	CHRM3	
GRM5	1	GRM5	
RASGRF2-AS1	1	RASGRF2-AS1	
SLC6A7	1	SLC6A7	
RTBDN	1	RTBDN	
SLC27A2	1	SLC27A2	
LINC02283	1	LINC02283	
NPW	1	NPW	
ERICH5	1	ERICH5	
OPRD1	1	OPRD1	
SLITRK4	1	SLITRK4	
RBP4	1	RBP4	
PYDC1	1	PYDC1	
RASAL1	1	RASAL1	
TMEM100	1	TMEM100	
GRIN3A	1	GRIN3A	
CRYGD	1	CRYGD	
LINC01234	1	LINC01234	
GJD2	1	GJD2	
ST6GALNAC5	1	ST6GALNAC5	
SNCA	1	SNCA	
RGS14	1	RGS14	
OPRK1	1	OPRK1	
GPR26	1	GPR26	
CBLN4	1	CBLN4	
PNCK	1	PNCK	
LIPG	1	LIPG	
PAQR9	1	PAQR9	
MROCKI	1	LINC01268	
CHRM2	1	CHRM2	
DAW1	1	DAW1	
LHX5	1	LHX5	
NR2F2	1	NR2F2	
MALL	1	MALL	
MATK	1	MATK	
HES5	1	HES5	
OXTR	1	OXTR	
ELK1	1	ELK1	
CARTPT	1	CARTPT	
CDH22	1	CDH22	
VSTM2A	1	VSTM2A	
SLC1A6	1	SLC1A6	
IGFBPL1	1	IGFBPL1	
TDRD9	1	TDRD9	
PTPRT	1	PTPRT	
EPHA10	1	EPHA10	
PWWP3B	1	PWWP3B	
COL26A1	1	COL26A1	
SFRP5	1	SFRP5	
GPR88	1	GPR88	
TNNC2	1	TNNC2	
ABTB3	1	BTBD11	
SHC3	1	SHC3	
SYNPR	1	SYNPR	
IPCEF1	1	IPCEF1	
CCK	1	CCK	
SORCS1	1	SORCS1	
GRK5	1	GRK5	
SPTSSB	1	SPTSSB	
PTK2B	1	PTK2B	
C22orf42	1	C22orf42	
GRHL1	1	GRHL1	
KCNIP2	1	KCNIP2	
CABLES1	1	CABLES1	
GPC5	1	GPC5	
CNGB1	1	CNGB1	
UNC13C	1	UNC13C	
C11orf97	1	C11orf97	
NAGS	1	NAGS	
TSPAN18	1	TSPAN18	
SLC24A3	1	SLC24A3	
SLC13A5	1	SLC13A5	
RSPO3	1	RSPO3	
LINC01322	1	LINC01322	
KL	1	KL	
ENTREP2	1	FAM189A1	
SLC7A3	1	SLC7A3	
ACVR1C	1	ACVR1C	
PKIB	1	PKIB	
DIRAS3	1	DIRAS3	
RSPO4	1	RSPO4	
KCNQ5	1	KCNQ5	
HAS1	1	HAS1	
ITPR1	1	ITPR1	
MYO5B	1	MYO5B	
NECTIN3	1	NECTIN3	
SYN2	1	SYN2	
LETR1	1	LINC01197	
KCNN1	1	KCNN1	
KLF5	1	KLF5	
MAL2	1	MAL2	
STYK1	1	STYK1	
FAM166C	1	FAM166C	
FKBP1B	1	FKBP1B	
VSTM2A-OT1	1	VSTM2A-OT1	
CCBE1	1	CCBE1	
NUDT11	1	NUDT11	
PRKAG2-AS1	1	PRKAG2-AS1	
LRTM2	1	LRTM2	
PRRT2	1	PRRT2	
CNTN6	1	CNTN6	
PDE2A	1	PDE2A	
NOG	1	NOG	
MIR4500HG	1	MIR4500HG	
SNTG1	1	SNTG1	
CNR1	1	CNR1	
RERG	1	RERG	
SEZ6L	1	SEZ6L	
EPCAM	1	EPCAM	
TMEM221	1	TMEM221	
CHAD	1	CHAD	
NT5DC3	1	NT5DC3	
PEG10	1	PEG10	
PLPPR3	1	PLPPR3	
GPRIN2	1	GPRIN2	
MRTFB	1	MRTFB	
TMEM158	1	TMEM158	
DPP10-AS1	1	DPP10-AS1	
AGAP2	1	AGAP2	
HBQ1	1	HBQ1	
LINC01106	1	LINC01106	
BCL2L10	1	BCL2L10	
HYCC1	1	FAM126A	
SCN8A	1	SCN8A	
CHODL	1	CHODL	
IGFN1	1	IGFN1	
KCNV1	1	KCNV1	
SLITRK1	1	SLITRK1	
GOLT1A	1	GOLT1A	
SV2B	1	SV2B	
WNT7B	1	WNT7B	
STX1A	1	STX1A	
CD83	1	CD83	
F2RL2	1	F2RL2	
NOL4	1	NOL4	
FAM110C	1	FAM110C	
KCNIP1	1	KCNIP1	
PDE1A	1	PDE1A	
RESP18	1	RESP18	
C4orf50	1	C4orf50	
SLC26A8	1	SLC26A8	
CHST8	1	CHST8	
SLC8A2	1	SLC8A2	
LRRC7	1	LRRC7	
FST	1	FST	
ERICH3	1	ERICH3	
MAPK13	1	MAPK13	
HS3ST5	1	HS3ST5	
MACROD2	1	MACROD2	
LINGO2	1	LINGO2	
KIAA1549L	1	KIAA1549L	
CNFN	1	CNFN	
ADRA2C	1	ADRA2C	
DLGAP2	1	DLGAP2	
CNTN5	1	CNTN5	
ACTC1	1	ACTC1	
ESR1	1	ESR1	
KCNH3	1	KCNH3	
LINC02223	1	LINC02223	
ELFN1	1	ELFN1	
NXPH1	1	NXPH1	
FABP6	1	FABP6	
LRRC56	1	LRRC56	
GALNT9	1	GALNT9	
RAB26	1	RAB26	
EGR3	1	EGR3	
OCA2	1	OCA2	
MFSD4A	1	MFSD4A	
VSTM2L	1	VSTM2L	
FBXL16	1	FBXL16	
SLIT1	1	SLIT1	
RXRG	1	RXRG	
NPPC	1	NPPC	
RIN1	1	RIN1	
MAPK15	1	MAPK15	
QRFPR	1	QRFPR	
MYT1L	1	MYT1L	
PDYN	1	PDYN	
TMEM35A	1	TMEM35A	
RAB3B	1	RAB3B	
GALNTL6	1	GALNTL6	
SCN2A	1	SCN2A	
DNAH10OS	1	DNAH10OS	
IGSF21	1	IGSF21	
SLC9A5	1	SLC9A5	
TLE6	1	TLE6	
PLPPR4	1	PLPPR4	
ADAM11	1	ADAM11	
DRD1	1	DRD1	
NUDT10	1	NUDT10	
KCNT1	1	KCNT1	
MYH7B	1	MYH7B	
KHDRBS2	1	KHDRBS2	
MDFI	1	MDFI	
FRMPD4	1	FRMPD4	
RASD2	1	RASD2	
PAK5	1	PAK5	
LRFN2	1	LRFN2	
RTP5	1	RTP5	
ANKRD34C	1	ANKRD34C	
SCN4B	1	SCN4B	
MEGF11	1	MEGF11	
KCNK9	1	KCNK9	
NTNG1	1	NTNG1	
CALB2	1	CALB2	
SMPD3	1	SMPD3	
PLXNA4	1	PLXNA4	
KLHDC8A	1	KLHDC8A	
