gene,clus,fdr,logFC
ABCC9,X10,1.26953029152875e-11,2.28910540154783
ABCC9,X13,1.55616488899553e-20,3.01999977099687
ABCC9,X18,0.0191580501543395,0.937809982098681
ABCC9,X19,0.00634858924995599,1.07166800577013
ABCC9,X2,1.73919301442657e-06,1.7070291750766
ABCC9,X28,0.0133829276666547,0.887392081930247
ABCC9,X32,0.00161404788811599,1.17592443368811
ABCC9,X5,0.00858156369863464,1.06156281754329
ACVR1C,X12,4.82801143760625e-06,1.29957832115378
ACVR1C,X15,1.72135777700074e-27,2.8206135847232
ACVR1C,X19,0.0038309668966503,0.913755751039879
ACVR1C,X23,0.0450317818435364,0.594827867846226
ACVR1C,X33,1.68342304708486e-09,1.69695442906345
ACVR1C,X37,0.00352450775491418,1.53138945438493
ACVR1C,X6,0.007276207252925,0.78898928561526
ADAMTS12,X10,0.00153925632347074,1.17687143269442
ADAMTS12,X16,5.28938377941799e-15,2.71117723721274
ADAMTS12,X17,2.29250891596262e-05,1.93771205440045
ADAMTS12,X31,0.000959656684360568,1.28478104221277
ADAMTS12,X32,0.0266625829124824,0.874670485438022
ADAMTS12,X35,0.0157415331450823,2.5629427953637
ADAMTS12,X6,3.61467028512879e-05,1.50684183987595
ADAMTS16,X13,5.67823318750195e-11,2.43728190603632
ADAMTS16,X21,0.000163001643940529,1.50774733764101
ADAMTS16,X28,0.0043744626270916,1.11926065264652
ADAMTS16,X5,0.0101922005753598,1.13983214407429
ADAMTS3,X10,0.00139526751617974,1.02472942190882
ADAMTS3,X12,0.0892577137418648,0.5471070653198
ADAMTS3,X17,6.69082740109955e-06,1.77489584617428
ADAMTS3,X19,0.00137454060455433,1.11292554352225
ADAMTS3,X32,7.05725501623983e-27,3.18989974241228
ADARB1,X1,1.47309655334222e-07,1.1449690384995
ADARB1,X12,0.0110323407028508,0.557317863549713
ADARB1,X15,0.0450039564604768,0.448968653339303
ADARB1,X20,2.69089898148219e-10,1.34663015157084
ADARB1,X21,0.0210806145434551,0.529962616732687
ADARB1,X23,0.00140016262155469,0.722356403431886
ADARB1,X28,0.0092282391628309,0.57529443549737
ADARB1,X31,0.00451895053797586,0.648734452735054
ADARB1,X4,0.0579643159763123,0.589328402850987
ADCYAP1,X12,1.28125382582546e-21,3.29573561609132
ADCYAP1,X18,2.92300110083963e-09,2.24117948361682
ADCYAP1,X20,3.05067809091254e-07,1.90756092932249
ADCYAP1,X30,1.33847199891013e-12,2.54506572860519
ADCYAP1,X7,0.00839464058099224,1.17314938985379
ADCYAP1,X8,0.0358159701361235,0.963202847506656
ADRA1A,X10,7.63346260375242e-23,2.26771162313527
ADRA1A,X14,0.0897711106765519,0.4711187986575
ADRA1A,X2,0.0167056046595652,0.700114910420979
ADRA1A,X20,0.0195949676499972,0.592202790972286
ADRA1A,X21,4.06271119390284e-09,1.46611740828063
ADRA1A,X28,0.00139729771636084,0.818021389792273
