gene	clus	fdr	logFC	bjm_annot	bjm_misc_notes
GAD1	X1	3.44e-10	3.068375904	Other_GABAergic_1	
GAD2	X1	3.06e-08	2.913477515	Other_GABAergic_1	
NPFFR2	X1	3.06e-08	2.867267956	Other_GABAergic_1	
RELN	X1	6.94e-09	2.570269441	Other_GABAergic_1	
CHODL	X1	6.94e-09	2.503767774	Other_GABAergic_1	
TENM1	X1	3.02e-08	2.397845987	Other_GABAergic_1	
HTR2C	X1	2.59e-06	2.269682853	Other_GABAergic_1	
NDST4	X1	4.53e-06	2.245799038	Other_GABAergic_1	
CRHBP	X1	3.44e-10	2.227456455	Other_GABAergic_1	
CRHR2	X1	4.03e-05	2.175582604	Other_GABAergic_1	
SLC10A4	X1	2.52e-06	2.117297522	Other_GABAergic_1	
GLRA3	X1	0.000174023	2.095173552	Other_GABAergic_1	
HS3ST2	X1	0.000251963	2.092435879	Other_GABAergic_1	
THSD7B	X1	1.63e-05	2.082093898	Other_GABAergic_1	
HS6ST2	X1	2.94e-06	1.983721063	Other_GABAergic_1	
ECEL1	X1	0.000917883	1.946696943	Other_GABAergic_1	
CHGB	X1	2.04e-05	1.908596625	Other_GABAergic_1	
DCC	X1	6.28e-07	1.898743622	Other_GABAergic_1	
PCDH19	X1	0.000179805	1.862585611	Other_GABAergic_1	
VGF	X1	6.26e-05	1.843345143	Other_GABAergic_1	
TAC3	X1	0.006474462	1.8210625	Other_GABAergic_1	
GABRE	X1	0.004582026	1.817237231	Other_GABAergic_1	
KCNH5	X1	0.00041579	1.75192715	Other_GABAergic_1	
VSNL1	X1	3.96e-05	1.744414295	Other_GABAergic_1	
VWC2L	X1	0.000185937	1.743298843	Other_GABAergic_1	
PTPRN	X1	0.000204379	1.67808219	Other_GABAergic_1	
CUX2	X1	0.000251482	1.668554551	Other_GABAergic_1	
TRPC5	X1	0.001162072	1.661783042	Other_GABAergic_1	
ZCCHC12	X1	0.000203787	1.653307511	Other_GABAergic_1	
GABRQ	X1	0.002925591	1.652818253	Other_GABAergic_1	
LYPD6B	X1	0.010908038	1.63838947	Other_GABAergic_1	
CCNB2	X1	0.002835329	1.609074913	Other_GABAergic_1	
DOC2A	X1	0.000917883	1.603787887	Other_GABAergic_1	
NPY2R	X1	0.008111224	1.574041454	Other_GABAergic_1	
TRPC6	X1	0.023368267	1.567300874	Other_GABAergic_1	
CDH12	X1	0.000709841	1.565912422	Other_GABAergic_1	
CCK	X1	0.003247324	1.514699221	Other_GABAergic_1	
NPNT	X1	0.004782907	1.513756175	Other_GABAergic_1	
C1QL3	X1	0.000321991	1.503556019	Other_GABAergic_1	
ANK1	X1	0.00068746	1.482343599	Other_GABAergic_1	
KIT	X1	0.001024581	1.480060454	Other_GABAergic_1	
CDH13	X1	0.002662689	1.478216878	Other_GABAergic_1	
GLRA2	X1	0.003269506	1.477138578	Other_GABAergic_1	
GSX1	X1	0.047856674	1.475749716	Other_GABAergic_1	
RIT2	X1	0.001847921	1.445938843	Other_GABAergic_1	
B4GALNT1	X1	4.25e-05	1.422158312	Other_GABAergic_1	
SST	X1	0.002185614	1.395639311	Other_GABAergic_1	
BRINP3	X1	0.000451013	1.394995685	Other_GABAergic_1	
POU6F2	X1	0.005569218	1.390819338	Other_GABAergic_1	
TAC1	X1	0.007748223	1.383234716	Other_GABAergic_1	
PEG10	X1	3.38e-05	1.371753585	Other_GABAergic_1	
PCLO	X1	0.000174023	1.360219234	Other_GABAergic_1	
C2orf80	X1	0.00068746	1.354792299	Other_GABAergic_1	
CCNA1	X1	0.013316048	1.336571185	Other_GABAergic_1	
ALK	X1	0.00798367	1.33517394	Other_GABAergic_1	
SLC24A3	X1	1.07e-08	1.334053237	Other_GABAergic_1	
NRP1	X1	0.005901194	1.295499657	Other_GABAergic_1	
MC4R	X1	0.009006533	1.275236984	Other_GABAergic_1	
SSTR1	X1	0.009034812	1.223708645	Other_GABAergic_1	
RAB3B	X1	0.001132404	1.194882601	Other_GABAergic_1	
CD83	X1	0.00061759	1.170626697	Other_GABAergic_1	
MYT1L	X1	1.28e-06	1.170563303	Other_GABAergic_1	
BTBD11	X1	0.000405396	1.167630656	Other_GABAergic_1	
PDGFD	X1	0.000566895	1.157368515	Other_GABAergic_1	
RORB	X1	0.000508716	1.147121515	Other_GABAergic_1	
TPH2	X1	0.035024661	1.131770402	Other_GABAergic_1	
NNAT	X1	0.004702256	1.128188433	Other_GABAergic_1	
RBFOX1	X1	0.011218704	1.125105234	Other_GABAergic_1	
NPY1R	X1	0.013232823	1.102097455	Other_GABAergic_1	
CDH4	X1	0.000566895	1.080466552	Other_GABAergic_1	
ADARB1	X1	0.005266423	1.079999856	Other_GABAergic_1	
RGS16	X1	0.009006533	1.07466113	Other_GABAergic_1	
COL25A1	X1	0.053363355	1.054215364	Other_GABAergic_1	
ANO3	X1	0.020617808	1.045370669	Other_GABAergic_1	
LHX6	X1	0.013502617	1.019506912	Other_GABAergic_1	
KRT18	X1	1.5e-06	1.01680227	Other_GABAergic_1	
SYNPR	X1	0.003269506	1.015022193	Other_GABAergic_1	
FSTL4	X1	0.018352066	1.011006002	Other_GABAergic_1	
CNTNAP3B	X1	0.010908038	1.009362672	Other_GABAergic_1	
SPHKAP	X1	0.035024661	0.99840507	Other_GABAergic_1	
HRH3	X1	0.006853364	0.986862457	Other_GABAergic_1	
TMEM233	X1	0.063786856	0.970996848	Other_GABAergic_1	
RFTN1	X1	0.003126778	0.953681785	Other_GABAergic_1	
PLCH1	X1	0.00798367	0.953092552	Other_GABAergic_1	
PLD5	X1	0.014378809	0.95246316	Other_GABAergic_1	
TSHZ2	X1	0.002925591	0.939042029	Other_GABAergic_1	
TRHDE	X1	0.022782555	0.91954536	Other_GABAergic_1	
ZDHHC23	X1	0.053735316	0.915004763	Other_GABAergic_1	
PTCHD4	X1	0.009315634	0.890486473	Other_GABAergic_1	
PCP4	X1	0.014934032	0.874646433	Other_GABAergic_1	
PSEN2	X1	0.00588485	0.860155615	Other_GABAergic_1	
DLG4	X1	0.004250966	0.859160303	Other_GABAergic_1	
NECAB2	X1	0.042238902	0.858999436	Other_GABAergic_1	
PCDH7	X1	0.00798367	0.857976384	Other_GABAergic_1	
MYO16	X1	0.000505988	0.840682786	Other_GABAergic_1	
GFOD1	X1	0.000765986	0.839462014	Other_GABAergic_1	
STK32B	X1	0.010908038	0.832906385	Other_GABAergic_1	
ARHGAP24	X1	0.066646737	0.778163711	Other_GABAergic_1	
SOX4	X1	0.003012218	0.776207808	Other_GABAergic_1	
TMEM132C	X1	0.039853385	0.769576616	Other_GABAergic_1	
APP	X1	0.000157662	0.757853246	Other_GABAergic_1	
HRH1	X1	0.046819878	0.750219768	Other_GABAergic_1	
CAMK2A	X1	0.035024661	0.706322883	Other_GABAergic_1	
SOX11	X1	0.001397273	0.696374356	Other_GABAergic_1	
DNER	X1	0.017419681	0.685855174	Other_GABAergic_1	
GABRA5	X1	0.043563671	0.685278033	Other_GABAergic_1	
ANKRD18A	X1	0.037203719	0.681337353	Other_GABAergic_1	
SAMD5	X1	0.015800001	0.670088825	Other_GABAergic_1	
RNF152	X1	0.032308719	0.631236282	Other_GABAergic_1	
RRAGB	X1	0.003621136	0.424943905	Other_GABAergic_1	
FGFR3	X2	1.89e-18	3.17759691	Astrocyte_1	
EGFR	X2	1.57e-13	2.829844932	Astrocyte_1	
OXTR	X2	1.57e-13	2.794327663	Astrocyte_1	
SOX9	X2	1.63e-13	2.684226223	Astrocyte_1	
SPON1	X2	3.19e-14	2.679963658	Astrocyte_1	
RYR3	X2	2.18e-11	2.569710978	Astrocyte_1	
FRMPD2	X2	4.48e-08	2.494502381	Astrocyte_1	
TRIL	X2	7.61e-18	2.479905999	Astrocyte_1	
GJA1	X2	2.22e-16	2.447397832	Astrocyte_1	
TTYH1	X2	8.33e-19	2.402545457	Astrocyte_1	
SOX2	X2	1.63e-13	2.15228569	Astrocyte_1	
AQP4	X2	3.94e-15	2.122423726	Astrocyte_1	
APOE	X2	7.9e-19	2.058300154	Astrocyte_1	
HES1	X2	3.31e-06	2.056266991	Astrocyte_1	
PAX6	X2	4.8e-09	2.050818495	Astrocyte_1	
NTNG2	X2	1.97e-09	2.03005458	Astrocyte_1	
CTSH	X2	6.18e-07	2.014310806	Astrocyte_1	
CXCR4	X2	0.001279357	1.946341739	Astrocyte_1	
COL12A1	X2	0.000353379	1.925086449	Astrocyte_1	
ABCC9	X2	5.17e-05	1.904262989	Astrocyte_1	
FBLN1	X2	0.000100899	1.875304673	Astrocyte_1	
IDH2	X2	4.65e-23	1.855479323	Astrocyte_1	
ELOVL2	X2	1.7e-06	1.850838638	Astrocyte_1	
NOTCH1	X2	3.65e-07	1.759768622	Astrocyte_1	
MGST1	X2	4.7e-11	1.747091765	Astrocyte_1	
PTPRZ1	X2	4.43e-08	1.742321228	Astrocyte_1	
CXCL14	X2	4.46e-06	1.719697347	Astrocyte_1	
FOS	X2	0.000411163	1.715089168	Astrocyte_1	
HHATL	X2	0.000175676	1.64870915	Astrocyte_1	
TP53	X2	2.52e-09	1.620083944	Astrocyte_1	
MEIS2	X2	0.00029041	1.591396227	Astrocyte_1	
TGFB2	X2	4.21e-07	1.578945426	Astrocyte_1	
MT2A	X2	0.009061111	1.536573528	Astrocyte_1	
BCAN	X2	1.18e-06	1.520997838	Astrocyte_1	
PTGDS	X2	6.35e-09	1.401454744	Astrocyte_1	
NR2F2	X2	0.019825737	1.356158643	Astrocyte_1	
RASGRP1	X2	0.010501664	1.315070752	Astrocyte_1	
NTRK3	X2	3.07e-07	1.310507451	Astrocyte_1	
RNF144B	X2	0.074346867	1.173105104	Astrocyte_1	
RORB	X2	0.000575685	1.162986045	Astrocyte_1	
HILPDA	X2	0.006761305	1.099548166	Astrocyte_1	
FSTL4	X2	0.030398355	1.08828503	Astrocyte_1	
LYPD6	X2	0.023616547	1.035481494	Astrocyte_1	
BRINP3	X2	0.031143422	0.989814651	Astrocyte_1	
PCDH7	X2	0.009098654	0.935786245	Astrocyte_1	
IDH1	X2	4.92e-05	0.927387591	Astrocyte_1	
FGFR2	X2	0.030398355	0.923503832	Astrocyte_1	
EFHD1	X2	0.013938574	0.893031904	Astrocyte_1	
ADRA1A	X2	0.065449011	0.824205849	Astrocyte_1	
PLCH1	X2	0.064253381	0.821363095	Astrocyte_1	
VCAN	X2	0.073099918	0.806956816	Astrocyte_1	
SULF1	X2	0.030398355	0.778725483	Astrocyte_1	
TNRC6B	X2	1.12e-08	0.751137321	Astrocyte_1	
NTNG1	X2	0.016953844	0.733230423	Astrocyte_1	
STAT3	X2	0.013388862	0.610661505	Astrocyte_1	
SNTB2	X2	0.07085974	0.523622187	Astrocyte_1	
CELF2	X2	0.010309459	0.374024752	Astrocyte_1	
ATP2C2	X3	2.88e-23	4.02300317	Oligodendrocyte_Precursor_cells_(OPC)	
PDGFRA	X3	8.05e-39	3.860324994	Oligodendrocyte_Precursor_cells_(OPC)	
OLIG2	X3	1.89e-15	3.577214091	Oligodendrocyte_Precursor_cells_(OPC)	
VCAN	X3	2.95e-25	3.306237342	Oligodendrocyte_Precursor_cells_(OPC)	
SOX10	X3	3.81e-10	2.923411304	Oligodendrocyte_Precursor_cells_(OPC)	
CSPG4	X3	8.73e-14	2.653631447	Oligodendrocyte_Precursor_cells_(OPC)	
GPNMB	X3	1.22e-05	2.615352477	Oligodendrocyte_Precursor_cells_(OPC)	
CALCRL	X3	1.93e-05	2.569611403	Oligodendrocyte_Precursor_cells_(OPC)	
OLIG1	X3	7.15e-16	2.4399753	Oligodendrocyte_Precursor_cells_(OPC)	
PTPRZ1	X3	2.47e-15	2.409837477	Oligodendrocyte_Precursor_cells_(OPC)	
BCAN	X3	5.02e-16	2.39872303	Oligodendrocyte_Precursor_cells_(OPC)	
STK32B	X3	1.17e-12	2.172286998	Oligodendrocyte_Precursor_cells_(OPC)	
SEMA5A	X3	5.04e-11	2.129286661	Oligodendrocyte_Precursor_cells_(OPC)	
GSX1	X3	0.02202917	2.055793752	Oligodendrocyte_Precursor_cells_(OPC)	
ERBB3	X3	0.000508223	2.037139172	Oligodendrocyte_Precursor_cells_(OPC)	
ITGA8	X3	0.007950265	1.963234046	Oligodendrocyte_Precursor_cells_(OPC)	
