gene	clus	fdr	logFC
ABCC9	X10	6.12875340317386e-08	2.40621617858284
ABCC9	X13	7.62488414086827e-14	3.2076441743932
ABCC9	X18	0.0512870591521029	1.07439060313148
ABCC9	X19	0.0231610222316096	1.2166543105311
ABCC9	X2	5.16511272199317e-05	1.90426298871102
ABCC9	X24	0.0206888776668861	1.27663908146487
ABCC9	X25	0.00618930105951643	1.27035372871785
ABCC9	X28	0.0225928636746846	1.08284357807293
ABCC9	X32	0.00327817877627386	1.41081387833763
ABCC9	X5	0.0234787556170067	1.21487131730008
ACVR1C	X12	0.000686374270727811	1.35055572446029
ACVR1C	X15	4.529101246029e-15	2.90033031772736
ACVR1C	X19	0.0287940848239405	1.00737146920127
ACVR1C	X33	1.11154547769302e-05	1.73892690661026
ACVR1C	X36	0.0598605577696183	2.6070729040391
ACVR1C	X37	7.92040658866458e-05	1.52959212184441
ACVR1C	X6	0.0436324690612268	0.835749683974053
ADAMTS12	X10	0.00725738939496535	1.40005118852543
ADAMTS12	X16	1.35779367300282e-10	3.11433218609083
ADAMTS12	X17	0.00694979620502642	1.48510243952739
ADAMTS12	X31	0.0960857519216573	0.884954257792231
ADAMTS12	X35	0.0674492606019348	1.10114955131642
ADAMTS12	X6	0.000926496661698807	1.69945666998989
ADAMTS16	X13	2.16660676897271e-07	2.67620016775716
ADAMTS16	X21	0.00183793773831588	1.74462028111176
ADAMTS16	X22	0.00228752176928063	1.84811376295577
ADAMTS16	X28	0.0123748749550491	1.36200292756975
ADAMTS16	X5	0.0335421569278637	1.34211463238762
ADAMTS3	X10	0.0202626943493148	1.29101162758411
ADAMTS3	X19	0.0268917999877863	1.39832546885645
ADAMTS3	X32	2.65664590746027e-12	3.58220226505746
ADARB1	X1	0.00526642331923359	1.07999985607864
ADARB1	X20	0.000400697849903122	1.35321836709327
ADARB1	X23	0.0610488633842813	0.761819688544894
ADARB1	X26	0.0196241607002408	0.968308846279722
ADARB1	X28	0.0728929526375246	0.708656748396902
ADARB1	X31	0.0887417628751379	0.663997702553019
ADARB1	X38	5.57899509652189e-05	1.83790016747318
ADCYAP1	X12	3.30544077564875e-15	3.4611673525775
ADCYAP1	X18	3.26906363902322e-07	2.44432189995764
ADCYAP1	X20	9.51208358534284e-06	2.04980222052336
ADCYAP1	X25	0.0325179616911719	1.01052856015688
