NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
GRIN2B	1	GRIN2B	
DOK6	1	DOK6	
CAMK1G	1	CAMK1G	
ZNF681	1	ZNF681	
SLITRK4	1	SLITRK4	
CACNA1B	1	CACNA1B	
GABRA5	1	GABRA5	
FBXO41	1	FBXO41	
CHD5	1	CHD5	
C2CD2L	1	C2CD2L	
MYT1L	1	MYT1L	
CDK5R1	1	CDK5R1	
TTR	1	TTR	
ARFGEF3	1	ARFGEF3	
RIT2	1	RIT2	
SLC6A15	1	SLC6A15	
DOP1B	1	DOP1B	
VSTM2A	1	VSTM2A	
ADD2	1	ADD2	
SOX1	1	SOX1	
SAC3D1	1	SAC3D1	
GDA	1	GDA	
STK19	1	STK19	
NEURL1	1	NEURL1	
DIRAS2	1	DIRAS2	
DOCK3	1	DOCK3	
PCDH8	1	PCDH8	
RIIAD1	1	RIIAD1	
CLCN4	1	CLCN4	
FNDC9	1	FNDC9	
GNG4	1	GNG4	
SYN2	1	SYN2	
TAC1	1	TAC1	
UNC13C	1	UNC13C	
DLL3	1	DLL3	
NPM2	1	NPM2	
HES5	1	HES5	
DPF1	1	DPF1	
SHROOM2	1	SHROOM2	
CELF5	1	CELF5	
ZNF711	1	ZNF711	
SLC8A1	1	SLC8A1	
KIAA0513	1	KIAA0513	
CNR1	1	CNR1	
SHISA6	1	SHISA6	
EFNA5	1	EFNA5	
GJB6	1	GJB6	
TOX	1	TOX	
FLAD1	1	FLAD1	
CLVS1	1	CLVS1	
TENM2	1	TENM2	
NRSN1	1	NRSN1	
SHC3	1	SHC3	
POC1B	1	POC1B	
RIMS2	1	RIMS2	
ZNF470	1	ZNF470	
MFSD6	1	MFSD6	
OCRL	1	OCRL	
COMMD8	1	COMMD8	
RBFOX1	1	RBFOX1	
LINC01128	1	LINC01128	
ZNF43	1	ZNF43	
MON1A	1	MON1A	
MACROD2	1	MACROD2	
NELL1	1	NELL1	
GGH	1	GGH	
GDPD1	1	GDPD1	
MT-ND6	1	MT-ND6	
CAMK2A	1	CAMK2A	
ELAVL2	1	ELAVL2	
JAKMIP2	1	JAKMIP2	
SNAP91	1	SNAP91	
B4GALT6	1	B4GALT6	
TTN	1	TTN	
PRKAB2	1	PRKAB2	
MAP7D2	1	MAP7D2	
SP4	1	SP4	
NRXN1	1	NRXN1	
INTS8	1	INTS8	
HSPA12A	1	HSPA12A	
THUMPD2	1	THUMPD2	
RNF175	1	RNF175	
CTXN2	1	CTXN2	
SYT16	1	SYT16	
CHST1	1	CHST1	
L3HYPDH	1	L3HYPDH	
STK32C	1	STK32C	
NSG2	1	NSG2	
CELF4	1	CELF4	
SLC6A11	1	SLC6A11	
UTP3	1	UTP3	
GABRE	1	GABRE	
LIMK1	1	LIMK1	
PPP2R2C	1	PPP2R2C	
ATG2A	1	ATG2A	
NR2C2	1	NR2C2	
