gene_id	gene_name	V12D05-348_C1	V12D05-348_D1	V12D05-350_C1	V12D05-350_D1	V12D07-075_A1	V12D07-075_B1	V12D07-075_D1	V12Y31-080_A1	meanrank	n_naSamps
ENSG00000000003	TSPAN6	NA	NA	719	NA	NA	NA	NA	NA	719	7
ENSG00000000419	DPM1	NA	NA	NA	1240	NA	NA	1700	NA	1470	6
ENSG00000001036	FUCA2	NA	NA	NA	1647	NA	NA	NA	NA	1647	7
ENSG00000001461	NIPAL3	NA	NA	1810	NA	NA	NA	NA	NA	1810	7
ENSG00000001561	ENPP4	1210	NA	NA	NA	NA	NA	NA	NA	1210	7
ENSG00000001629	ANKIB1	NA	NA	NA	1786	NA	NA	1204	NA	1495	6
ENSG00000001630	CYP51A1	NA	2604	NA	NA	NA	NA	NA	NA	2604	7
ENSG00000002549	LAP3	1229	NA	NA	NA	NA	NA	NA	NA	1229	7
ENSG00000002586	CD99	137	952	361	540	NA	NA	NA	251	448.2	3
ENSG00000002587	HS3ST1	NA	NA	766	NA	NA	NA	NA	NA	766	7
ENSG00000002834	LASP1	NA	2550	NA	NA	NA	NA	NA	NA	2550	7
ENSG00000002933	TMEM176A	422	NA	806	NA	NA	NA	NA	NA	614	6
ENSG00000003756	RBM5	NA	310	923	513	NA	NA	372	1020	627.6	3
ENSG00000004059	ARF5	NA	NA	NA	NA	NA	NA	1845	NA	1845	7
ENSG00000004142	POLDIP2	NA	1955	NA	NA	NA	NA	NA	NA	1955	7
ENSG00000004455	AK2	NA	2244	NA	NA	NA	NA	NA	NA	2244	7
ENSG00000004468	CD38	NA	NA	1863	NA	NA	NA	NA	NA	1863	7
ENSG00000004478	FKBP4	NA	NA	NA	NA	NA	NA	858	NA	858	7
ENSG00000004487	KDM1A	NA	774	NA	1072	NA	NA	NA	NA	923	6
ENSG00000004534	RBM6	1014	NA	NA	NA	NA	NA	NA	NA	1014	7
ENSG00000004779	NDUFAB1	661	547	NA	NA	NA	NA	1265	990	865.75	4
ENSG00000004838	ZMYND10	87	NA	111	NA	NA	NA	NA	NA	99	6
ENSG00000004848	ARX	NA	NA	NA	NA	NA	55	NA	NA	55	7
ENSG00000004948	CALCR	1228	228	1104	82	NA	NA	180	87	484.833333333333	2
ENSG00000005007	UPF1	NA	NA	NA	NA	NA	NA	1894	NA	1894	7
ENSG00000005022	SLC25A5	953	2168	NA	NA	NA	NA	NA	NA	1560.5	6
ENSG00000005206	SPPL2B	NA	NA	NA	1242	NA	NA	NA	NA	1242	7
ENSG00000005249	PRKAR2B	NA	680	1035	NA	NA	NA	NA	NA	857.5	6
ENSG00000005302	MSL3	NA	NA	1721	NA	NA	NA	NA	NA	1721	7
ENSG00000005339	CREBBP	NA	1686	NA	NA	NA	NA	NA	NA	1686	7
ENSG00000005379	TSPOAP1	NA	NA	1384	NA	NA	NA	NA	NA	1384	7
ENSG00000005448	WDR54	864	NA	NA	NA	NA	NA	NA	NA	864	7
ENSG00000005483	KMT2E	NA	NA	NA	1457	NA	NA	NA	NA	1457	7
ENSG00000005486	RHBDD2	195	507	343	268	82	130	60	135	215	0
ENSG00000005700	IBTK	NA	2427	NA	1228	NA	NA	NA	NA	1827.5	6
ENSG00000005810	MYCBP2	1073	2301	NA	NA	NA	NA	NA	NA	1687	6
ENSG00000005884	ITGA3	NA	845	NA	NA	NA	NA	NA	1066	955.5	6
ENSG00000005893	LAMP2	621	802	746	716	NA	NA	NA	846	746.2	3
ENSG00000006007	GDE1	NA	NA	NA	1645	NA	NA	NA	NA	1645	7
ENSG00000006015	REX1BD	1109	2476	NA	NA	NA	NA	1500	NA	1695	5
ENSG00000006016	CRLF1	11	NA	10	NA	NA	NA	NA	314	111.666666666667	5
ENSG00000006118	TMEM132A	NA	NA	NA	809	NA	NA	934	NA	871.5	6
ENSG00000006125	AP2B1	NA	NA	NA	NA	NA	NA	1803	NA	1803	7
ENSG00000006128	TAC1	41	33	42	43	106	NA	33	20	45.4285714285714	1
ENSG00000006210	CX3CL1	NA	NA	NA	NA	NA	NA	1215	NA	1215	7
ENSG00000006468	ETV1	NA	2064	1136	NA	NA	NA	NA	NA	1600	6
ENSG00000006715	VPS41	NA	NA	NA	NA	NA	NA	1744	NA	1744	7
ENSG00000006740	ARHGAP44	NA	1357	NA	NA	NA	NA	NA	NA	1357	7
ENSG00000006757	PNPLA4	NA	1648	NA	NA	NA	NA	NA	NA	1648	7
ENSG00000007168	PAFAH1B1	NA	NA	927	NA	NA	NA	366	NA	646.5	6
ENSG00000007237	GAS7	NA	NA	NA	854	NA	NA	NA	NA	854	7
ENSG00000007392	LUC7L	NA	543	NA	NA	NA	NA	NA	NA	543	7
ENSG00000007516	BAIAP3	162	290	137	158	188	NA	97	107	162.714285714286	1
ENSG00000007541	PIGQ	NA	1908	NA	NA	NA	NA	1385	NA	1646.5	6
ENSG00000008018	PSMB1	NA	670	1480	NA	NA	NA	384	446	745	4
ENSG00000008056	SYN1	NA	NA	880	NA	NA	NA	NA	NA	880	7
ENSG00000008086	CDKL5	NA	1106	NA	NA	NA	NA	NA	NA	1106	7
ENSG00000008118	CAMK1G	NA	NA	1434	NA	NA	NA	NA	NA	1434	7
ENSG00000008277	ADAM22	NA	1148	1588	NA	NA	NA	NA	1174	1303.33333333333	5
ENSG00000008282	SYPL1	NA	1792	NA	NA	NA	NA	NA	NA	1792	7
ENSG00000008283	CYB561	1114	631	NA	928	NA	NA	382	NA	763.75	4
ENSG00000008294	SPAG9	NA	NA	NA	1540	NA	NA	NA	NA	1540	7
ENSG00000008324	SS18L2	NA	2448	NA	NA	NA	NA	NA	NA	2448	7
ENSG00000008394	MGST1	878	1523	NA	813	NA	NA	NA	549	940.75	4
ENSG00000008441	NFIX	NA	NA	1099	NA	NA	NA	NA	NA	1099	7
ENSG00000008710	PKD1	NA	575	950	332	NA	NA	1338	1262	891.4	3
ENSG00000008735	MAPK8IP2	NA	NA	1641	NA	212	NA	NA	1187	1013.33333333333	5
ENSG00000008952	SEC62	NA	NA	NA	NA	NA	NA	972	458	715	6
