NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
GHRH	1	GHRH	
AGRP	1	AGRP	
GSX1	1	GSX1	
GABRE	1	GABRE	
POMC	1	POMC	
NPY	1	NPY	
GAL	1	GAL	
NMU	1	NMU	
TBX3	1	TBX3	
VGLL3	1	VGLL3	
CALCR	1	CALCR	
SLC18A3	1	SLC18A3	
ESR1	1	ESR1	
GABRQ	1	GABRQ	
DLK1	1	DLK1	
ISL1	1	ISL1	
C11orf16	1	C11orf16	
KISS1	1	KISS1	
NR5A2	1	NR5A2	
SHISAL2B	1	SHISAL2B	
TAC3	1	TAC3	
PROKR1	1	PROKR1	
TMEM114	1	TMEM114	
ARHGAP36	1	ARHGAP36	
HMX3	1	HMX3	
CRH	1	CRH	
TDRD9	1	TDRD9	
PGR	1	PGR	
CYSLTR2	1	CYSLTR2	
CALCB	1	CALCB	
RXFP1	1	RXFP1	
PTGER1	1	PTGER1	
CYP26A1	1	CYP26A1	
GLRA2	1	GLRA2	
ACTA1	1	ACTA1	
NPY1R	1	NPY1R	
MIR7-3HG	1	MIR7-3HG	
GULP1	1	GULP1	
PRG4	1	PRG4	
PCOLCE2	1	PCOLCE2	
UTS2	1	UTS2	
KCNV1	1	KCNV1	
LINC02192	1	LINC02192	
PWWP3B	1	PWWP3B	
SHISAL2A	1	SHISAL2A	
HDC	1	HDC	
C17orf107	1	C17orf107	
PTGER3	1	PTGER3	
OPRD1	1	OPRD1	
IGSF1	1	IGSF1	
ELMO3	1	ELMO3	
GRP	1	GRP	
CIBAR2	1	FAM92B	
NPY2R	1	NPY2R	
FAM166C	1	FAM166C	
FNDC9	1	FNDC9	
TEX26	1	TEX26	
RUBCNL	1	RUBCNL	
HPGD	1	HPGD	
SSTR1	1	SSTR1	
DEUP1	1	DEUP1	
FST	1	FST	
WIF1	1	WIF1	
MT1H	1	MT1H	
TMOD1	1	TMOD1	
ZCCHC12	1	ZCCHC12	
SLC32A1	1	SLC32A1	
TBX19	1	TBX19	
AGTR1	1	AGTR1	
RADX	1	RADX	
HMX2	1	HMX2	
EFCAB10	1	EFCAB10	
DLX6-AS1	1	DLX6-AS1	
GPR101	1	GPR101	
ALKAL2	1	ALKAL2	
GRIK1	1	GRIK1	
DLX2	1	DLX2	
ACVR1C	1	ACVR1C	
SPAG6	1	SPAG6	
TMEM45B	1	TMEM45B	
LAIR2	1	LAIR2	
CA8	1	CA8	
SCGB3A1	1	SCGB3A1	
C21orf58	1	C21orf58	
TPBG	1	TPBG	
LINC01166	1	LINC01166	
SST	1	SST	
FAM183A	1	FAM183A	
MSANTD1	1	MSANTD1	
SLC10A4	1	SLC10A4	
SV2C	1	SV2C	
ECEL1	1	ECEL1	
MGARP	1	MGARP	
AKAP14	1	AKAP14	
DLX5	1	DLX5	
BRS3	1	BRS3	
C2CD4C	1	C2CD4C	
C22orf42	1	C22orf42	
NPNT	1	NPNT	
MBNL3	1	MBNL3	
RSPO2	1	RSPO2	
NPPC	1	NPPC	
SOX3	1	SOX3	
