Donor	Analysis.Region	phenotype	NPY_puncta	CRHR2_puncta	NR5A1_puncta	CYP26A1_puncta	ncell	NPY_puncta_percell	CRHR2_puncta_percell	NR5A1_puncta_percell	CYP26A1_puncta_percell	Sex
Br1225	ARC	 NPY+ CRHR2+ NR5A1- CYP26A1+	38	8	2	6	1	38	8	2	6	Male
Br1225	ARC	 NPY+ CRHR2+ NR5A1- CYP26A1-	97	4	3	3	1	97	4	3	3	Male
Br1225	ARC	 NPY+ CRHR2- NR5A1- CYP26A1+	4972	10	4	422	54	92.0740740740741	0.185185185185185	0.0740740740740741	7.81481481481482	Male
Br1225	ARC	 NPY+ CRHR2- NR5A1- CYP26A1-	18897	27	6	444	234	80.7564102564103	0.115384615384615	0.0256410256410256	1.8974358974359	Male
Br1225	ARC	 NPY- CRHR2+ NR5A1+ CYP26A1+	0	65	68	38	6	0	10.8333333333333	11.3333333333333	6.33333333333333	Male
Br1225	ARC	 NPY- CRHR2+ NR5A1+ CYP26A1-	49	563	357	113	48	1.02083333333333	11.7291666666667	7.4375	2.35416666666667	Male
Br1225	ARC	 NPY- CRHR2+ NR5A1- CYP26A1+	11	208	59	208	28	0.392857142857143	7.42857142857143	2.10714285714286	7.42857142857143	Male
Br1225	ARC	 NPY- CRHR2+ NR5A1- CYP26A1-	44	490	153	171	75	0.586666666666667	6.53333333333333	2.04	2.28	Male
Br1225	ARC	 NPY- CRHR2- NR5A1+ CYP26A1+	2	0	16	15	2	1	0	8	7.5	Male
Br1225	ARC	 NPY- CRHR2- NR5A1+ CYP26A1-	9	6	38	7	5	1.8	1.2	7.6	1.4	Male
Br1225	ARC	 NPY- CRHR2- NR5A1- CYP26A1+	567	248	79	5206	584	0.970890410958904	0.424657534246575	0.13527397260274	8.91438356164384	Male
Br1225	ARC	 NPY- CRHR2- NR5A1- CYP26A1-	4885	727	194	4851	4630	1.05507559395248	0.157019438444924	0.0419006479481641	1.04773218142549	Male
Br1735	ARC	 NPY+ CRHR2+ NR5A1- CYP26A1+	1327	185	2	191	15	88.4666666666667	12.3333333333333	0.133333333333333	12.7333333333333	Male
Br1735	ARC	 NPY+ CRHR2+ NR5A1- CYP26A1-	382	124	5	27	10	38.2	12.4	0.5	2.7	Male
Br1735	ARC	 NPY+ CRHR2- NR5A1+ CYP26A1+	94	0	6	25	1	94	0	6	25	Male
Br1735	ARC	 NPY+ CRHR2- NR5A1- CYP26A1+	3043	24	0	574	41	74.219512195122	0.585365853658537	0	14	Male
Br1735	ARC	 NPY+ CRHR2- NR5A1- CYP26A1-	3962	32	2	108	61	64.9508196721312	0.524590163934426	0.0327868852459016	1.77049180327869	Male
Br1735	ARC	 NPY- CRHR2+ NR5A1+ CYP26A1+	0	27	37	55	4	0	6.75	9.25	13.75	Male
Br1735	ARC	 NPY- CRHR2+ NR5A1+ CYP26A1-	1	21	19	7	2	0.5	10.5	9.5	3.5	Male
Br1735	ARC	 NPY- CRHR2+ NR5A1- CYP26A1+	472	871	15	1226	101	4.67326732673267	8.62376237623762	0.148514851485149	12.1386138613861	Male
Br1735	ARC	 NPY- CRHR2+ NR5A1- CYP26A1-	572	832	19	268	90	6.35555555555556	9.24444444444444	0.211111111111111	2.97777777777778	Male
Br1735	ARC	 NPY- CRHR2- NR5A1+ CYP26A1+	20	13	231	261	23	0.869565217391304	0.565217391304348	10.0434782608696	11.3478260869565	Male
Br1735	ARC	 NPY- CRHR2- NR5A1+ CYP26A1-	44	3	90	43	14	3.14285714285714	0.214285714285714	6.42857142857143	3.07142857142857	Male
Br1735	ARC	 NPY- CRHR2- NR5A1- CYP26A1+	1579	234	22	4710	362	4.36187845303867	0.646408839779006	0.0607734806629834	13.0110497237569	Male
Br1735	ARC	 NPY- CRHR2- NR5A1- CYP26A1-	4945	516	90	2732	3701	1.33612537152121	0.139421777897865	0.02431775195893	0.73817887057552	Male
Br5459	ARC	 NPY+ CRHR2- NR5A1- CYP26A1+	1005	6	0	507	45	22.3333333333333	0.133333333333333	0	11.2666666666667	Male
Br5459	ARC	 NPY+ CRHR2- NR5A1- CYP26A1-	41	0	0	7	2	20.5	0	0	3.5	Male
Br5459	ARC	 NPY- CRHR2+ NR5A1+ CYP26A1+	0	677	54	90	7	0	96.7142857142857	7.71428571428571	12.8571428571429	Male
Br5459	ARC	 NPY- CRHR2+ NR5A1- CYP26A1+	10	3116	12	1167	98	0.102040816326531	31.7959183673469	0.122448979591837	11.9081632653061	Male
Br5459	ARC	 NPY- CRHR2+ NR5A1- CYP26A1-	0	315	1	35	14	0	22.5	0.0714285714285714	2.5	Male
Br5459	ARC	 NPY- CRHR2- NR5A1+ CYP26A1+	0	1	83	111	7	0	0.142857142857143	11.8571428571429	15.8571428571429	Male
Br5459	ARC	 NPY- CRHR2- NR5A1+ CYP26A1-	0	0	7	2	1	0	0	7	2	Male
Br5459	ARC	 NPY- CRHR2- NR5A1- CYP26A1+	875	693	15	14977	1348	0.649109792284866	0.514094955489614	0.0111275964391691	11.1105341246291	Male
Br5459	ARC	 NPY- CRHR2- NR5A1- CYP26A1-	625	367	11	4195	2283	0.273762593079282	0.160753394656154	0.00481822163819536	1.83749452474814	Male
Br5993	ARC	 NPY+ CRHR2+ NR5A1- CYP26A1-	29	9	0	0	1	29	9	0	0	Female
Br5993	ARC	 NPY+ CRHR2- NR5A1- CYP26A1+	700	1	0	137	8	87.5	0.125	0	17.125	Female
Br5993	ARC	 NPY+ CRHR2- NR5A1- CYP26A1-	51536	18	2	251	456	113.017543859649	0.0394736842105263	0.0043859649122807	0.550438596491228	Female
Br5993	ARC	 NPY- CRHR2+ NR5A1+ CYP26A1-	0	33	25	14	3	0	11	8.33333333333333	4.66666666666667	Female
Br5993	ARC	 NPY- CRHR2+ NR5A1- CYP26A1+	1	28	6	15	2	0.5	14	3	7.5	Female
Br5993	ARC	 NPY- CRHR2+ NR5A1- CYP26A1-	16	406	9	88	45	0.355555555555556	9.02222222222222	0.2	1.95555555555556	Female
Br5993	ARC	 NPY- CRHR2- NR5A1- CYP26A1+	224	32	0	3893	164	1.36585365853659	0.195121951219512	0	23.7378048780488	Female
Br5993	ARC	 NPY- CRHR2- NR5A1- CYP26A1-	5651	503	22	2689	4542	1.24416556583003	0.11074416556583	0.00484368119771026	0.592029942756495	Female
Br6197	ARC	 NPY+ CRHR2+ NR5A1- CYP26A1-	24	20	0	1	1	24	20	0	1	Male
Br6197	ARC	 NPY+ CRHR2- NR5A1- CYP26A1-	456	7	0	12	19	24	0.368421052631579	0	0.631578947368421	Male
Br6197	ARC	 NPY- CRHR2+ NR5A1+ CYP26A1+	0	23	15	17	2	0	11.5	7.5	8.5	Male
Br6197	ARC	 NPY- CRHR2+ NR5A1+ CYP26A1-	0	103	23	10	4	0	25.75	5.75	2.5	Male
Br6197	ARC	 NPY- CRHR2+ NR5A1- CYP26A1+	0	201	2	115	12	0	16.75	0.166666666666667	9.58333333333333	Male
Br6197	ARC	 NPY- CRHR2+ NR5A1- CYP26A1-	52	4156	29	475	252	0.206349206349206	16.4920634920635	0.115079365079365	1.88492063492064	Male
Br6197	ARC	 NPY- CRHR2- NR5A1+ CYP26A1+	0	2	14	9	1	0	2	14	9	Male
Br6197	ARC	 NPY- CRHR2- NR5A1+ CYP26A1-	6	40	196	80	24	0.25	1.66666666666667	8.16666666666667	3.33333333333333	Male
Br6197	ARC	 NPY- CRHR2- NR5A1- CYP26A1+	41	76	2	1095	87	0.471264367816092	0.873563218390805	0.0229885057471264	12.5862068965517	Male
Br6197	ARC	 NPY- CRHR2- NR5A1- CYP26A1-	2753	1789	126	3054	6955	0.395830337886413	0.257225017972682	0.0181164629762761	0.439108554996405	Male
Br6588	ARC	 NPY+ CRHR2+ NR5A1- CYP26A1+	165	19	0	14	2	82.5	9.5	0	7	Female
Br6588	ARC	 NPY+ CRHR2+ NR5A1- CYP26A1-	161	14	0	2	1	161	14	0	2	Female
Br6588	ARC	 NPY+ CRHR2- NR5A1- CYP26A1+	6442	30	0	3684	81	79.5308641975309	0.37037037037037	0	45.4814814814815	Female
Br6588	ARC	 NPY+ CRHR2- NR5A1- CYP26A1-	39578	110	2	812	399	99.1929824561404	0.275689223057644	0.0050125313283208	2.03508771929825	Female
Br6588	ARC	 NPY- CRHR2+ NR5A1+ CYP26A1+	1	193	33	18	2	0.5	96.5	16.5	9	Female
Br6588	ARC	 NPY- CRHR2+ NR5A1+ CYP26A1-	2	146	30	12	4	0.5	36.5	7.5	3	Female
Br6588	ARC	 NPY- CRHR2+ NR5A1- CYP26A1+	36	802	2	457	40	0.9	20.05	0.05	11.425	Female
Br6588	ARC	 NPY- CRHR2+ NR5A1- CYP26A1-	93	3192	18	446	154	0.603896103896104	20.7272727272727	0.116883116883117	2.8961038961039	Female
Br6588	ARC	 NPY- CRHR2- NR5A1+ CYP26A1+	0	15	44	24	3	0	5	14.6666666666667	8	Female
Br6588	ARC	 NPY- CRHR2- NR5A1+ CYP26A1-	0	22	87	23	9	0	2.44444444444444	9.66666666666667	2.55555555555556	Female
Br6588	ARC	 NPY- CRHR2- NR5A1- CYP26A1+	4415	443	4	33893	977	4.51893551688843	0.453428863868987	0.00409416581371546	34.6908904810645	Female
Br6588	ARC	 NPY- CRHR2- NR5A1- CYP26A1-	4617	1685	28	6880	6358	0.726171752123309	0.265020446681346	0.00440390059767222	1.08210128971375	Female
Br8667	ARC	 NPY+ CRHR2- NR5A1- CYP26A1-	9504	2	4	0	76	125.052631578947	0.0263157894736842	0.0526315789473684	0	Female
Br8667	ARC	 NPY- CRHR2+ NR5A1+ CYP26A1-	0	38	40	0	5	0	7.6	8	0	Female
Br8667	ARC	 NPY- CRHR2+ NR5A1- CYP26A1+	44	22	0	96	4	11	5.5	0	24	Female
Br8667	ARC	 NPY- CRHR2+ NR5A1- CYP26A1-	11	757	11	15	94	0.117021276595745	8.0531914893617	0.117021276595745	0.159574468085106	Female
Br8667	ARC	 NPY- CRHR2- NR5A1+ CYP26A1-	0	4	57	0	6	0	0.666666666666667	9.5	0	Female
Br8667	ARC	 NPY- CRHR2- NR5A1- CYP26A1+	8	8	0	30	3	2.66666666666667	2.66666666666667	0	10	Female
Br8667	ARC	 NPY- CRHR2- NR5A1- CYP26A1-	1276	443	37	18	2268	0.562610229276896	0.195326278659612	0.0163139329805996	0.00793650793650794	Female
Br8741	ARC	 NPY+ CRHR2- NR5A1- CYP26A1+	1372	5	0	152	19	72.2105263157895	0.263157894736842	0	8	Female
Br8741	ARC	 NPY+ CRHR2- NR5A1- CYP26A1-	19953	8	0	701	344	58.0029069767442	0.0232558139534884	0	2.03779069767442	Female
Br8741	ARC	 NPY- CRHR2+ NR5A1+ CYP26A1+	0	29	35	18	2	0	14.5	17.5	9	Female
Br8741	ARC	 NPY- CRHR2+ NR5A1+ CYP26A1-	1	36	26	12	4	0.25	9	6.5	3	Female
Br8741	ARC	 NPY- CRHR2+ NR5A1- CYP26A1+	0	85	1	75	9	0	9.44444444444444	0.111111111111111	8.33333333333333	Female
Br8741	ARC	 NPY- CRHR2+ NR5A1- CYP26A1-	66	1120	8	258	116	0.568965517241379	9.6551724137931	0.0689655172413793	2.22413793103448	Female
Br8741	ARC	 NPY- CRHR2- NR5A1+ CYP26A1+	0	1	34	19	3	0	0.333333333333333	11.3333333333333	6.33333333333333	Female
Br8741	ARC	 NPY- CRHR2- NR5A1+ CYP26A1-	1	6	103	32	15	0.0666666666666667	0.4	6.86666666666667	2.13333333333333	Female
Br8741	ARC	 NPY- CRHR2- NR5A1- CYP26A1+	467	50	4	6732	416	1.12259615384615	0.120192307692308	0.00961538461538462	16.1826923076923	Female
