Feature ID,Feature Name,Feature count topic 1to11,Feature log2 fold change topic 1to11,Feature count topic 12to13,Feature log2 fold change topic 12to13
ENSG00000228794,LINC01128,16,-2.0752,71,2.07528
ENSG00000187634,SAMD11,17,-2.0117,71,2.01173
ENSG00000188976,NOC2L,44,-0.6865,71,0.68659
ENSG00000188290,HES4,74,0.05310,71,-0.0531
ENSG00000187608,ISG15,52,-2.8852,387,2.88527
ENSG00000078808,SDF4,91,0.34968,71,-0.3496
ENSG00000176022,B3GALT6,41,-0.7790,71,0.77902
ENSG00000160087,UBE2J2,47,-0.5911,71,0.59111
ENSG00000131584,ACAP3,44,-3.0738,378,3.07389
ENSG00000127054,INTS11,47,-0.5792,71,0.57924
ENSG00000224051,CPTP,21,-1.7679,71,1.76791
ENSG00000107404,DVL1,49,-0.5252,71,0.52522
ENSG00000175756,AURKAIP1,141,0.98109,71,-0.9810
ENSG00000221978,CCNL2,50,-0.4927,71,0.49277
ENSG00000224870,MRPL20-AS1,12,-2.5046,71,2.50469
ENSG00000242485,MRPL20,173,1.27821,71,-1.2782
ENSG00000235098,ANKRD65,24,-1.5574,71,1.55746
ENSG00000179403,VWA1,69,-0.0344,71,0.03440
ENSG00000197785,ATAD3A,13,-2.4232,71,2.42322
ENSG00000205090,TMEM240,22,-1.6789,71,1.67892
ENSG00000160075,SSU72,166,1.22121,71,-1.2212
ENSG00000228594,FNDC10,50,-0.4939,71,0.49399
ENSG00000272106,AL691432.2,33,-1.1035,71,1.10350
ENSG00000197530,MIB2,29,-1.2724,71,1.27245
ENSG00000189339,SLC35E2B,23,-1.6274,71,1.62744
ENSG00000215790,SLC35E2A,22,-1.6841,71,1.68412
ENSG00000008130,NADK,30,-1.2312,71,1.23128
ENSG00000078369,GNB1,350,2.29353,71,-2.2935
ENSG00000067606,PRKCZ,132,-2.2996,650,2.29965
ENSG00000162585,FAAP20,59,-0.2623,71,0.26237
ENSG00000157933,SKI,28,-1.3181,71,1.31813
ENSG00000157916,RER1,86,0.26761,71,-0.2676
ENSG00000157911,PEX10,30,-1.2260,71,1.22607
ENSG00000149527,PLCH2,13,-2.3842,71,2.38420
ENSG00000157881,PANK4,15,-2.1872,71,2.18724
ENSG00000197921,HES5,80,0.17300,71,-0.1730
ENSG00000272449,AL139246.5,20,-1.7911,71,1.79114
ENSG00000157870,PRXL2B,60,-2.6631,385,2.66313
ENSG00000158109,TPRG1L,163,1.19686,71,-1.1968
ENSG00000116213,WRAP73,16,-2.0918,71,2.09189
ENSG00000130764,LRRC47,85,-2.0707,360,2.07076
ENSG00000116198,CEP104,24,-1.5674,71,1.56744
ENSG00000198912,C1orf174,19,-1.8961,71,1.89617
ENSG00000196581,AJAP1,29,-1.3018,71,1.30186
ENSG00000069424,KCNAB2,74,0.06770,71,-0.0677
ENSG00000116254,CHD5,78,0.12887,71,-0.1288
ENSG00000116251,RPL22,463,2.69583,71,-2.6958
ENSG00000116237,ICMT,40,-0.8378,71,0.83783
ENSG00000097021,ACOT7,281,1.97603,71,-1.9760
ENSG00000162408,NOL9,30,-1.2486,71,1.24860
ENSG00000162413,KLHL21,37,-0.9344,71,0.93440
ENSG00000116273,PHF13,17,-2.0027,71,2.00278
ENSG00000041988,THAP3,18,-1.9620,71,1.96202
ENSG00000007923,DNAJC11,29,-1.2704,71,1.27043
ENSG00000171735,CAMTA1,167,1.22486,71,-1.2248
ENSG00000049245,VAMP3,76,0.10416,71,-0.1041
ENSG00000049246,PER3,26,-1.4228,71,1.42289
ENSG00000116288,PARK7,347,2.28196,71,-2.2819
ENSG00000116285,ERRFI1,19,-1.8699,71,1.86996
ENSG00000162426,SLC45A1,29,-1.2939,71,1.29399
ENSG00000142599,RERE,85,0.25949,71,-0.2594
ENSG00000074800,ENO1,539,2.58700,89,-2.5870
ENSG00000171612,SLC25A33,50,-0.4968,71,0.49682
ENSG00000188807,TMEM201,17,-2.0065,71,2.00659
ENSG00000171603,CLSTN1,342,2.26096,71,-2.2609
ENSG00000178585,CTNNBIP1,41,-0.7920,71,0.79209
ENSG00000162441,LZIC,39,-0.8554,71,0.85546
ENSG00000162444,RBP7,19,-1.8423,71,1.84238
ENSG00000130939,UBE4B,46,-0.6156,71,0.61560
ENSG00000054523,KIF1B,266,1.89815,71,-1.8981
ENSG00000142657,PGD,68,-0.0519,71,0.05190
ENSG00000160049,DFFA,39,-0.8730,71,0.87309
ENSG00000142655,PEX14,29,-1.2720,71,1.27202
ENSG00000120948,TARDBP,73,0.03510,71,-0.0351
ENSG00000116649,SRM,91,0.35461,71,-0.3546
ENSG00000171824,EXOSC10,27,-1.4009,71,1.40092
ENSG00000198793,MTOR,40,-0.8037,71,0.80377
ENSG00000120942,UBIAD1,12,-2.4644,71,2.46441
ENSG00000116661,FBXO2,215,1.59252,71,-1.5925
ENSG00000132879,FBXO44,91,0.35993,71,-0.3599
ENSG00000116663,FBXO6,11,-5.1301,398,5.13013
ENSG00000116670,MAD2L2,32,-1.1315,71,1.13159
ENSG00000177674,AGTRAP,16,-2.0878,71,2.08789
ENSG00000177000,MTHFR,14,-2.3100,71,2.31006
ENSG00000011021,CLCN6,91,0.35252,71,-0.3525
ENSG00000116685,KIAA2013,46,-0.6298,71,0.62984
ENSG00000083444,PLOD1,39,-0.8469,71,0.84694
ENSG00000116688,MFN2,102,0.51976,71,-0.5197
ENSG00000116691,MIIP,16,-2.0810,71,2.08106
ENSG00000048707,VPS13D,43,-0.7302,71,0.73026
ENSG00000162496,DHRS3,25,-1.4814,71,1.48143
ENSG00000162493,PDPN,12,-2.4740,71,2.47404
ENSG00000116731,PRDM2,27,-1.3916,71,1.39160
ENSG00000189337,KAZN,67,-0.0761,71,0.07613
ENSG00000142634,EFHD2,57,-0.3082,71,0.30821
ENSG00000116138,DNAJC16,22,-1.6372,71,1.63721
ENSG00000197312,DDI2,15,-2.1954,71,2.19546
ENSG00000116786,PLEKHM2,44,-0.6763,71,0.67638
ENSG00000065526,SPEN,34,-1.0430,71,1.04301
ENSG00000116809,ZBTB17,14,-2.3256,71,2.32565
ENSG00000185519,FAM131C,24,-1.5683,71,1.56832
ENSG00000288398,AL109627.1,15,-2.2130,71,2.21301
ENSG00000037637,FBXO42,28,-1.3209,71,1.32096
ENSG00000055070,SZRD1,34,-1.0596,71,1.05965
ENSG00000157191,NECAP2,21,-1.7337,71,1.73378
ENSG00000219481,NBPF1,31,-1.1714,71,1.17145
ENSG00000058453,CROCC,12,-2.4690,71,2.46902
ENSG00000238142,BX284668.5,18,-1.9505,71,1.95053
ENSG00000159363,ATP13A2,163,1.19579,71,-1.1957
ENSG00000117118,SDHB,89,0.32452,71,-0.3245
ENSG00000117115,PADI2,105,0.55620,71,-0.5562
ENSG00000179051,RCC2,26,-1.4541,71,1.45410
ENSG00000074964,ARHGEF10L,29,-3.7827,399,3.78270
