gene_id	gene_name	V12D07-075_D1	V13M13-362_A1	V12D07-075_A1	V12Y31-080_A1	V12D05-348_D1	V12D05-350_D1	V13M13-362_D1	V12D05-348_C1	V12D05-350_C1	V13Y24-346_C1	meanrank	samples_signif
ENSG00000000003	TSPAN6								3102	3047		3074.5	3
ENSG00000000419	DPM1	3205		3319	2920	4632	3607	4868	3998	4382		3866.375	9
ENSG00000001036	FUCA2				2738	2977	3048		5608	4975		3869.2	6
ENSG00000001084	GCLC						5121	4966				5043.5	3
ENSG00000001461	NIPAL3	3447		3836	3784	5753	4707	3734	5459	5464		4523	9
ENSG00000001561	ENPP4	4472		2213		4590	2558	2702		6385		3820	7
ENSG00000001629	ANKIB1		2376	3865	2625	5459	5790		4759	6728		4514.57142857143	8
ENSG00000001630	CYP51A1	1832	960	1427	3761	4489	3939	1694	4721	3824	2784	2943.1	11
ENSG00000002330	BAD	3602		4007		5092	5931	2999	3541	4937		4301.28571428572	8
ENSG00000002549	LAP3			2886	3877	3503	3342		5015	6681		4217.33333333333	7
ENSG00000002586	CD99	215	283	685	499	394	391	487	582	771	214	452.1	11
ENSG00000002587	HS3ST1									2104	560	1332	3
ENSG00000002834	LASP1	2869	1660	2340		4091	4734	1686	2726	2857		2870.375	9
ENSG00000002933	TMEM176A					1878	1370	2742	3476	2949	1805	2370	7
ENSG00000003056	M6PR	3288	2412	2368	2415	3990	3669	3130	2316	3029	2856	2947.3	11
ENSG00000003096	KLHL13					4158	4075	1671				3301.33333333333	4
ENSG00000003147	ICA1						5102					5102	2
ENSG00000003249	DBNDD1						5232	2991		4831		4351.33333333333	4
ENSG00000003393	ALS2						5928					5928	2
ENSG00000003402	CFLAR									5967		5967	2
ENSG00000003756	RBM5	2064	2121		2346	2612	1672	4334	2761	3110	1534	2506	10
ENSG00000003987	MTMR7					4778	4022					4400	3
ENSG00000004059	ARF5	1315	2105		2913	2673	2307	2252	2048	2373	1524	2167.77777777778	10
