NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2	CREIGHTON_ENDOCRINE_THERAPY_RESISTANCE_2	Details ...	411	0.4935909	2.219678	0.0	0.0014062239	0.003	3589	tags=53%, list=26%, signal=69%	
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN	SENGUPTA_NASOPHARYNGEAL_CARCINOMA_DN	Details ...	250	0.4972947	2.1457143	0.0	0.00211536	0.009	2880	tags=48%, list=21%, signal=59%	
MIKKELSEN_MEF_ICP_WITH_H3K4ME3_AND_H3K27ME3	MIKKELSEN_MEF_ICP_WITH_H3K4ME3_AND_H3K27ME3	Details ...	32	0.6753548	2.1374612	0.0	0.0020294636	0.013	1271	tags=50%, list=9%, signal=55%	
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	Details ...	143	0.5190404	2.113974	0.0	0.0018719278	0.016	1427	tags=35%, list=10%, signal=39%	
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	Details ...	96	0.54105645	2.059426	0.0	0.004770423	0.05	887	tags=35%, list=6%, signal=38%	
REACTOME_GPCR_LIGAND_BINDING	REACTOME_GPCR_LIGAND_BINDING	Details ...	220	0.47629192	2.0412455	0.0	0.0054476094	0.067	1144	tags=28%, list=8%, signal=30%	
REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	Details ...	156	0.49480766	2.037845	0.0	0.004937037	0.071	799	tags=28%, list=6%, signal=30%	
WP_PEPTIDE_GPCRS	WP_PEPTIDE_GPCRS	Details ...	31	0.6457999	2.021462	0.0	0.006012318	0.098	750	tags=39%, list=5%, signal=41%	
WP_GABA_RECEPTOR_SIGNALING	WP_GABA_RECEPTOR_SIGNALING	Details ...	29	0.65123177	2.0148835	0.0	0.00560337	0.102	1317	tags=41%, list=9%, signal=46%	
LOPES_METHYLATED_IN_COLON_CANCER_UP	LOPES_METHYLATED_IN_COLON_CANCER_UP	Details ...	20	0.71450126	2.0044632	0.0	0.0064954297	0.129	1140	tags=50%, list=8%, signal=54%	
WP_PRADERWILLI_AND_ANGELMAN_SYNDROME	WP_PRADERWILLI_AND_ANGELMAN_SYNDROME	Details ...	49	0.58688885	1.9730514	0.0	0.011176668	0.236	1230	tags=35%, list=9%, signal=38%	
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	Details ...	30	0.6377255	1.9633086	0.0	0.0117633715	0.261	3144	tags=63%, list=23%, signal=82%	
MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3	MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3	Details ...	230	0.45932996	1.9612232	0.0	0.011288602	0.269	2099	tags=42%, list=15%, signal=48%	
REACTOME_POTASSIUM_CHANNELS	REACTOME_POTASSIUM_CHANNELS	Details ...	75	0.51666665	1.8914366	0.0	0.030889198	0.609	3010	tags=55%, list=22%, signal=69%	
WP_CILIOPATHIES	WP_CILIOPATHIES	Details ...	160	0.4597764	1.8875514	0.0	0.0303263	0.632	3865	tags=49%, list=28%, signal=68%	
NIKOLSKY_BREAST_CANCER_16Q24_AMPLICON	NIKOLSKY_BREAST_CANCER_16Q24_AMPLICON	Details ...	42	0.5606276	1.8718947	0.0	0.036035236	0.728	1343	tags=31%, list=10%, signal=34%	
REACTOME_NEURONAL_SYSTEM	REACTOME_NEURONAL_SYSTEM	Details ...	335	0.41699943	1.8460686	0.0	0.048131023	0.823	3028	tags=39%, list=22%, signal=48%	
RORIE_TARGETS_OF_EWSR1_FLI1_FUSION_DN	RORIE_TARGETS_OF_EWSR1_FLI1_FUSION_DN	Details ...	25	0.6145616	1.8259104	0.0015243902	0.060603805	0.901	1928	tags=52%, list=14%, signal=60%	
MIKKELSEN_MEF_HCP_WITH_H3K27ME3	MIKKELSEN_MEF_HCP_WITH_H3K27ME3	Details ...	376	0.40821865	1.8218235	0.0	0.061178464	0.906	2433	tags=38%, list=18%, signal=44%	
TORCHIA_TARGETS_OF_EWSR1_FLI1_FUSION_TOP20_UP	TORCHIA_TARGETS_OF_EWSR1_FLI1_FUSION_TOP20_UP	Details ...	15	0.6901386	1.812411	0.0030721966	0.06562698	0.928	1043	tags=40%, list=8%, signal=43%	
MEISSNER_BRAIN_HCP_WITH_H3K27ME3	MEISSNER_BRAIN_HCP_WITH_H3K27ME3		87	0.47909197	1.8081658	0.0	0.06523857	0.936	668	tags=25%, list=5%, signal=26%	
BENPORATH_PRC2_TARGETS	BENPORATH_PRC2_TARGETS		395	0.3980967	1.7887815	0.0	0.08077233	0.976	1481	tags=28%, list=11%, signal=30%	
