group	LAMP5.pos_Inhmarks.neg	source	type	gene_id	gene_version	gene_name	gene_type	gene_search	high_expr	high_expr_cl	high_expr_sample	high_expr_clorsam	logFC	AveExpr	t	P.Value	adj.P.Val	B
1	TRUE	HAVANA	gene	ENSG00000241860	7	AL627309.5	lncRNA	AL627309.5; ENSG00000241860	FALSE	FALSE	TRUE	1	NA	NA	NA	NA	NA	NA
1	TRUE	HAVANA	gene	ENSG00000237491	10	LINC01409	lncRNA	LINC01409; ENSG00000237491	TRUE	TRUE	TRUE	2	0.0452204815478949	3.22797495272457	0.239421665561466	0.812820687960663	0.999726594277815	-5.26269717486168
1	TRUE	HAVANA	gene	ENSG00000228794	9	LINC01128	lncRNA	LINC01128; ENSG00000228794	TRUE	TRUE	TRUE	2	0.169258844927834	4.42108944251408	1.39606459619628	0.175533396910807	0.999726594277815	-4.70218176317867
1	TRUE	HAVANA	gene	ENSG00000187634	12	SAMD11	protein_coding	SAMD11; ENSG00000187634	FALSE	TRUE	TRUE	2	-0.119368720887833	3.31335630106423	-0.58008383056768	0.567289172611775	0.999726594277815	-5.15607572799317
1	TRUE	HAVANA	gene	ENSG00000188976	11	NOC2L	protein_coding	NOC2L; ENSG00000188976	TRUE	TRUE	TRUE	2	-0.22599559689659	5.23109676606204	-1.42984429789352	0.165709383920723	0.999726594277815	-4.78126596755933
1	TRUE	HAVANA	gene	ENSG00000187961	14	KLHL17	protein_coding	KLHL17; ENSG00000187961	FALSE	FALSE	TRUE	1	NA	NA	NA	NA	NA	NA
1	TRUE	HAVANA	gene	ENSG00000272512	1	AL645608.7	lncRNA	AL645608.7; ENSG00000272512	FALSE	FALSE	TRUE	1	NA	NA	NA	NA	NA	NA
1	TRUE	HAVANA	gene	ENSG00000188290	10	HES4	protein_coding	HES4; ENSG00000188290	TRUE	TRUE	TRUE	2	-0.00627406054186422	5.82091581049812	-0.0539156321577317	0.957450691129693	0.999726594277815	-5.76376281350946
1	TRUE	HAVANA	gene	ENSG00000187608	10	ISG15	protein_coding	ISG15; ENSG00000187608	TRUE	TRUE	TRUE	2	0.0254769535458328	5.50536331436775	0.0753419750098457	0.940906674398356	0.999726594277815	-5.69320567857618
1	TRUE	HAVANA	gene	ENSG00000188157	15	AGRN	protein_coding	AGRN; ENSG00000188157	TRUE	TRUE	TRUE	2	-0.244528164756165	3.54077478425165	-1.22119474999066	0.233926809943739	0.999726594277815	-4.77221918852943
1	TRUE	HAVANA	gene	ENSG00000131591	17	C1orf159	protein_coding	C1orf159; ENSG00000131591	FALSE	TRUE	TRUE	2	0.172260582865665	2.93255949901987	0.76314629208681	0.452846270489374	0.999726594277815	-5.02132245562596
1	TRUE	HAVANA	gene	ENSG00000078808	17	SDF4	protein_coding	SDF4; ENSG00000078808	TRUE	TRUE	TRUE	2	0.0107900876352549	6.41659624881765	0.124916937716783	0.901634442564846	0.999726594277815	-5.83166463149049
1	TRUE	HAVANA	gene	ENSG00000176022	7	B3GALT6	protein_coding	B3GALT6; ENSG00000176022	TRUE	TRUE	TRUE	2	0.00726292455705215	5.20679421439386	0.0524898955944646	0.958574767683484	0.999726594277815	-5.66958102118874
1	TRUE	HAVANA	gene	ENSG00000160087	20	UBE2J2	protein_coding	UBE2J2; ENSG00000160087	TRUE	TRUE	TRUE	2	-0.0233968319252664	5.34439527797482	-0.16897515130683	0.867238656384453	0.999726594277815	-5.6816530630496
1	TRUE	HAVANA	gene	ENSG00000162572	21	SCNN1D	protein_coding	SCNN1D; ENSG00000162572	FALSE	TRUE	TRUE	2	0.0168755576741466	2.7335651526945	0.0647138078019332	0.94894030478525	0.999726594277815	-5.20481353420154
1	TRUE	HAVANA	gene	ENSG00000131584	19	ACAP3	protein_coding	ACAP3; ENSG00000131584	TRUE	TRUE	TRUE	2	-0.0769470470061713	5.33333063175116	-0.448816281737993	0.657720612692106	0.999726594277815	-5.61349231117557
1	TRUE	HAVANA	gene	ENSG00000169972	12	PUSL1	protein_coding	PUSL1; ENSG00000169972	FALSE	TRUE	TRUE	2	-0.225591493078254	2.75841617435959	-0.96487003359439	0.344275512278957	0.999726594277815	-4.87167377129965
1	TRUE	HAVANA	gene	ENSG00000127054	20	INTS11	protein_coding	INTS11; ENSG00000127054	TRUE	TRUE	TRUE	2	0.113770087937457	5.4522617246867	0.934787601784722	0.359250426354432	0.999726594277815	-5.32051849436227
