"label" "pval" "genesource_alldxes_domain_FDR" "signature" "geneset" "overlap" "background" "hits" "spdomain_sex" "genesource" "globalfdr"
"1" "SCZ" 0.00071 0.013 60 323 8 9853 "GRIN2A,CACNA1C,CNOT1,DNMT3A,GRM3,KANSL1-AS1,MMP16,THAP8" "x1_MaleUp" "gwas" 0.0439253333333333
"2" "ASD" 0.0016 0.015 60 751 12 9853 "KANSL1-AS1,CACNA1C,CNOT1,DLGAP1,DNMT3A,FRG1,GABRA4,GRIN2A,GRM5,RORB,SATB1,VPS13B" "x1_MaleUp" "gwas" 0.0724292682926829
"3" "BIP" 0.15 0.7 60 115 2 9853 "CACNA1C,GRIN2A" "x1_MaleUp" "gwas" 0.912786885245902
"4" "TS" 0.15 0.7 60 26 1 9853 "PCDH7" "x1_MaleUp" "gwas" 0.912786885245902
"5" "BMI" 0.24 0.85 60 44 1 9853 "SKIV2L" "x1_MaleUp" "gwas" 1
"6" "AD" 0.39 1 60 219 2 9853 "SNX22,SKIV2L" "x1_MaleUp" "gwas" 1
"7" "NDD" 0.45 1 60 882 6 9853 "VPS13B,DNMT3A,GRIN2A,SOX2,CNOT1,RORB" "x1_MaleUp" "gwas" 1
"8" "MDD" 0.52 1 60 1433 9 9853 "CSDC2,PDP1,ATL2,ENC1,KANSL1-AS1,NKAIN4,GRM5,CACNA1C,HIST1H4C" "x1_MaleUp" "gwas" 1
"9" "OCD" 0.73 1 60 211 1 9853 "CSDC2" "x1_MaleUp" "gwas" 1
"10" "ADHD" 1 1 60 93 0 9853 "" "x1_MaleUp" "gwas" 1
"11" "AUD" 1 1 60 16 0 9853 "" "x1_MaleUp" "gwas" 1
"12" "OUD" 1 1 60 126 0 9853 "" "x1_MaleUp" "gwas" 1
"13" "CannabisUseDisorder" 1 1 60 6 0 9853 "" "x1_MaleUp" "gwas" 1
"14" "PTSD" 1 1 60 25 0 9853 "" "x1_MaleUp" "gwas" 1
"15" "Anorexia" 1 1 60 49 0 9853 "" "x1_MaleUp" "gwas" 1
"16" "Lefthanded" 1 1 60 21 0 9853 "" "x1_MaleUp" "gwas" 1
"17" "GAD" 1 1 60 19 0 9853 "" "x1_MaleUp" "gwas" 1
"18" "Panic" 1 1 60 38 0 9853 "" "x1_MaleUp" "gwas" 1
"19" "OCD" 0.099 1 5 241 1 11704 "MSL2" "x2_MaleUp" "gwas" 0.754471544715447
"20" "ADHD" 1 1 5 104 0 11704 "" "x2_MaleUp" "gwas" 1
"21" "ASD" 1 1 5 823 0 11704 "" "x2_MaleUp" "gwas" 1
"22" "AUD" 1 1 5 19 0 11704 "" "x2_MaleUp" "gwas" 1
"23" "OUD" 1 1 5 145 0 11704 "" "x2_MaleUp" "gwas" 1
"24" "CannabisUseDisorder" 1 1 5 7 0 11704 "" "x2_MaleUp" "gwas" 1
"25" "MDD" 1 1 5 1644 0 11704 "" "x2_MaleUp" "gwas" 1
"26" "PTSD" 1 1 5 31 0 11704 "" "x2_MaleUp" "gwas" 1
"27" "AD" 1 1 5 257 0 11704 "" "x2_MaleUp" "gwas" 1
"28" "Anorexia" 1 1 5 55 0 11704 "" "x2_MaleUp" "gwas" 1
"29" "Lefthanded" 1 1 5 24 0 11704 "" "x2_MaleUp" "gwas" 1
"30" "BIP" 1 1 5 132 0 11704 "" "x2_MaleUp" "gwas" 1
"31" "GAD" 1 1 5 22 0 11704 "" "x2_MaleUp" "gwas" 1
"32" "SCZ" 1 1 5 372 0 11704 "" "x2_MaleUp" "gwas" 1
"33" "NDD" 1 1 5 991 0 11704 "" "x2_MaleUp" "gwas" 1
"34" "Panic" 1 1 5 43 0 11704 "" "x2_MaleUp" "gwas" 1
"35" "TS" 1 1 5 30 0 11704 "" "x2_MaleUp" "gwas" 1
"36" "BMI" 1 1 5 53 0 11704 "" "x2_MaleUp" "gwas" 1
