gene_id	gene_name	V12D05-348_C1	V12D05-348_D1	V12D05-350_C1	V12D05-350_D1	V12D07-075_A1	V12D07-075_D1	V12Y31-080_A1	V13M13-362_A1	V13M13-362_D1	nsigsamps	meanrank
ENSG00000001036	FUCA2						199				1	199
ENSG00000001461	NIPAL3				1081						1	1081
ENSG00000001561	ENPP4		583		739						2	661
ENSG00000001630	CYP51A1				304						1	304
ENSG00000002746	HECW1				1141						1	1141
ENSG00000004059	ARF5	425									1	425
ENSG00000004142	POLDIP2	969									1	969
ENSG00000004478	FKBP4									359	1	359
ENSG00000004660	CAMKK1								364		1	364
ENSG00000004779	NDUFAB1									1116	1	1116
ENSG00000004799	PDK4					589					1	589
ENSG00000004838	ZMYND10									203	1	203
ENSG00000004948	CALCR	106					124	378		14	4	155.5
ENSG00000005075	POLR2J									919	1	919
ENSG00000005249	PRKAR2B		714								1	714
ENSG00000005448	WDR54				993						1	993
ENSG00000005486	RHBDD2	348		540	540		217	328		105	6	346.333333333333
ENSG00000005513	SOX8				781						1	781
ENSG00000005810	MYCBP2					555					1	555
ENSG00000005893	LAMP2			256							1	256
ENSG00000006016	CRLF1			78							1	78
ENSG00000006042	TMEM98				759						1	759
ENSG00000006071	ABCC8	344									1	344
ENSG00000006118	TMEM132A	126									1	126
ENSG00000006128	TAC1	13	60	27	69	61	50	101	58	52	9	54.5555555555556
ENSG00000006210	CX3CL1	127									1	127
ENSG00000006283	CACNA1G		410								1	410
ENSG00000006451	RALA			470							1	470
ENSG00000006468	ETV1									1100	1	1100
ENSG00000006712	PAF1					599					1	599
ENSG00000006715	VPS41		1185								1	1185
ENSG00000006740	ARHGAP44					597					1	597
ENSG00000006831	ADIPOR2					510					1	510
ENSG00000007168	PAFAH1B1	390			497					138	3	341.666666666667
ENSG00000007174	DNAH9		270								1	270
ENSG00000007237	GAS7								108		1	108
ENSG00000007402	CACNA2D2				1053						1	1053
ENSG00000007516	BAIAP3	192	452	137		349		116	65	106	7	202.428571428571
ENSG00000008018	PSMB1	401							185	322	3	302.666666666667
ENSG00000008056	SYN1						70			831	2	450.5
ENSG00000008086	CDKL5								182		1	182
ENSG00000008118	CAMK1G		535	59	142			181			4	229.25
ENSG00000008130	NADK				989						1	989
ENSG00000008283	CYB561				774						1	774
ENSG00000008300	CELSR3		1124		559						2	841.5
ENSG00000008710	PKD1									554	1	554
ENSG00000008988	RPS20		131				160				2	145.5
ENSG00000010270	STARD3NL		768					583		898	3	749.666666666667
ENSG00000010278	CD9				423						1	423
ENSG00000010322	NISCH							473			1	473
ENSG00000010361	FUZ				839						1	839
ENSG00000010404	IDS	193	762	119	224					1159	5	491.4
ENSG00000010438	PRSS3				893						1	893
ENSG00000010626	LRRC23									684	1	684
ENSG00000011009	LYPLA2	607									1	607
ENSG00000011021	CLCN6				1064				151	991	3	735.333333333333
ENSG00000011083	SLC6A7	771									1	771
ENSG00000011132	APBA3			224							1	224
ENSG00000011201	ANOS1	596	199							488	3	427.666666666667
ENSG00000011295	TTC19		654								1	654
ENSG00000011376	LARS2									908	1	908
ENSG00000011426	ANLN				785			597			2	691
ENSG00000011451	WIZ						360				1	360
ENSG00000011454	RABGAP1						309				1	309
ENSG00000011465	DCN		52		747	435					3	411.333333333333
ENSG00000011485	PPP5C		492	255			230		281		4	314.5
ENSG00000011677	GABRA3	475								610	2	542.5
ENSG00000012822	CALCOCO1						261				1	261
ENSG00000013288	MAN2B2								403		1	403
ENSG00000013293	SLC7A14									581	1	581
ENSG00000013297	CLDN11									550	1	550
ENSG00000013392	RWDD2A							658	343		2	500.5
ENSG00000013561	RNF14			479							1	479
ENSG00000013619	MAMLD1	259									1	259
ENSG00000014123	UFL1							503			1	503
ENSG00000014641	MDH1	428	411	451	823	458		139			6	451.666666666667
ENSG00000015171	ZMYND11	209									1	209
ENSG00000015592	STMN4		501				222	498			3	407
ENSG00000017483	SLC38A5		984								1	984
ENSG00000017797	RALBP1									618	1	618
ENSG00000018189	RUFY3		715				273	344			3	444
ENSG00000018236	CNTN1				527					771	2	649
ENSG00000018625	ATP1A2		453		153			115		412	4	283.25
ENSG00000019505	SYT13		961								1	961
ENSG00000019582	CD74		918				103	207			3	409.333333333333
ENSG00000020129	NCDN	449		113	935		426	598	135	1149	7	543.571428571429
ENSG00000020256	ZFP64				1011						1	1011
ENSG00000020922	MRE11									859	1	859
ENSG00000021300	PLEKHB1		843					278			2	560.5
ENSG00000021355	SERPINB1				482					418	2	450
