symbol	dx
PTPRF	ADHD
ST3GAL3	ADHD
XRN2	ADHD
KDM4A	ADHD
CDH8	ADHD
DCC	ADHD
MEF2C	ADHD
SORCS3	ADHD
FOXP2	ADHD
CDC20	ADHD
ARTN	ADHD
LSM6	ADHD
SLC6A9	ADHD
SEMA6D	ADHD
HYI	ADHD
SZT2	ADHD
SEMA3F	ADHD
MPL	ADHD
ANO10	ADHD
ELOVL1	ADHD
TMEM200C	ADHD
TIE1	ADHD
TSC22D2	ADHD
CADM2	ADHD
CUBN	ADHD
COL19A1	ADHD
CCDC24	ADHD
STK32C	ADHD
CAMKV	ADHD
RPLP2	ADHD
MAML3	ADHD
CNBD1	ADHD
GNAT1	ADHD
ATP6V0B	ADHD
C12orf68	ADHD
KCNJ13	ADHD
GIGYF2	ADHD
ROBO2	ADHD
CALN1	ADHD
DUSP6	ADHD
TCF12	ADHD
CARF	ADHD
HYAL3	ADHD
BSN	ADHD
WDR12	ADHD
PPP1R16A	ADHD
MED8	ADHD
LINC02060	ADHD
NBEAL1	ADHD
AC084125.2	ADHD
MON1A	ADHD
PNPLA2	ADHD
CCDC71	ADHD
KIZ	ADHD
AC018797.2	ADHD
GMPPB	ADHD
KIAA1614	ADHD
HTR3B	ADHD
AL133465.1	ADHD
CAPZA2	ADHD
SYT4	ADHD
OGFOD2	ADHD
ICA1L	ADHD
IPO13	ADHD
PSMG3	ADHD
RHEBL1	ADHD
BDNF	ADHD
LTBP2	ADHD
MAU2	ADHD
UBE2D3	ADHD
AC135721.2	ADHD
PEAK1	ADHD
AC068768.1	ADHD
PIDD1	ADHD
RPS26	ADHD
SLC9B1	ADHD
VIM	ADHD
RNF123	ADHD
BLOC1S2	ADHD
TMEM125	ADHD
SNRK	ADHD
AP006621.1	ADHD
CISD2	ADHD
TRAIP	ADHD
CDK2AP1	ADHD
EPS8L2	ADHD
BRCA1	ADHD
KMT5A	ADHD
CCDC184	ADHD
LRRC37A15P	ADHD
DOCK4	ADHD
RIT2	ADHD
DCHS1	ADHD
HMG20A	ADHD
TSHZ1	ADHD
CCNDBP1	ADHD
MANBA	ADHD
BBX	ADHD
CHRNB1	ADHD
RAB7A	ADHD
LINC01965	ADHD
CADM2-AS1	ADHD
HOMER1	ADHD
C2orf82	ADHD
SNRPC	ADHD
NME4	ADHD
BRK1	ADHD
AL138762.1	ADHD
NBR2	ADHD
AMT	ADHD
NAT6	ADHD
RIPK1	ADHD
KDM6B	ADHD
PPIH	ADHD
C1orf210	ADHD
B4GALT2	ADHD
KAT2B	ADHD
FAM198A	ADHD
ABHD5	ADHD
ZNF852	ADHD
ZNF660	ADHD
ZNF197	ADHD
GPX1	ADHD
RHOA	ADHD
TCTA	ADHD
MST1	ADHD
AMIGO3	ADHD
FAM212A	ADHD
MST1R	ADHD
CTD-2330K9.3	ADHD
RBM6	ADHD
GNAI2	ADHD
MAPKAPK3	ADHD
IQCF3	ADHD
FOXP1	ADHD
VGLL3	ADHD
ZNF827	ADHD
RP11-6L6.2	ADHD
SH3RF2	ADHD
FAM83H	ADHD
FAM203A	ADHD
MROH1	ADHD
VPS28	ADHD
CYHR1	ADHD
KIFC2	ADHD
MFSD3	ADHD
RECQL4	ADHD
LRRC14	ADHD
LRRC24	ADHD
C8orf82	ADHD
