Reported Trait,Mapped Trait,Tissues,Gene Symbol,Ensembl ID,Gene Type,Method/Software,Effect Size,P-value,Publication
Left Handedness,Handedness,Brain,REEP2,ENSG00000132563.15,protein-coding,FUSION,-,1.09E-04,TWASP000068
Left Handedness,Handedness,Brain,ARHGAP27,ENSG00000159314.11,protein-coding,FUSION,-,1.17E-04,TWASP000068
Left Handedness,Handedness,Brain,LRRC37A2,ENSG00000238083.7,protein-coding,FUSION,-,1.26E-06,TWASP000068
Left Handedness,Handedness,Brain,MLH3,ENSG00000119684.15,protein-coding,FUSION,-,2.23E-05,TWASP000068
Left Handedness,Handedness,Brain,NAE1,ENSG00000159593.14,protein-coding,FUSION,-,2.27E-04,TWASP000068
Left Handedness,Handedness,Brain,CRHR1,ENSG00000120088.14,protein-coding,FUSION,-,2.71E-06,TWASP000068
Left Handedness,Handedness,Brain,MAPT,ENSG00000186868.15,protein-coding,FUSION,-,5.85E-09,TWASP000068
Left Handedness,Handedness,Brain,PRKAG1,ENSG00000181929.11,protein-coding,FUSION,-,7.51E-05,TWASP000068
Left Handedness,Handedness,Brain,NSF,ENSG00000073969.18,protein-coding,FUSION,-,8.28E-06,TWASP000068
Left Handedness,Handedness,Brain,FURIN,ENSG00000140564.11,protein-coding,FUSION,-,9.75E-07,TWASP000068
