sample_id	Sample ID	Number of Spots Under Tissue	Number of Reads	Mean Reads per Spot	Mean Reads Under Tissue per Spot	Fraction of Spots Under Tissue	Median Genes per Spot	Median UMI Counts per Spot	Valid Barcodes	Valid UMIs	Sequencing Saturation	Q30 Bases in Barcode	Q30 Bases in RNA Read	Q30 Bases in UMI	Reads Mapped to Genome	Reads Mapped Confidently to Genome	Reads Mapped Confidently to Intergenic Regions	Reads Mapped Confidently to Intronic Regions	Reads Mapped Confidently to Exonic Regions	Reads Mapped Confidently to Transcriptome	Reads Mapped Antisense to Gene	Fraction Reads in Spots Under Tissue	Total Genes Detected	brnum	raw_nspots	raw_mean_umis	raw_mean_genes	raw_median_umis	raw_median_genes	tiss_spots_nspots	tiss_spots_mean_umis	tiss_spots_mean_genes	tiss_spots_median_umis	tiss_spots_median_genes	final_nspots	final_mean_umis	final_mean_genes	final_median_umis	final_median_genes	newcol
V12D05-348_C1	V12D05-348_C1	4599	292817185	63669.7510328332	61477.9780387041	0.921274038461539	1689	3169	0.978849018031507	0.999705556898923	0.892253341769527	0.952547753480995	0.918410959451724	0.943722013695876	0.973255490452174	0.940476113107911	0.0431027775914177	0.0224812249322047	0.874892110584288	0.853971883514965	0.00854037989607748	0.986701471302877	25052	Br8741	4977	5307.26722925457	2121.88205746434	2805	1520	4599	5666.92911502501	2252.77929984779	3169	1689	4569	5695.45546071351	2263.99846793609	3201	1707	-378
V12D05-348_D1	V12D05-348_D1	4986	251701995	50481.7478941035	49405.1492178099	0.998798076923077	2627	5557.5	0.979517266043124	0.9996196533921	0.829863046656121	0.953599318982941	0.909614603102213	0.944583352355835	0.964274450824277	0.929768852249264	0.0464072603000227	0.022482090378346	0.860879501570895	0.840532014853518	0.0076808489340738	0.999133767230117	25358	Br6588	4992	7069.11478365385	2796.82111378205	5557.5	2627	4986	7072.19093461693	2797.70718010429	5557.5	2627	4859	7252.26569252933	2867.66700967277	5708	2675	-6
V12D05-350_C1	V12D05-350_C1	4772	602380868	126232.369656329	121671.583403185	0.955929487179487	2814	6188	0.978923284794629	0.9996660700718	0.925287283261107	0.950874675893674	0.912770271439013	0.941466748177896	0.9688888425985	0.936464814815466	0.0410215285921066	0.0247366505006597	0.8707066357227	0.849875534227624	0.00841490038823743	0.984470900822626	25937	Br8741	4992	7514.69791666667	2901.03665865385	5894	2714	4772	7748.99287510478	2967.67162615256	6188	2814	4753	7771.67367978119	2974.78140122028	6208	2822	-220
V12D05-350_D1	V12D05-350_D1	4968	297625015	59908.4168679549	58602.2570450886	0.995192307692308	3412	7574.5	0.979967910291412	0.999659716102828	0.828447907640242	0.951669693830086	0.913576385478989	0.942823926795663	0.969348833128156	0.937310840622721	0.0388451286596323	0.0237152444998617	0.874750467463227	0.853370040149347	0.00906976854751272	0.998274060000567	25720	Br6588	4992	8570.24499198718	3477.85697115385	7556.5	3404.5	4968	8596.08071658615	3486.10648148148	7574.5	3412	4952	8616.81401453958	3493.57794830372	7586	3416	-24
V12D07-075_A1	V12D07-075_A1	4872	417476818	85689.0020525452	83505.6196633826	0.975961538461539	2161.5	4696.5	0.982450848324709	0.999845854914033	0.890382195230642	0.972103345742212	0.952102448045568	0.968883959581872	0.958463480480011	0.795593213034406	0.155222817665531	0.0619956675055428	0.578374727863333	0.562146430367782	0.00581251915166221	0.993286733726105	26124	Br5993	4992	5066.03926282051	2170.0562900641	4612.5	2134	4872	5153.78530377668	2201.73091133005	4696.5	2161.5	4856	5167.74279242175	2207.13550247117	4704	2165.5	-120
V12D07-075_D1	V12D07-075_D1	4247	348419619	82038.9967035555	75852.5408523664	0.850761217948718	2044	4424	0.980842066186864	0.999840583029855	0.89349888827491	0.972060834515651	0.951783206351841	0.96940250262697	0.980436819202193	0.882676414384117	0.0991537735422413	0.0398523827098267	0.743670258132049	0.725280576120485	0.00824096532864873	0.953711120875177	24547	Br1735	4992	5303.1578525641	2202.50040064103	3964.5	1854.5	4247	5961.75229573817	2429.01271485755	4424	2044	4221	5990.01137171286	2439.81378820185	4444	2053	-745
V12Y31-080_A1	V12Y31-080_A1	4553	290512578	63806.8477926642	61316.6226663738	0.912059294871795	2685	5867	0.981269702546235	0.999873513221861	0.839307475489262	0.973903638407457	0.958780414704536	0.974753676772926	0.980147103992172	0.841690658226853	0.103733006011189	0.0342468648637995	0.703710787351865	0.687137566897362	0.00528300361576771	0.984313826166411	24973	Br6197	4992	6313.25761217949	2670.82532051282	5569.5	2571	4553	6811.34416867999	2857.19108280255	5867	2685	4535	6832.43991179713	2865.10694597574	5890	2690	-439
V13M13-362_A1	V13M13-362_A1	3955	259482185	65608.6434892541	61321.8644753477	0.792267628205128	1786	3414	0.982658092693338	0.99942157493394	0.90191027713017	0.970809112806844	0.949702883122985	0.96849875841387	0.964568477022806	0.834278175975742	0.118311120279799	0.0365826694422201	0.679384386253723	0.664027975562176	0.00450164237672039	0.965324040565177	23654	Br5459	4929	3371.90910935281	1640.91965916007	2819	1507	3955	4053.12262958281	1945.09431099874	3414	1786	3936	4071.13084349594	1953.23526422764	3426	1794.5	-974
V13M13-362_D1	V13M13-362_D1	4635	316770739	68343.2015102481	65519.3993527508	0.928485576923077	1658	3147	0.981916157982004	0.999420672500941	0.89806937549048	0.970862557807514	0.948810435542832	0.967598198944527	0.938245713408523	0.811557875615525	0.100365810618638	0.0293645872385959	0.681827477758291	0.667271527879348	0.00417091870344754	0.981257528905491	23979	Br8667	4992	4238.63461538462	1880.0172275641	2797	1498.5	4635	4484.16008629989	1969.24573894283	3147	1658	4396	4721.2381710646	2071.44654231119	3404.5	1777.5	-357
V13Y24-346_C1	V13Y24-346_C1	4062	244788205	60262.9751354013	57128.7794190054	0.813701923076923	1711	2723	0.982570369352559	0.999834816387497	0.92799990022468	0.973120411511734	0.955922325914538	0.973227537625235	0.964142177520359	0.928947418034296	0.0418875451944263	0.0243604221044882	0.862699450735382	0.845080272556433	0.00574297687259891	0.970236595568594	23809	Br1225	4992	2935.06009615385	1643.74819711538	2252	1450.5	4062	3482.43599212211	1925.25800098474	2723	1711	3997	3535.17363022267	1953.71603702777	2751	1732	-930
