Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to5,Feature log2 fold change topic 4to5,Feature count topic 6to11,Feature log2 fold change topic 6to11,Feature count topic 12,Feature log2 fold change topic 12,Feature count topic 13,Feature log2 fold change topic 13
ENSG00000228794,LINC01128,11,-1.1868,5,-2.3811,8,-1.7353,14,-0.9275,22,-0.3418,50,1.12248,92,2.22418
ENSG00000187634,SAMD11,10,-1.3832,4,-2.7056,42,0.79078,10,-1.4495,19,-0.7026,50,1.07966,92,2.17396
ENSG00000188976,NOC2L,13,-1.9725,49,0.01605,70,0.58494,36,-0.4603,47,-0.0830,50,0.06413,92,1.03953
ENSG00000188290,HES4,17,-2.1300,18,-2.0753,128,0.88605,47,-0.7146,92,0.68577,50,-0.5804,92,0.35520
ENSG00000187608,ISG15,22,-2.2916,15,-2.8301,123,0.27126,38,-1.6102,56,-1.3561,682,3.61348,92,-0.1844
ENSG00000078808,SDF4,65,-0.4606,102,0.23472,76,-0.2182,78,-0.1859,100,0.36147,50,-0.8495,92,0.07437
ENSG00000176022,B3GALT6,18,-1.3736,19,-1.3492,49,0.10035,35,-0.4276,49,0.21246,50,0.14146,92,1.12303
ENSG00000160087,UBE2J2,27,-0.9515,38,-0.4424,42,-0.2985,39,-0.4381,55,0.24624,50,-0.0165,92,0.95274
ENSG00000131584,ACAP3,49,-1.0038,80,-0.2865,52,-0.9228,25,-2.0926,43,-1.7042,664,3.76462,92,-0.0645
ENSG00000127054,INTS11,34,-0.6041,76,0.63160,55,0.11143,32,-0.7697,49,-0.1190,50,-0.0266,92,0.94192
ENSG00000224051,CPTP,11,-1.3850,31,0.14586,20,-0.5144,18,-0.6917,21,-0.6963,50,0.90981,92,1.97712
ENSG00000107404,DVL1,47,-0.1612,63,0.27362,35,-0.6214,39,-0.4909,53,0.02467,50,-0.0727,92,0.89257
ENSG00000175756,AURKAIP1,97,-0.4580,111,-0.2469,173,0.45362,132,0.02865,150,0.41869,50,-1.4371,92,-0.5322
ENSG00000221978,CCNL2,43,-0.3232,67,0.35537,64,0.28052,33,-0.7759,52,-0.0695,50,-0.1005,92,0.86284
