H108_VMH	H369_VMH	H108_ARC	H369_ARC
47	161	71	146
64	534	22	258
31	219	81	262
104	55	57	384
3	218	55	291
30	23	43	40
26	412	39	238
	20	41	108
	76	62	215
	428	113	300
	100	44	213
	164	48	77
	70	50	44
	297	79	35
	267	102	120
	308	109	314
	424	49	498
	326	60	339
	438	7	454
	227	13	21
	539	16	105
	295	34	346
	64	74	309
	373	52	53
	382		128
	186		71
	357		304
	174		298
	169		175
	301		440
	4		9
	94		529
	54		475
	193		313
			368
			29
			480
			343
			307
			57
			348
			67
			485
			85
			229
			341
			402
			42
			124
			221
			62
			223
			172
			369
			139
			233
			235
			191
			179
			12
			132
			335
			122
			36
			14
			206
			204
			423
			190
			231
			408
			97
			143
			68
			319
			417
			289
			374
			248
			45
			466
			38
			180
			490
			209
			79
			91
