H369 clusters	gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
0	MT-ND4	3.19E-130	1.79010038	1	0.92	1.90E-125
0	MT-CO3	2.78E-126	1.90019214	1	0.946	1.65E-121
0	MT-CO1	2.87E-126	1.74177807	1	0.937	1.71E-121
0	MT-CO2	7.54E-123	1.87328093	1	0.969	4.48E-118
0	MT-ATP6	6.94E-116	1.73710931	0.99	0.895	4.13E-111
0	MT-ND3	6.65E-115	1.72413582	0.987	0.901	3.96E-110
0	MT-CYB	9.81E-112	1.58267818	0.997	0.931	5.84E-107
0	MT-ND2	8.84E-105	1.56144881	0.954	0.779	5.26E-100
0	MT-RNR1	3.77E-63	1.75801895	0.836	0.685	2.24E-58
0	MT-RNR2	5.01E-63	2.08637906	0.928	0.84	2.98E-58
0	MT-ND1	5.34E-63	1.57070684	0.862	0.711	3.17E-58
0	NRXN3	7.97E-55	1.00597258	0.974	0.81	4.74E-50
0	GRIN1	1.31E-53	1.00420042	0.882	0.818	7.79E-49
0	AVP	6.24E-53	0.89113889	0.599	0.281	3.71E-48
0	KAZN	4.07E-51	0.76909338	0.984	0.971	2.42E-46
0	MT-ND5	1.02E-46	1.17556085	0.76	0.631	6.08E-42
0	MTATP6P1	3.72E-33	0.94191219	0.582	0.38	2.21E-28
0	MEIS2	9.62E-31	1.19186045	0.365	0.142	5.72E-26
0	ZNF385D	1.37E-29	1.25794928	0.763	0.615	8.15E-25
0	CACNA1A	3.51E-25	0.66541213	0.865	0.886	2.09E-20
0	MT-ND4L	1.13E-24	0.82357338	0.602	0.477	6.75E-20
0	AC245060.5	4.05E-21	0.89869656	0.493	0.353	2.41E-16
0	SAMD5	1.56E-20	0.81521872	0.635	0.462	9.28E-16
0	RUNX1T1	2.81E-19	0.63920185	0.737	0.655	1.67E-14
0	MLXIPL	5.31E-19	0.69966988	0.464	0.315	3.16E-14
0	PKD1	6.13E-19	0.7766307	0.704	0.712	3.65E-14
0	KCNB2	8.96E-19	0.69327332	0.809	0.733	5.33E-14
0	AL589740.1	1.06E-17	0.73583097	0.691	0.521	6.31E-13
0	CNTN5	4.32E-17	0.64093273	0.822	0.696	2.57E-12
0	PABPN1	7.64E-17	0.69783181	0.724	0.756	4.54E-12
0	CNTN4	1.08E-15	0.63130984	0.812	0.714	6.44E-11
0	SRRM3	2.24E-15	0.67646425	0.743	0.822	1.33E-10
0	PDE3B	3.24E-15	0.59673611	0.678	0.627	1.93E-10
0	ROBO2	1.01E-14	0.65137718	0.911	0.885	6.00E-10
0	DPP10	1.95E-14	0.72881487	0.849	0.764	1.16E-09
0	ZNF385B	5.36E-14	0.84215786	0.47	0.317	3.19E-09
0	PLEC	3.69E-13	0.7195884	0.576	0.531	2.20E-08
0	MAPK8IP3	9.66E-13	0.63575474	0.678	0.723	5.74E-08
0	ABCA7	2.93E-12	0.74655186	0.398	0.296	1.74E-07
0	SASH1	2.11E-11	0.73186669	0.497	0.406	1.25E-06
0	SLCO3A1	2.57E-11	0.65418704	0.655	0.644	1.53E-06
0	PTPRT	8.06E-11	0.72721053	0.618	0.517	4.79E-06
0	CHD5	1.76E-10	0.59231166	0.645	0.691	1.05E-05
0	PCBP4	3.54E-10	0.69810973	0.507	0.459	2.10E-05
0	GYG2P1	1.25E-09	0.57340628	0.717	0.78	7.42E-05
0	CORO6	5.71E-09	0.72329514	0.536	0.522	0.00033974
0	LUZP2	8.07E-09	0.5734921	0.737	0.671	0.00048007
0	SIPA1L3	6.85E-08	0.5809707	0.569	0.607	0.00407195
0	THSD7B	3.81E-07	0.71858461	0.414	0.316	0.02264619
0	HS6ST2	6.89E-07	0.62009378	0.497	0.45	0.04098199
1	EBF3	0	1.2791632	0.808	0.118	0
1	LINC00299	0	1.05669662	0.685	0.102	0
1	EYA1	1.48E-197	1.009886	0.533	0.092	8.82E-193
1	SIM1	8.02E-167	0.88185064	0.731	0.183	4.77E-162
1	CACNA2D1	6.26E-160	1.55522797	0.997	0.838	3.72E-155
1	CHRM3	8.09E-156	1.99492898	0.949	0.526	4.81E-151
1	MGAT4C	2.51E-153	1.89520817	0.995	0.706	1.49E-148
1	RMST	7.33E-153	1.53141232	0.995	0.805	4.36E-148
1	HS3ST2	3.73E-136	0.87374102	0.637	0.181	2.22E-131
1	STK32B	5.21E-116	0.84711345	0.635	0.19	3.10E-111
1	ROBO2	6.99E-111	1.41482496	0.997	0.885	4.15E-106
1	KCNH5	7.52E-111	1.2437406	0.923	0.523	4.47E-106
1	RGS6	1.79E-107	1.26612374	0.941	0.504	1.07E-102
1	ZNF536	6.01E-107	0.92379106	0.907	0.415	3.57E-102
1	GLRA3	1.36E-103	1.19211225	0.909	0.573	8.06E-99
1	KLHL1	7.22E-100	1.30811088	0.939	0.581	4.29E-95
1	VWC2L	3.91E-92	1.11506919	0.877	0.519	2.32E-87
1	TRPC4	4.15E-90	1.07211433	0.805	0.383	2.47E-85
1	LINC01322	1.73E-89	1.00494064	0.92	0.542	1.03E-84
1	OPRM1	5.43E-86	1.26961755	0.824	0.454	3.23E-81
1	PBX3	2.69E-85	1.05890254	0.832	0.42	1.60E-80
1	SEMA3C	6.20E-85	0.97597017	0.616	0.217	3.69E-80
1	PCP4	8.16E-84	1.37365825	0.768	0.369	4.85E-79
1	STXBP6	5.65E-82	1.12923917	0.757	0.366	3.36E-77
1	GPR149	2.95E-80	0.80458138	0.755	0.321	1.76E-75
1	NELL2	5.87E-75	0.90995963	0.976	0.766	3.49E-70
