NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
GATD3	1	GATD3A	
NPY	1	NPY	
POMC	1	POMC	
STAP2	1	STAP2	
MCM3AP-AS1	1	MCM3AP-AS1	
ST8SIA6	1	ST8SIA6	
GLP1R	1	GLP1R	
NR4A1	1	NR4A1	
GABRQ	1	GABRQ	
MIR124-2HG	1	MIR124-2HG	
PRDM12	1	PRDM12	
MUC20	1	MUC20	
TEKT4	1	TEKT4	
PIWIL2	1	PIWIL2	
KLHL15	1	KLHL15	
SLC35E2B	1	SLC35E2B	
KCNMB1	1	KCNMB1	
LINC01597	1	LINC01597	
FRAS1	1	FRAS1	
SLC1A6	1	SLC1A6	
VGF	1	VGF	
KLF2	1	KLF2	
ZNF526	1	ZNF526	
PURG	1	PURG	
FBXO15	1	FBXO15	
MC4R	1	MC4R	
PRH1	1	PRH1	
MID2	1	MID2	
TGFA	1	TGFA	
MID1	1	MID1	
MALT1	1	MALT1	
DAB1	1	DAB1	
CREG2	1	CREG2	
ZRANB3	1	ZRANB3	
C11orf87	1	C11orf87	
NDE1	1	NDE1	
ARPP21	1	ARPP21	
SMIM11	1	SMIM11A	
GLT8D2	1	GLT8D2	
KCTD16	1	KCTD16	
WDR31	1	WDR31	
CYP19A1	1	CYP19A1	
IKBKE	1	IKBKE	
INKA2	1	INKA2	
SHC3	1	SHC3	
ZNF208	1	ZNF208	
ADPRH	1	ADPRH	
TAFA2	1	TAFA2	
ADRA1A	1	ADRA1A	
HLA-DOA	1	HLA-DOA	
MDH1B	1	MDH1B	
NFKBID	1	NFKBID	
PROX1	1	PROX1	
MT-ND6	1	MT-ND6	
SCARF1	1	SCARF1	
PAQR9-AS1	1	PAQR9-AS1	
LINC02777	1	LINC02777	
DLEU2	1	DLEU2	
LRP2	1	LRP2	
IGDCC3	1	IGDCC3	
MT-ATP8	1	MT-ATP8	
CPA4	1	CPA4	
SHROOM4	1	SHROOM4	
ZNF718	1	ZNF718	
NRGN	1	NRGN	
MPO	1	MPO	
PTGS1	1	PTGS1	
WNT5B	1	WNT5B	
CLEC1A	1	CLEC1A	
TMEM125	1	TMEM125	
MIR7-3HG	1	MIR7-3HG	
DTWD2	1	DTWD2	
PDYN	1	PDYN	
CARD10	1	CARD10	
FAM161A	1	FAM161A	
NEK5	1	NEK5	
FUT8-AS1	1	FUT8-AS1	
ATP8B4	1	ATP8B4	
H1-4	1	HIST1H1E	
PRMT9	1	PRMT9	
CCNE2	1	CCNE2	
SLC6A12	1	SLC6A12	
C1QTNF6	1	C1QTNF6	
GREM1	1	GREM1	
FIGNL1	1	FIGNL1	
SPP1	1	SPP1	
PEG10	1	PEG10	
SRF	1	SRF	
FRMPD4	1	FRMPD4	
ACVR1C	1	ACVR1C	
CD274	1	CD274	
CABCOCO1	1	CABCOCO1	
GBE1	1	GBE1	
CCDC110	1	CCDC110	
ARHGAP11A	1	ARHGAP11A	
RNF227	1	RNF227	
TDRD6	1	TDRD6	
TTC27	1	TTC27	
ZNF519	1	ZNF519	
