Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to11,Feature log2 fold change topic 4to11,Feature count topic 12,Feature log2 fold change topic 12,Feature count topic 13,Feature log2 fold change topic 13
ENSG00000228794,LINC01128,5,-2.2789,28,0.34155,14,-0.6633,27,0.89831,18,-0.3029,7,-1.6733
ENSG00000187634,SAMD11,17,-0.6505,15,-0.8245,76,1.71910,24,-0.3598,26,-0.0353,21,-0.4044
ENSG00000188976,NOC2L,54,0.25945,55,0.27750,48,0.07651,48,0.20273,25,-0.9063,27,-0.7843
ENSG00000188290,HES4,129,-0.4056,445,1.61979,180,0.11131,99,-1.4805,120,-0.5085,512,1.87889
ENSG00000187608,ISG15,32,-1.6420,311,1.97289,68,-0.5422,71,-0.9495,32,-1.6702,245,1.53729
ENSG00000188157,AGRN,24,0.57059,28,0.81042,0,-6.1959,15,-0.4620,11,-0.5820,38,1.30888
ENSG00000078808,SDF4,120,-0.0551,201,0.75849,72,-0.8319,126,0.05543,111,-0.1732,104,-0.2802
ENSG00000176022,B3GALT6,6,-3.0576,34,-0.5812,27,-0.9597,63,1.10303,45,-0.1613,34,-0.5952
ENSG00000160087,UBE2J2,45,-0.3669,93,0.75513,38,-0.6264,58,0.04034,46,-0.3376,61,0.07965
ENSG00000131584,ACAP3,51,-0.3147,66,0.08997,27,-1.2572,65,0.17668,91,0.60555,53,-0.2475
ENSG00000127054,INTS11,80,0.36421,102,0.75035,35,-0.8882,64,0.02406,52,-0.2991,45,-0.5363
ENSG00000107404,DVL1,45,-0.0698,48,0.02073,36,-0.3931,48,0.10960,56,0.28733,39,-0.3019
ENSG00000162576,MXRA8,69,1.42217,148,2.93299,0,-6.9719,13,-1.9738,26,-0.1436,26,-0.1848
ENSG00000175756,AURKAIP1,211,0.41735,207,0.38668,245,0.65998,145,-0.3700,137,-0.2537,140,-0.2204
ENSG00000221978,CCNL2,25,-1.6054,198,1.64490,32,-1.2333,71,-0.1263,44,-0.7770,87,0.27425
ENSG00000242485,MRPL20,109,-0.9248,223,0.17263,68,-1.6185,226,0.50535,173,-0.2270,221,0.15491
ENSG00000235098,ANKRD65,1,-3.5504,10,-1.0923,8,-1.2978,24,0.83531,44,1.24455,4,-2.2633
ENSG00000179403,VWA1,66,0.59741,133,1.79946,4,-3.5434,25,-1.6178,153,2.05752,33,-0.4942
ENSG00000160072,ATAD3B,17,0.06264,52,1.89953,0,-5.4513,16,-0.0619,11,-0.6527,5,-1.6800
ENSG00000197785,ATAD3A,21,0.15651,32,0.85162,0,-6.2558,22,0.63657,12,-0.6239,4,-2.1328
ENSG00000205090,TMEM240,5,-2.3054,22,-0.1055,20,-0.3037,30,1.11666,10,-1.3419,12,-0.9923
ENSG00000160075,SSU72,206,-0.0035,236,0.21202,121,-0.8190,223,0.29911,193,-0.1014,147,-0.5206
ENSG00000228594,FNDC10,17,-2.3733,34,-1.3813,88,0.03004,112,1.29445,26,-1.7769,60,-0.5434
ENSG00000272106,AL691432.2,24,-0.8200,45,0.15150,18,-1.2099,45,0.43172,36,-0.1750,44,0.12567
ENSG00000197530,MIB2,48,-0.2179,67,0.31185,23,-1.2770,60,0.36015,40,-0.4891,55,0.01334
ENSG00000189339,SLC35E2B,4,-1.8816,6,-1.4392,0,-6.1293,19,0.84707,18,0.19788,25,0.67589
ENSG00000215790,SLC35E2A,14,-0.8778,12,-1.0689,25,0.01069,28,0.37300,20,-0.3741,35,0.50976
ENSG00000008130,NADK,12,-1.4197,54,0.80736,5,-2.5961,36,0.42771,26,-0.3255,35,0.13456
ENSG00000078369,GNB1,236,-0.6796,246,-0.6133,363,-0.0181,409,0.44923,313,-0.2494,341,-0.1168
ENSG00000067606,PRKCZ,43,-1.8174,53,-1.5122,141,-0.0214,176,0.94727,143,-0.0044,76,-0.9729
ENSG00000162585,FAAP20,131,0.40502,120,0.27051,79,-0.3742,96,-0.1942,96,-0.0911,123,0.30347
ENSG00000157933,SKI,91,1.88754,58,1.09760,0,-6.9884,23,-0.8051,23,-0.3586,28,-0.0749
ENSG00000157916,RER1,87,-0.2380,149,0.59731,116,0.19437,96,-0.2310,105,0.04143,105,0.04477
ENSG00000157911,PEX10,42,0.24138,55,0.66023,24,-0.6416,30,-0.5995,47,0.41842,61,0.83523
ENSG00000197921,HES5,5,-2.4139,0,-8.3031,3,-3.3197,39,1.92782,11,-1.3789,31,0.17710
ENSG00000272449,AL139246.5,0,-7.6040,2,-3.3091,0,-6.7702,35,1.84418,19,-0.3814,26,0.03391
ENSG00000157870,PRXL2B,35,-1.1145,13,-2.5250,93,0.36233,89,0.83628,49,-0.6081,57,-0.4011
ENSG00000158109,TPRG1L,47,-1.9939,108,-0.7545,158,-0.1779,221,1.03856,113,-0.6932,111,-0.7218
ENSG00000116213,WRAP73,7,-1.0886,18,0.17642,0,-6.1039,17,0.25804,27,0.84568,18,0.21161
ENSG00000130764,LRRC47,57,-0.8834,89,-0.2054,61,-0.7682,118,0.61614,103,0.02238,72,-0.5359
ENSG00000116198,CEP104,12,-0.5192,30,0.89781,0,-6.1912,17,-0.0188,22,0.42621,21,0.35838
ENSG00000196581,AJAP1,3,-3.2790,4,-2.9406,0,-5.5011,42,2.22890,26,-0.1945,11,-1.4970
ENSG00000069424,KCNAB2,41,-0.6821,37,-0.8288,114,0.90998,73,0.51898,39,-0.7488,22,-1.5930
ENSG00000116254,CHD5,33,-1.5999,23,-2.0926,67,-0.5335,126,1.49479,45,-1.1178,54,-0.8502
ENSG00000116251,RPL22,684,0.56550,702,0.60623,247,-1.0140,441,-0.2979,583,0.30824,492,0.04149
