,PWP2,TAC1,IGFBP5,NTRK3,MYT1L,DLG4,SHANK3,MC4R,VSNL1,SNCA,RAB3B,TNRC6B,CRHR2,RNF152
cluster 1 -- astrocytes,,,,X,,X,X,,,,,,,
cluster 2 -- likely more than one cell types,,,,,,,,X,,,,,,
cluster 3 -- myelinating oligodendrocytes,X,,,,,,,X,,,,X,,
cluster 4 -- microglia,,,X,X,,X,X,X,X,X,,X,,
cluster 5 -- ,X,,X,X,X,,X,X,,,,X,X,
cluster 6 -- oligodendrocyte precursor,,,X,,X,,X,X,X,,,X,,
cluster 7 -- immune related,,,,,,,,,X,,,X,,
cluster 8 -- epithelial cells,,,,X,,,,,,,,X,,X
cluster 9 -- astrocytes,,,,X,,X,,,X,X,X,,,X
cluster 10 -- excitatory neurons,,,X,,X,X,X,X,X,X,X,X,,
cluster 11 -- ,,,X,,,,,,,,,,,
cluster 12 -- POMC neuronal cells,,,,,,,,X,,,,,X,
cluster 13 -- non-myelinating matureish(?) oligodendrocytes,,,X,,X,,,X,X,X,,X,,
cluster 14 -- epithelial cells,,,,,X,,,,,,,,,
cluster 15 -- ,,,,,,X,,,,,,,,
cluster 16 -- ,,,,,X,X,,,,,,,,
cluster 17 -- T cells,,,,,,,,X,,,,,X,
cluster 18 -- AVP neurons,,,,,X,,,,X,,,,,
cluster 19 -- monocyte,,,,,,,,,,,,,,
