Publication	PMID	Title	Journal	Year	DOI
TWASP000001	31575856	Transcriptome-wide association study of attention deficit hyperactivity disorder identifies associated genes and phenotypes	2019	Nature Communications	10.1038/s41467-019-12450-9
TWASP000002	26854917	Integrative approaches for large-scale transcriptome-wide association studies	2016	Nature Genetics	10.1038/ng.3506
TWASP000003	28238358	Integrating gene expression with summary association statistics to identify genes associated with 30 complex traits	2017	American Journal of Human Genetics	10.1016/j.ajhg.2017.01.031
TWASP000004	30545856	Transcriptome-wide isoform-level dysregulation in ASD, schizophrenia, and bipolar disorder	2018	Science	10.1126/science.aat8127
TWASP000005	29892015	Multi-ethnic genome-wide association study for atrial fibrillation	2018	Nature Genetics	10.1038/s41588-018-0133-9
TWASP000006	29186694	Large-scale cognitive GWAS meta-anlysis reveals tissue-specific neural expression and potential nootropic drug targets	2017	Cell Reports	10.1016/j.celrep.2017.11.028
TWASP000007	30297968	Integrative transcriptome analyses of the aging brain implicate altered splicing in Alzheimer's disease susceptibility	2018	Nature Genetics	10.1038/s41588-018-0238-1
TWASP000008	30057032	An eQTL landscape of kidney tissue in human nephrotic syndrome	2018	American Journal of Human Genetics	10.1016/j.ajhg.2018.07.004
TWASP000009	29915430	A transcriptome-wide association study of 229,000 women identifies new candidate susceptibility genes for breast cancer	2018	Nature Genetics	10.1038/s41588-018-0132-x
TWASP000010	29511167	A transcriptome-wide association study identifies PALMD as a susceptibility gene for calcific aortic valve stenosis	2018	Nature Communications	10.1038/s41467-018-03260-6
TWASP000011	30578418	Trans-ethnic association study of blood pressure determinants in over 750,000 individuals	2019	Nature Genetics	10.1038/s41588-018-0303-9
TWASP000012	26470795	Extensive alterations of the whole-blood transcriptome are associated with body mass index: results of an mRNA profiling study involving two large population-based cohorts	2015	BMC Medical Genomics	10.1186/s12920-015-0141-x
TWASP000013	29202958	Transcriptome-wide association study revealed two novel genes associated with nonobstructive azoospermia in a Chinese population	2017	Fertil Steril	10.1016/j.fertnstert.2017.09.023
TWASP000014	29547942	Leveraging lung tissue transcriptome to uncover candidate causal genes in COPD genetic associations	2018	Human Molecular Genetics	10.1093/hmg/ddy091
TWASP000015	30287866	Large-scale transcriptome-wide association study identifies new prostate cancer risk regions	2019	Nature Communications	10.1038/s41467-018-06302-1
TWASP000016	30742112	Retinal transcriptome and eQTL analyses identify genes associated with age-related macular degeneration	2019	Nature Genetics	10.1038/s41588-019-0351-9
TWASP000017	30054336	A transcriptome-wide association study among 97,898 women to identify candidate susceptibility  genes for epithelial ovarian cancer risk	2018	Cancer Research	10.1158/0008-5472.CAN-18-0951
TWASP000018	30636644	Genome-wide analysis of genetic predisposition to Alzheimer's disease and related sex disparities	2019	Alzheimer's Research & Therapy	10.1186/s13195-018-0458-8
TWASP000019	30333196	Cell-type-specific eQTL of primary melanocytes facilitates identification of melanoma susceptibility genes	2018	Genome Research	10.1101/gr.233304.117
TWASP000020	31036433	Shared and distinct genetic risk factors for childhood-onset and adult-onset asthma: genome-wide and transcriptome-wide studies	2019	Lancet Respiratory Medicine	10.1016/S2213-2600(19)30055-4
TWASP000021	30824768	Prioritizing Parkinson's disease genes using population-scale transcriptomic data	2019	Nature Genetics	10.1038/s41467-019-08912-9
TWASP000022	31174959	Regional heterogeneity in gene expression, regulation, and coherence in the frontal cortex and hippocampus across development and schizophrenia	2019	Neuron	10.1016/j.neuron.2019.05.013
TWASP000023	31043753	A transcriptome-wide association study of high-grade serous epithelial ovarian cancer identifies new susceptibility genes and splice variants	2019	Nature Genetics	10.1038/s41588-019-0395-x
TWASP000024	31087417	Integrative analysis of dupuytren's disease identifies novel risk locus and reveals a shared genetic etiology with BMI	2019	Genetic Epidemiology	10.1002/gepi.22209
TWASP000025	30666269	Prediction of Alzheimer's disease-associated genes by integration of GWAS summary data and expression data	2019	Frontiers in Genetics	10.3389/fgene.2018.00653
TWASP000026	30323283	Gene expression imputation identifies candidate genes and susceptibility loci associated with cutaneous squamous cell carcinoma	2018	Nature Communications	10.1038/s41467-018-06149-6
TWASP000027	30010802	Whole blood gene expression associated with clinical biological age	2019	Journals of Gerontology Series A-Biological Sciences and Medical Sciences	10.1093/gerona/gly164
