cluster_annotated,gene_name,logFC_MvF,FDR,t_stat,B,P.Value,AveExpr,cluster_id
Other_GABAergic_1,GLRA2,0.675106992360398,0.211927845854923,3.6186842720395,-1.43462060422865,0.00210547284015717,11.6919426811686,X1
Other_GABAergic_1,RDH10,-1.3896103578062,0.211927845854923,-3.60236607825106,-1.68742404414355,0.00218156941092511,10.2415997382232,X1
Other_GABAergic_1,CRYM,-1.53098405806208,0.211927845854923,-3.57742726627284,-1.74480376840173,0.00230319224073528,10.702235723125,X1
Other_GABAergic_1,TAC3,1.09922736586589,0.211927845854923,3.56468649813812,-2.09164113032096,0.00236790889223378,8.98210336401326,X1
Other_GABAergic_1,MC4R,1.09523733780462,0.349071924032138,3.23161299298853,-2.58475662807842,0.00487530620156617,8.76067855016042,X1
Other_GABAergic_1,DCN,-0.828139379604366,0.587525450661629,-2.77676187915625,-2.8622785538313,0.0128743389085765,10.370826532673,X1
Other_GABAergic_1,GAD1,0.28820605605126,0.587525450661629,2.72497994514733,-2.91466328231921,0.0143532308541358,14.7981896204938,X1
Other_GABAergic_1,NOTCH1,-0.58768589832272,0.587525450661629,-2.61717159484961,-3.10058817832324,0.0179718121871972,10.0133918937356,X1
Other_GABAergic_1,ZBBX,-0.630661192066205,0.587525450661629,-2.43640544045459,-3.380732599487,0.0260591156108508,9.3227334315416,X1
Other_GABAergic_1,NES,-0.743567415773811,0.587525450661629,-2.3929936506847,-3.39188466987002,0.0284589119755737,10.1653796046753,X1
Other_GABAergic_1,PECAM1,-0.912114697648548,0.587525450661629,-2.55741556526132,-3.41046973870547,0.0203367744008185,8.15425590511486,X1
Other_GABAergic_1,ST18,-0.598551739568574,0.587525450661629,-2.38219023251943,-3.41885336339058,0.0290875468286315,9.95346288090495,X1
Other_GABAergic_1,NPFFR2,0.680134514749408,0.587525450661629,2.42942255029191,-3.44165409531755,0.0264318422112611,8.87141037562519,X1
Other_GABAergic_1,CDH12,0.471118986741947,0.587525450661629,2.33119954928594,-3.46943645907869,0.0322339664799104,10.4302077257959,X1
Other_GABAergic_1,PDGFRA,0.569650150323842,0.587525450661629,2.25774958914472,-3.56729137918743,0.0373271923861695,10.4977308161102,X1
Other_GABAergic_1,PCLO,0.247610763003005,0.587525450661629,2.27579995604366,-3.58845654371705,0.0360105268258649,13.1813052870152,X1
Other_GABAergic_1,FILIP1,-0.614470051552642,0.587525450661629,-2.26600873955001,-3.59205881882414,0.0367192939473578,9.33664900255266,X1
Other_GABAergic_1,OLIG2,0.77637104308254,0.587525450661629,2.23065893810333,-3.6262572237976,0.0393871810499416,9.77880203785165,X1
Other_GABAergic_1,C1orf162,-0.866394768378045,0.587525450661629,-2.3765617175955,-3.65394349817882,0.029420193135173,7.77704081662361,X1
Other_GABAergic_1,MEIS2,-0.875264530970858,0.587525450661629,-2.25200507549779,-3.657010622541,0.0377554899786528,8.8227424620261,X1
Other_GABAergic_1,FGFR2,-0.407860601673406,0.609935737669687,-2.17682613181841,-3.67605401281924,0.0437956222926999,11.1990126714181,X1
Other_GABAergic_1,ALKAL2,-1.18764960588993,0.587525450661629,-2.41313595109862,-3.69650384205006,0.0273207413487763,7.12809525233769,X1
Other_GABAergic_1,PLD5,-0.443507582271542,0.609935737669687,-2.15174540312551,-3.70959442765844,0.0460007399918479,11.0738863368759,X1
Other_GABAergic_1,NRP1,-0.309920059124567,0.609935737669687,-2.15323794647785,-3.72878804810945,0.0458667158024358,11.9865658364815,X1
Other_GABAergic_1,MYO5B,-0.752531553054332,0.587525450661629,-2.27678301071803,-3.7294903608859,0.0359400710870664,7.66175385371686,X1
Other_GABAergic_1,MGST1,-0.525164751058624,0.635404480238861,-2.11208213943862,-3.77212143040612,0.0496964397952182,11.5201216257973,X1
Other_GABAergic_1,GAL,0.444655882307893,0.643260247751323,2.05352649496443,-3.83711071923994,0.0556492739772821,10.5863112741368,X1
Other_GABAergic_1,SSTR2,0.527971733351073,0.643260247751323,2.06040090927132,-3.83720018238721,0.0549183161805983,9.43583341889073,X1
Other_GABAergic_1,ADAMTS12,-1.24406396612244,0.587525450661629,-2.51410285384168,-3.84725709265783,0.0222325909333391,6.09818899771175,X1
Other_GABAergic_1,CX3CR1,-1.33426356450477,0.643260247751323,-2.0530402766605,-3.86391547952479,0.0557013063695279,8.91215162109268,X1
Other_GABAergic_1,FCGR1A,-1.26238054088891,0.587525450661629,-2.23973922399519,-3.90350536198128,0.0386852757804885,6.48970543122298,X1
Other_GABAergic_1,TGFB2,-0.436159639701328,0.65052870336991,-1.98762124610461,-3.91785640540456,0.0631172205077761,10.3174198027748,X1
Other_GABAergic_1,SLC24A3,0.307619981264425,0.65052870336991,2.02885248094112,-3.92340979062289,0.0583460838981503,12.5195276399384,X1
Other_GABAergic_1,CTSH,-0.462881309654266,0.65052870336991,-1.96240484619883,-3.94595638055042,0.0662055214533865,9.60995711523177,X1
Other_GABAergic_1,PCDH19,0.325582150961985,0.65052870336991,2.01272207564807,-3.95984787394814,0.0601724383806126,12.7250992402237,X1
Other_GABAergic_1,CEMIP2,-0.431514132425255,0.688245432682445,-1.91004751686004,-4.00799591008872,0.0730539844746729,9.17308263026132,X1
Other_GABAergic_1,ANXA1,-0.887309025559414,0.694973630767428,-1.88937288067317,-4.04995880087842,0.0759277516055315,8.62764169877477,X1
Other_GABAergic_1,GABRQ,0.330023302799921,0.65052870336991,1.95458844047775,-4.07485835730311,0.0671899771522347,13.169984688224,X1
Other_GABAergic_1,CCK,-0.712925997441575,0.694973630767428,-1.85096965333563,-4.09617306975972,0.0815332192520447,10.5334536255702,X1
Other_GABAergic_1,CYP26A1,-1.02055439666159,0.65052870336991,-1.95424593396285,-4.10619349753553,0.0672334134767784,6.91259416789494,X1
Other_GABAergic_1,SLIT3,0.421012762994739,0.704144030119315,1.83109164109629,-4.10634343768499,0.0845759589249457,10.3797837359616,X1
Other_GABAergic_1,SNCA,0.289880628602603,0.694973630767428,1.86928805484525,-4.1343672897421,0.0788152642950946,12.1087876729112,X1
