assay	ID	bjm_annot	logFC_MvF_5typeARC	FDR_5typeARC	t_5typeARC	logFC_MvF_VMH	FDR_VMH	t_VMH
X1	ABCC9	Other_GABAergic_1	-0.390741798067521	0.999864318575328	-1.20414457385828	-0.161441563429636	0.999777798951321	-0.640193696250072
X1	ACVR1C	Other_GABAergic_1	-0.0649756138883513	0.999864318575328	-0.203030373336008	-0.0944853335893273	0.999777798951321	-0.404024871975214
X1	ADAMTS12	Other_GABAergic_1	-0.512087319047459	0.947107692681415	-1.66321370694722			
X1	ADAMTS3	Other_GABAergic_1	0.315788874669957	0.999864318575328	1.22163449051995			
X1	ADARB1	Other_GABAergic_1	0.160980646208776	0.999864318575328	1.34705610242445	0.105449744112791	0.999777798951321	0.912819580494312
X1	ADCYAP1	Other_GABAergic_1	-0.743187836074489	0.979380465139842	-1.53868035987945	-0.612033070178304	0.999777798951321	-3.73793799244461
X1	ADRA1A	Other_GABAergic_1	0.122146209983676	0.999864318575328	0.521561870281251	-0.0318883596058725	0.999777798951321	-0.141655953470828
X1	ADRA1B	Other_GABAergic_1	-0.0219581439697183	0.999864318575328	-0.0687085753584032			
X1	AGRP	Other_GABAergic_1	-0.396863175993575	0.999864318575328	-0.919969332752998			
X1	AIF1	Other_GABAergic_1	-0.140695949253522	0.999864318575328	-0.198876000730927	-0.800805905942176	0.999777798951321	-1.2648620140484
X1	ALK	Other_GABAergic_1	-0.0651859021738238	0.999864318575328	-0.173547132574364	0.257161942989327	0.999777798951321	1.04881901903274
X1	ALKAL2	Other_GABAergic_1	-1.00832581702805	0.695718235081646	-2.61537080551478			
X1	ANGPT1	Other_GABAergic_1	-0.0508237638589598	0.999864318575328	-0.244773367230583	-0.122067117578407	0.999777798951321	-0.455808647547431
X1	ANK1	Other_GABAergic_1	0.30491060355472	0.913337008451824	1.78181661958326	-0.0287992505739953	0.999777798951321	-0.108957874995522
