DEcluster_domain1,DEcluster_domain2,spearman
ARC_1_xencellarc,VMH_1_xencellarc,0.348592256609324
VMH_2_xencellarc,VMH_1_xencellarc,0.149258222880084
ARC_2_xencellarc,VMH_1_xencellarc,0.280452023587564
ARC_3_xencellarc,VMH_1_xencellarc,0.392357426923626
ARC_4_xencellarc,VMH_1_xencellarc,0.225939173610565
ARC_5_xencellarc,VMH_1_xencellarc,0.345773440873771
VMH_1_xencellarc,ARC_1_xencellarc,0.348592256609324
VMH_2_xencellarc,ARC_1_xencellarc,0.204584389336242
ARC_2_xencellarc,ARC_1_xencellarc,0.746519077150112
ARC_3_xencellarc,ARC_1_xencellarc,0.800413264740754
ARC_4_xencellarc,ARC_1_xencellarc,0.541792889398557
ARC_5_xencellarc,ARC_1_xencellarc,0.675415011493451
VMH_1_xencellarc,VMH_2_xencellarc,0.149258222880084
ARC_1_xencellarc,VMH_2_xencellarc,0.204584389336242
ARC_2_xencellarc,VMH_2_xencellarc,0.212160677888525
ARC_3_xencellarc,VMH_2_xencellarc,0.200540010849467
ARC_4_xencellarc,VMH_2_xencellarc,0.131318675232318
ARC_5_xencellarc,VMH_2_xencellarc,0.231849868971973
VMH_1_xencellarc,ARC_2_xencellarc,0.280452023587564
ARC_1_xencellarc,ARC_2_xencellarc,0.746519077150112
VMH_2_xencellarc,ARC_2_xencellarc,0.212160677888525
ARC_3_xencellarc,ARC_2_xencellarc,0.657271279404192
ARC_4_xencellarc,ARC_2_xencellarc,0.410757737279834
ARC_5_xencellarc,ARC_2_xencellarc,0.559539564563155
VMH_1_xencellarc,ARC_3_xencellarc,0.392357426923626
ARC_1_xencellarc,ARC_3_xencellarc,0.800413264740754
VMH_2_xencellarc,ARC_3_xencellarc,0.200540010849467
ARC_2_xencellarc,ARC_3_xencellarc,0.657271279404192
ARC_4_xencellarc,ARC_3_xencellarc,0.508601135789987
ARC_5_xencellarc,ARC_3_xencellarc,0.595175251465543
VMH_1_xencellarc,ARC_4_xencellarc,0.225939173610565
ARC_1_xencellarc,ARC_4_xencellarc,0.541792889398557
VMH_2_xencellarc,ARC_4_xencellarc,0.131318675232318
ARC_2_xencellarc,ARC_4_xencellarc,0.410757737279834
ARC_3_xencellarc,ARC_4_xencellarc,0.508601135789987
ARC_5_xencellarc,ARC_4_xencellarc,0.335533092969354
