NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
HBA1	1	HBA1	
HBA2	1	HBA2	
HBB	1	HBB	
TTR	1	TTR	
CCL19	1	CCL19	
MYH11	1	MYH11	
TAGLN	1	TAGLN	
DSP	1	DSP	
COL1A1	1	COL1A1	
COL1A2	1	COL1A2	
PROCR	1	PROCR	
PCOLCE	1	PCOLCE	
TBX18	1	TBX18	
DCN	1	DCN	
CYP1B1	1	CYP1B1	
FMOD	1	FMOD	
MFAP4	1	MFAP4	
MYL9	1	MYL9	
OGN	1	OGN	
COL3A1	1	COL3A1	
LAMC3	1	LAMC3	
ACTA2	1	ACTA2	
TGFBI	1	TGFBI	
SOX17	1	SOX17	
SLC13A4	1	SLC13A4	
ASPN	1	ASPN	
SLPI	1	SLPI	
IGFBP4	1	IGFBP4	
ADGRA2	1	ADGRA2	
APOL1	1	APOL1	
SLC6A20	1	SLC6A20	
ITIH2	1	ITIH2	
CFB	1	CFB	
CARMN	1	CARMN	
VWF	1	VWF	
S100A4	1	S100A4	
CCL5	1	CCL5	
TPM2	1	TPM2	
THBS1	1	THBS1	
ADAMTS1	1	ADAMTS1	
MGP	1	MGP	
EDN3	1	EDN3	
ENG	1	ENG	
TM4SF1	1	TM4SF1	
CASQ2	1	CASQ2	
PRELP	1	PRELP	
CEMIP	1	CEMIP	
CES1	1	CES1	
ITIH5	1	ITIH5	
C1S	1	C1S	
CXCL12	1	CXCL12	
TMEM204	1	TMEM204	
ISLR	1	ISLR	
IGFBP6	1	IGFBP6	
CFH	1	CFH	
IFITM2	1	IFITM2	
C7	1	C7	
PECAM1	1	PECAM1	
CD52	1	CD52	
LYVE1	1	LYVE1	
LRRC32	1	LRRC32	
TFPI2	1	TFPI2	
FOXC1	1	FOXC1	
TFPI	1	TFPI	
NID2	1	NID2	
CNN2	1	CNN2	
FABP4	1	FABP4	
RGS1	1	RGS1	
S100A8	1	S100A8	
FOLR2	1	FOLR2	
CD93	1	CD93	
OMD	1	OMD	
TFEC	1	TFEC	
ECSCR	1	ECSCR	
CASP4	1	CASP4	
F10	1	F10	
CD163	1	CD163	
COL8A1	1	COL8A1	
FOXS1	1	FOXS1	
PTGS2	1	PTGS2	
FGL2	1	FGL2	
LUM	1	LUM	
SRPX2	1	SRPX2	
ADGRG6	1	ADGRG6	
TNFSF10	1	TNFSF10	
COL6A2	1	COL6A2	
FBLN1	1	FBLN1	
GIMAP1	1	GIMAP1	
S100A9	1	S100A9	
PHLDB2	1	PHLDB2	
PTPRB	1	PTPRB	
PLA2G4A	1	PLA2G4A	
SOX18	1	SOX18	
MAMDC2	1	MAMDC2	
PEAR1	1	PEAR1	
PLA1A	1	PLA1A	
IL1R1	1	IL1R1	
TGFBR2	1	TGFBR2	
GIMAP8	1	GIMAP8	
LYZ	1	LYZ	
FOXF1	1	FOXF1	
COBLL1	1	COBLL1	
HTRA3	1	HTRA3	
COL6A3	1	COL6A3	
DEPP1	1	DEPP1	
C2CD4B	1	C2CD4B	
STAB1	1	STAB1	
FN1	1	FN1	
TRBC2	1	TRBC2	
FLNA	1	FLNA	
SLC38A11	1	SLC38A11	
CLDN5	1	CLDN5	
TINAGL1	1	TINAGL1	
CLEC14A	1	CLEC14A	
FAM81B	1	FAM81B	
MS4A7	1	MS4A7	
NIBAN1	1	NIBAN1	
COL14A1	1	COL14A1	
MRGPRF	1	MRGPRF	
C1R	1	C1R	
LAMB1	1	LAMB1	
SRGN	1	SRGN	
ADGRF5	1	ADGRF5	
ECM2	1	ECM2	
VIM	1	VIM	
SMAD6	1	SMAD6	
MUSTN1	1	MUSTN1	
KLF2	1	KLF2	
CAVIN2	1	CAVIN2	
HSPG2	1	HSPG2	
CARD16	1	CARD16	
SEMA3G	1	SEMA3G	
CAVIN1	1	CAVIN1	
IFITM1	1	IFITM1	
ICAM1	1	ICAM1	
CCL14	1	CCL14	
RERGL	1	RERGL	
RAMP2	1	RAMP2	
OLFML2A	1	OLFML2A	
FOSB	1	FOSB	
FRZB	1	FRZB	
VAMP8	1	VAMP8	
PLBD1	1	PLBD1	
MRC1	1	MRC1	
MS4A4A	1	MS4A4A	
FOXQ1	1	FOXQ1	
TBX2	1	TBX2	
CALHM2	1	CALHM2	
IGFBP2	1	IGFBP2	
TNXB	1	TNXB	
F13A1	1	F13A1	
ITGA8	1	ITGA8	
LAMA2	1	LAMA2	
ADGRL4	1	ADGRL4	
FHL2	1	FHL2	
FXYD5	1	FXYD5	
KLF4	1	KLF4	
APOL3	1	APOL3	
HLA-DRA	1	HLA-DRA	
HLA-DPA1	1	HLA-DPA1	
SLC47A1	1	SLC47A1	
EDNRA	1	EDNRA	
TGM2	1	TGM2	
KDELR3	1	KDELR3	
S100A11	1	S100A11	
NOSTRIN	1	NOSTRIN	
CCDC3	1	CCDC3	
CRIP1	1	CRIP1	
TLR1	1	TLR1	
GIMAP4	1	GIMAP4	
ESAM	1	ESAM	
EGR3	1	EGR3	
EMCN	1	EMCN	
GJA4	1	GJA4	
CD69	1	CD69	
ITGA5	1	ITGA5	
ICAM2	1	ICAM2	
EGFL8	1	EGFL8	
PDE5A	1	PDE5A	
ANGPTL1	1	ANGPTL1	
A2M	1	A2M	
CXCL2	1	CXCL2	
DUSP1	1	DUSP1	
TRIM38	1	TRIM38	
CCL2	1	CCL2	
ITGA10	1	ITGA10	
