NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
CHR1P11	21		Rejected!	
CHR1P12	53		Rejected!	
CHR1P13	213	73		
CHR1P21	107	28		
CHR1P22	134	37		
CHR1P31	223	57		
CHR1P32	156	42		
CHR1P33	61		Rejected!	
CHR1P34	292	110		
CHR1P35	136	59		
CHR1P36	681	216		
CHR1Q21	404	101		
CHR1Q22	71	38		
CHR1Q23	224	55		
CHR1Q24	128	32		
CHR1Q25	165	45		
CHR1Q31	74		Rejected!	
CHR1Q32	286	80		
CHR1Q41	96	21		
CHR1Q42	239	71		
CHR1Q43	62		Rejected!	
CHR1Q44	128	18		
CHR10P11	126	18		
CHR10P12	140	33		
CHR10P13	66	18		
CHR10P14	48		Rejected!	
CHR10P15	89	23		
CHR10Q11	188	35		
CHR10Q21	119	27		
CHR10Q22	207	66		
CHR10Q23	194	47		
CHR10Q24	189	84		
CHR10Q25	131	31		
CHR10Q26	207	71		
CHR11P11	153	41		
CHR11P12	19		Rejected!	
CHR11P13	64	27		
CHR11P14	59		Rejected!	
CHR11P15	563	129		
CHR11Q11	40		Rejected!	
CHR11Q12	342	73		
CHR11Q13	449	173		
CHR11Q14	156	36		
CHR11Q21	63	23		
CHR11Q22	105	27		
CHR11Q23	218	69		
CHR11Q24	190	37		
CHR11Q25	31		Rejected!	
CHR12P11	84	23		
CHR12P12	113	32		
CHR12P13	349	81		
CHR12Q12	62	19		
CHR12Q13	419	133		
CHR12Q14	114	30		
CHR12Q15	56	16		
CHR12Q21	139	39		
CHR12Q22	57		Rejected!	
CHR12Q23	150	51		
CHR12Q24	410	173		
CHR13Q11	25		Rejected!	
CHR13Q12	235	45		
CHR13Q13	81	17		
CHR13Q14	245	55		
CHR13Q21	117		Rejected!	
CHR13Q22	62		Rejected!	
CHR13Q31	99		Rejected!	
CHR13Q32	95	19		
CHR13Q33	57		Rejected!	
CHR13Q34	88	24		
CHR14Q11	330	48		
CHR14Q12	105	38		
CHR14Q13	60	18		
CHR14Q21	97	26		
CHR14Q22	93	35		
CHR14Q23	131	44		
CHR14Q24	201	81		
CHR14Q31	59		Rejected!	
CHR14Q32	565	107		
CHR15Q11	216		Rejected!	
CHR15Q12	18		Rejected!	
CHR15Q13	101		Rejected!	
CHR15Q14	61	17		
CHR15Q15	146	57		
CHR15Q21	176	58		
CHR15Q22	131	49		
CHR15Q23	68	21		
CHR15Q24	122	42		
CHR15Q25	157	47		
CHR15Q26	204	45		
CHR16P11	276	68		
CHR16P12	172	47		
CHR16P13	421	167		
CHR16Q11	12		Rejected!	
CHR16Q12	101	25		
CHR16Q13	40	19		
CHR16Q21	78	25		
CHR16Q22	182	81		
CHR16Q23	114	34		
CHR16Q24	132	53		
CHR17P11	203	45		
CHR17P12	64		Rejected!	
CHR17P13	346	128		
CHR17Q11	169	58		
CHR17Q12	147	47		
CHR17Q21	472	136		
CHR17Q22	88	31		
CHR17Q23	118	34		
CHR17Q24	98	23		
CHR17Q25	305	132		
CHR18P11	210	48		
CHR18Q11	85	19		
CHR18Q12	104	26		
CHR18Q21	202	55		
CHR18Q22	65	15		
CHR18Q23	39		Rejected!	
CHR19P12	114	15		
CHR19P13	786	342		
CHR19Q11	5		Rejected!	
CHR19Q12	30		Rejected!	
CHR19Q13	1185	386		
CHR2P11	213	32		
CHR2P12	56		Rejected!	
CHR2P13	140	56		
CHR2P14	63	17		
CHR2P15	44		Rejected!	
CHR2P16	119	24		
CHR2P21	80	25		
CHR2P22	103	33		
CHR2P23	149	61		
CHR2P24	80	17		
CHR2P25	126	36		
CHR2Q11	152	42		
CHR2Q12	82		Rejected!	
CHR2Q13	59		Rejected!	
CHR2Q14	164	44		
CHR2Q21	150	24		
CHR2Q22	70		Rejected!	
CHR2Q23	53	15		
CHR2Q24	128	29		
CHR2Q31	178	47		
CHR2Q32	111	27		
CHR2Q33	203	54		
CHR2Q34	45		Rejected!	
CHR2Q35	131	42		
CHR2Q36	85	20		
CHR2Q37	226	59		
CHR20P11	150	33		
CHR20P12	108	27		
CHR20P13	120	46		
CHR20Q11	245	73		
CHR20Q12	25		Rejected!	
CHR20Q13	410	134		
CHR21P11	38		Rejected!	
CHR21P12	15		Rejected!	
CHR21Q11	47		Rejected!	
CHR21Q21	121	20		
CHR21Q22	370	85		
CHR22Q11	401	75		
CHR22Q12	221	81		
CHR22Q13	320	130		
CHR3P11	25		Rejected!	
CHR3P12	73		Rejected!	
CHR3P13	47		Rejected!	
CHR3P14	141	36		
CHR3P21	316	123		
CHR3P22	185	53		
CHR3P23	10		Rejected!	
CHR3P24	113	22		
CHR3P25	155	61		
CHR3P26	48		Rejected!	
CHR3Q11	54		Rejected!	
CHR3Q12	53	15		
CHR3Q13	221	45		
CHR3Q21	160	39		
CHR3Q22	135	38		
CHR3Q23	62	19		
CHR3Q24	46		Rejected!	
CHR3Q25	179	37		
CHR3Q26	219	42		
CHR3Q27	127	39		
CHR3Q28	36		Rejected!	
CHR3Q29	139	36		
CHR4P11	19		Rejected!	
CHR4P12	26		Rejected!	
CHR4P13	31		Rejected!	
CHR4P14	67	15		
CHR4P15	134	30		
CHR4P16	220	65		
CHR4Q12	84	24		
CHR4Q13	153	16		
CHR4Q21	133	41		
CHR4Q22	73	20		
CHR4Q23	36		Rejected!	
CHR4Q24	59	15		
CHR4Q25	90		Rejected!	
CHR4Q26	55		Rejected!	
CHR4Q27	31		Rejected!	
CHR4Q28	81	16		
CHR4Q31	163	40		
CHR4Q32	119	26		
CHR4Q33	15		Rejected!	
CHR4Q34	60		Rejected!	
CHR4Q35	115	23		
CHR5P12	32		Rejected!	
CHR5P13	139	37		
CHR5P14	37		Rejected!	
CHR5P15	204	42		
CHR5Q11	95	21		
CHR5Q12	66	20		
CHR5Q13	151	35		
CHR5Q14	136	44		
CHR5Q15	60	18		
CHR5Q21	68		Rejected!	
CHR5Q22	59	21		
CHR5Q23	115	24		
CHR5Q31	297	97		
CHR5Q32	78	20		
CHR5Q33	118	36		
CHR5Q34	40		Rejected!	
CHR5Q35	231	79		
CHR6P11	9		Rejected!	
CHR6P12	135	23		
CHR6P21	487	177		
CHR6P22	364	56		
CHR6P23	16		Rejected!	
CHR6P24	63	17		
CHR6P25	84	24		
CHR6Q11	6		Rejected!	
CHR6Q12	24		Rejected!	
CHR6Q13	64		Rejected!	
CHR6Q14	96	31		
CHR6Q15	51	17		
CHR6Q16	56	16		
CHR6Q21	122	39		
CHR6Q22	126	39		
CHR6Q23	118	21		
CHR6Q24	77	26		
CHR6Q25	161	40		
CHR6Q26	15		Rejected!	
CHR6Q27	79	18		
CHR7P11	86		Rejected!	
CHR7P12	64		Rejected!	
CHR7P13	52	26		
CHR7P14	173	44		
CHR7P15	101	22		
CHR7P21	87	23		
CHR7P22	132	55		
CHR7Q11	268	59		
CHR7Q21	176	53		
CHR7Q22	219	83		
CHR7Q31	137	35		
CHR7Q32	97	29		
CHR7Q33	58	17		
CHR7Q34	184	23		
CHR7Q35	65		Rejected!	
CHR7Q36	156	56		
CHR8P11	102	34		
CHR8P12	70	16		
CHR8P21	135	49		
CHR8P22	47		Rejected!	
CHR8P23	233	21		
CHR8Q11	76	16		
CHR8Q12	90	22		
CHR8Q13	75	17		
CHR8Q21	190	46		
CHR8Q22	164	48		
CHR8Q23	50		Rejected!	
CHR8Q24	353	106		
CHR9P11	51		Rejected!	
CHR9P12	17		Rejected!	
CHR9P13	174	55		
CHR9P21	124	22		
CHR9P22	52		Rejected!	
CHR9P23	20		Rejected!	
CHR9P24	105	24		
CHR9Q12	8		Rejected!	
CHR9Q13	55		Rejected!	
CHR9Q21	198	46		
CHR9Q22	198	51		
CHR9Q31	136	36		
CHR9Q32	50	22		
CHR9Q33	136	47		
CHR9Q34	323	145		
MT	37		Rejected!	
CHRXP11	374	96		
CHRXP21	82		Rejected!	
CHRXP22	245	68		
CHRXQ11	29		Rejected!	
CHRXQ12	26		Rejected!	
CHRXQ13	164	40		
CHRXQ21	142	18		
CHRXQ22	171	46		
CHRXQ23	89		Rejected!	
CHRXQ24	81	22		
CHRXQ25	48		Rejected!	
CHRXQ26	172	37		
CHRXQ27	91		Rejected!	
CHRXQ28	212	66		
CHRYP11	122		Rejected!	
CHRYQ11	311		Rejected!	
GLI1_UP.V1_DN	17		Rejected!	
GLI1_UP.V1_UP	24	23		
GCNP_SHH_UP_EARLY.V1_DN	167	99		
GCNP_SHH_UP_LATE.V1_DN	178	108		
RAPA_EARLY_UP.V1_DN	186	123		
RAPA_EARLY_UP.V1_UP	167	95		
HINATA_NFKB_MATRIX	11		Rejected!	
CYCLIN_D1_KE_.V1_UP	188	120		
CYCLIN_D1_UP.V1_UP	187	110		
CSR_EARLY_UP.V1_DN	126	90		
VEGF_A_UP.V1_UP	195	113		
BCAT_GDS748_DN	45	30		
BCAT_GDS748_UP	48	27		
BCAT.100_UP.V1_DN	41	19		
BCAT.100_UP.V1_UP	49	25		
ATF2_S_UP.V1_UP	193	84		
ATF2_UP.V1_UP	190	80		
WNT_UP.V1_UP	176	92		
ATM_DN.V1_DN	146	48		
ATM_DN.V1_UP	146	60		
P53_DN.V2_DN	145	67		
RELA_DN.V1_DN	139	44		
BCAT_BILD_ET_AL_DN	46	40		
BCAT_BILD_ET_AL_UP	45	33		
E2F3_UP.V1_UP	190	137		
CAMP_UP.V1_DN	199	166		
CAMP_UP.V1_UP	200	172		
PRC1_BMI_UP.V1_UP	185	79		
PRC2_EED_DN.V1_UP	191	115		
PRC2_EZH2_UP.V1_UP	192	119		
PRC2_SUZ12_UP.V1_UP	185	94		
JNK_DN.V1_DN	190	103		
JNK_DN.V1_UP	186	93		
BRCA1_DN.V1_UP	133	43		
CTIP_DN.V1_UP	135	48		
PKCA_DN.V1_DN	154	78		
MTOR_UP.N4.V1_DN	184	134		
PTEN_DN.V2_UP	139	66		
DCA_UP.V1_UP	186	73		
ESC_J1_UP_EARLY.V1_UP	178	115		
ESC_J1_UP_LATE.V1_UP	185	106		
