NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
ZSCAN5A	1	ZSCAN5A	
IGSF21	1	IGSF21	
NUBPL	1	NUBPL	
SLC22A6	1	SLC22A6	
CFAP251	1	WDR66	
ZNF717	1	ZNF717	
FRMD4B	1	FRMD4B	
BBS10	1	BBS10	
ITGA2	1	ITGA2	
PPP1R16B	1	PPP1R16B	
FIZ1	1	FIZ1	
ARHGEF33	1	ARHGEF33	
BRCC3	1	BRCC3	
METTL18	1	METTL18	
ZNF740	1	ZNF740	
TMEM8B	1	TMEM8B	
RASSF1	1	RASSF1	
HECW1	1	HECW1	
TMEM192	1	TMEM192	
KLHL26	1	KLHL26	
INSR	1	INSR	
WDR5	1	WDR5	
GNA12	1	GNA12	
ZFAND4	1	ZFAND4	
INIP	1	INIP	
ZNF146	1	ZNF146	
TLE3	1	TLE3	
PIK3R3	1	PIK3R3	
UBALD2	1	UBALD2	
HDAC2	1	HDAC2	
SEMA7A	1	SEMA7A	
ABLIM3	1	ABLIM3	
CCNA1	1	CCNA1	
FAM118A	1	FAM118A	
KLF15	1	KLF15	
DMTF1	1	DMTF1	
HMOX1	1	HMOX1	
LKAAEAR1	1	LKAAEAR1	
MED13L	1	MED13L	
KRT18	1	KRT18	
ACBD4	1	ACBD4	
BPNT1	1	BPNT1	
TPRA1	1	TPRA1	
ADGRB3-DT	1	AL391807.1	
FRAT1	1	FRAT1	
MAPKAPK3	1	MAPKAPK3	
RIMS4	1	RIMS4	
AKR1C3	1	AKR1C3	
R3HDM2	1	R3HDM2	
ISG20L2	1	ISG20L2	
NKAIN2	1	NKAIN2	
RAD51D	1	RAD51D	
SLC8A3	1	SLC8A3	
C2CD3	1	C2CD3	
DESI2	1	DESI2	
VIRMA	1	VIRMA	
RYR2	1	RYR2	
KLHL3	1	KLHL3	
POLE3	1	POLE3	
RMST	1	RMST	
ACVR1B	1	ACVR1B	
AKIRIN2	1	AKIRIN2	
C6orf141	1	C6orf141	
SEPTIN10	1	SEPTIN10	
COMMD10	1	COMMD10	
ARHGEF4	1	ARHGEF4	
SRPRB	1	SRPRB	
RASL10B	1	RASL10B	
EPHA10	1	EPHA10	
BTAF1	1	BTAF1	
KATNAL2	1	KATNAL2	
FBXL19	1	FBXL19	
ARID2	1	ARID2	
CBR4	1	CBR4	
CCDC120	1	CCDC120	
ZNF582-DT	1	ZNF582-AS1	
PRKN	1	PRKN	
MYH9	1	MYH9	
IGFBPL1	1	IGFBPL1	
TMEM250	1	TMEM250	
USP6NL	1	USP6NL	
LIPG	1	LIPG	
ZNF776	1	ZNF776	
FKBP14	1	FKBP14	
POLR3G	1	POLR3G	
APBA3	1	APBA3	
BICRA	1	BICRA	
TSHZ2	1	TSHZ2	
ZNF423	1	ZNF423	
PHLPP2	1	PHLPP2	
SELENOI	1	SELENOI	
KBTBD7	1	KBTBD7	
PPP1R17	1	PPP1R17	
INTS8	1	INTS8	
ABCG1	1	ABCG1	
AMER3	1	AMER3	
CYB561D1	1	CYB561D1	
C11orf54	1	C11orf54	
SLF2	1	SLF2	
RAP2B	1	RAP2B	
SLC66A2	1	SLC66A2	
ACD	1	ACD	
CCDC22	1	CCDC22	
KDM2B	1	KDM2B	
SOS1	1	SOS1	
URB1-AS1	1	URB1-AS1	
CMTR2	1	CMTR2	
KCNQ1OT1	1	KCNQ1OT1	
LZTR1	1	LZTR1	
RSPH3	1	RSPH3	
ESCO1	1	ESCO1	
SNAPC3	1	SNAPC3	
PPP2R3C	1	PPP2R3C	
ZC3H12B	1	ZC3H12B	
RING1	1	RING1	
AP4S1	1	AP4S1	
CNTLN	1	CNTLN	
UBAP2L	1	UBAP2L	
SLIT3	1	SLIT3	
GRIK4	1	GRIK4	
APEX2	1	APEX2	
METTL9	1	METTL9	
PDSS2	1	PDSS2	
TOPBP1	1	TOPBP1	
ZNF703	1	ZNF703	
SMAD2	1	SMAD2	
NIM1K	1	NIM1K	
SLC24A4	1	SLC24A4	
ZNF273	1	ZNF273	
UNC5C	1	UNC5C	
TJAP1	1	TJAP1	
IMP4	1	IMP4	
KIAA0319L	1	KIAA0319L	
ARMC5	1	ARMC5	
RBM15B	1	RBM15B	
CCDC146	1	CCDC146	
CNNM4	1	CNNM4	
E2F3	1	E2F3	
RBBP9	1	RBBP9	
CCDC148	1	CCDC148	
GALR1	1	GALR1	
SMURF2	1	SMURF2	
RELA	1	RELA	
EPHX2	1	EPHX2	
U2AF2	1	U2AF2	
MSANTD2	1	MSANTD2	
YTHDF3	1	YTHDF3	
RNF10	1	RNF10	
CLMP	1	CLMP	
PTPN14	1	PTPN14	
ZNF219	1	ZNF219	
SLC25A27	1	SLC25A27	
C11orf71	1	C11orf71	
SCAF4	1	SCAF4	
NQO1	1	NQO1	
DRAM2	1	DRAM2	
THAP1	1	THAP1	
CMBL	1	CMBL	
FBXL5	1	FBXL5	
VAMP5	1	VAMP5	
NR2E1	1	NR2E1	
ZNF264	1	ZNF264	
TNS1	1	TNS1	
CAPN2	1	CAPN2	
ATAD2B	1	ATAD2B	
FHL3	1	FHL3	
CMTM6	1	CMTM6	
MACROD2	1	MACROD2	
FAM131B	1	FAM131B	
WIPF2	1	WIPF2	
POLR1D	1	POLR1D	
MMD2	1	MMD2	
MARCHF3	1	MARCH3	
KHDC1	1	KHDC1	
LINC00642	1	LINC00642	
FOXJ2	1	FOXJ2	
MOGS	1	MOGS	
ZNF395	1	ZNF395	
GATAD2B	1	GATAD2B	
AMIGO1	1	AMIGO1	
AIP	1	AIP	
MNT	1	MNT	
DPAGT1	1	DPAGT1	
EPHB2	1	EPHB2	
DDX55	1	DDX55	
PPP2R3A	1	PPP2R3A	
EMD	1	EMD	
ZNF512B	1	ZNF512B	
ZBTB47	1	ZBTB47	
FCHO1	1	FCHO1	
RNASEH2C	1	RNASEH2C	
PCF11	1	PCF11	
RASSF8-AS1	1	RASSF8-AS1	
TMEM129	1	TMEM129	
TLE2	1	TLE2	
NTHL1	1	NTHL1	
C1orf216	1	C1orf216	
GPR26	1	GPR26	
GABRA2	1	GABRA2	
KCNC1	1	KCNC1	
CFAP43	1	CFAP43	
SGK3	1	SGK3	
PDYN	1	PDYN	
NR5A1	1	NR5A1	
PABPC1L2B	1	PABPC1L2B	
SARS2	1	SARS2	
ZNFX1	1	ZNFX1	
DENND4A	1	DENND4A	
TUG1	1	TUG1	
FAM133B	1	FAM133B	
DDHD1	1	DDHD1	
ZZEF1	1	ZZEF1	
GALNT2	1	GALNT2	
BPHL	1	BPHL	
LBHD2	1	LBHD2	
FAM110C	1	FAM110C	
ZFP41	1	ZFP41	
TIMM17B	1	TIMM17B	
ARL14EP	1	ARL14EP	
ZNF431	1	ZNF431	
RPS6KA4	1	RPS6KA4	
VCAM1	1	VCAM1	
RRP1B	1	RRP1B	
LGI4	1	LGI4	
SWAP70	1	SWAP70	
DYRK4	1	DYRK4	
KMT5A	1	KMT5A	
C14orf132	1	C14orf132	
DENND4B	1	DENND4B	
