samp	raw_mean_tot	raw_med_tot	raw_sd_tot	raw_mean_gene	raw_med_gene	raw_sd_gene	raw_ncells	filt_mean_tot	filt_med_tot	filt_sd_tot	filt_mean_gene	filt_med_gene	filt_sd_gene	filt_ncells	fin_mean_tot	fin_med_tot	fin_sd_tot	fin_mean_gene	fin_med_gene	fin_sd_gene	fin_ncells
X86_reg1	449.4179173027	389	284.053703817684	448.095854327378	388	283.298911717963	74029	456.62378313824	397	284.018531982826	455.325681512045	396	283.232819903499	72009	457.63092666123	397	285.459029367427	456.345512670808	396	284.681287814006	68504
X86_reg2	333.195979070038	269	243.262461696314	332.162108182166	268	242.748957639053	60583	341.64261952122	277	243.737024680833	340.64634062693	276	243.177900198888	58316	334.056885731636	269	243.594975436033	333.064081565037	268	243.02530482768	54337
X86_reg3	416.072998519538	346	283.333519267169	414.764871123267	345	282.691954846245	52686	427.694099409745	359	283.998161317935	426.431027287011	357	283.301338471677	50317	417.786172796661	346	285.67316196201	416.534741498968	345	284.96541001838	46112
X97_reg1	432.758524968165	364	295.063055738818	431.437094229705	363	294.3269211021	65924	443.424052333044	376	295.588373901118	442.14219349944	374	294.803913845726	63287	444.29016855734	376	295.882276689228	443.003877459437	375	295.096826394322	62412
X97_reg2	378.852438839673	320	256.517623547377	377.652578959318	318.5	255.867669789227	52812	387.731313011983	330	257.039525330225	386.57228654695	329	256.341969519511	50784	388.436503650354	330	257.605893952776	387.272547254737	329	256.906350544662	49995
X97_reg3	418.653819070911	366	257.974844289329	416.982777506112	364	257.103444116481	102250	429.48309788351	378	258.160351598125	427.86275173638	376	257.230500818356	97473	430.499310445705	378	258.749193781972	428.875357836895	377	257.816433322187	95714
X36_5459A	344.319724678731	296	217.250308541039	342.510374631539	294	216.46447152239	69882	355.373516410293	308	217.41523061393	353.629511323704	306	216.554115825764	66056	335.222757331805	290	207.476760171128	333.627947096046	288	206.734461002987	55648
X36_5459B	338.596223314587	293	208.744975777176	336.615460894458	291	207.945278916696	70591	349.664394257908	305	208.808167831025	347.760345966721	303	207.924109339711	66596	331.195359603788	287	199.805139255937	329.368575940282	285.5	198.9532115354	55728
X36_8667C	261.695773289755	213	200.718783949179	260.216625595999	211.5	200.148757710424	74668	270.039007993692	221	202.293482158132	268.636570347123	220	201.658857393889	70806	269.690763628003	221	201.461963573969	268.290181515818	220	200.834341127322	69746
X99_1225A	373.965394161961	313	253.791415455384	372.535405854489	312	253.066664217841	97498	385.065120043176	325	254.597162879463	383.690973833281	324	253.810273402912	92675	385.243734820333	325	254.854105870436	383.867878497442	324	254.066809980939	91817
X99_1225B	330.785098716205	273	233.259220386784	329.395193664642	272	232.527247598426	72987	341.804338394776	285	234.071561700749	340.467635574855	284	233.273539005564	69150	342.578117865414	285	234.901506374559	341.236157959071	284	234.100777501485	67891
X99_8741C	328.781153515604	284	208.642079299313	327.416621574335	282	207.924486466421	62834	337.183602078895	292	208.910251067089	335.863955890174	291	208.140412564697	60032	317.734240396368	278	193.576142125938	316.453950530585	277	192.808258214018	54094
X99_8741D	332.986547646708	279	224.969696384431	331.604890789059	278	224.154681460025	55901	342.031347786197	288	225.461947320632	340.692087166705	287	224.595211634454	53369	317.977840324324	270	208.905203590433	316.699153521367	269	208.051572283065	47609
