gene_symbol	xenium_gene	disorders	tested_tf	xpr_vVMH	xpr_vVMH_M	xpr_vVMH_F	xpr_vARC	xpr_vARC_M	xpr_vARC_F	vARC_sexDE_fdrsig	vVMH_sexDE_fdrsig	vARC_sexDE_nomsig	vVMH_sexDE_nomsig	xARC_sexDE_FDRpt1clusts	xVMH_sexDE_FDRpt1clusts
MIR1302-2HG	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL627309.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL627309.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL627309.5	No		NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO
AP006222.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL732372.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC114498.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL669831.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC01409	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
FAM87B	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC01128	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
LINC00115	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
FAM41C	No		NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
AL645608.6	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL645608.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL645608.4	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC02593	No		NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO
SAMD11	No	BMI, ASD	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
NOC2L	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
KLHL17	No	BIP, MDD	NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
PLEKHN1	No	SCZ, BIP	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PERM1	No	MDD, SCZ, BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AL645608.7	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
HES4	No		YES	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ISG15	No	MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
AL645608.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AGRN	No	AD	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	YES	NO	NO
RNF223	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
C1orf159	No	BMI, AD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
LINC01342	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TTLL10-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TTLL10	No	SCZ, BIP, MDD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TNFRSF18	No	BIP	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TNFRSF4	No	MDD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SDF4	No	BMI, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
B3GALT6	No	MDD, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
C1QTNF12	No	BIP, SCZ	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
AL162741.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
UBE2J2	No	BIP, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
LINC01786	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SCNN1D	No	BIP, BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ACAP3	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
PUSL1	No	ADHD	NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
INTS11	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL139287.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CPTP	No	BIP	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
TAS1R3	No	AUD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
DVL1	No	BIP	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
MXRA8	No	ADHD	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
AURKAIP1	No	BMI, BIP	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CCNL2	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
MRPL20-AS1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
MRPL20	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL391244.2	No		NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
ANKRD65	No	BIP	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	YES	NO	NO
AL391244.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TMEM88B	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC01770	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
VWA1	No	ADHD	NO	YES	YES	YES	YES	YES	YES	YES	NO	YES	NO	NO	NO
ATAD3C	No	SCZ, BIP	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
ATAD3B	No	BIP	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ATAD3A	No	NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
TMEM240	No	NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SSU72	No	BMI, BIP	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL645728.1	No		NO	NO	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO
FNDC10	No	SCZ, BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL691432.4	No		NO	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
AL691432.2	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
MIB2	No	BMI, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
MMP23B	No	SCZ, BMI, MDD, BIP	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
CDK11B	No	BMI, BIP	NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
FO704657.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SLC35E2B	No	BMI, SCZ, BIP	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CDK11A	No	BMI	NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SLC35E2A	No	BIP, MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
NADK	No	BMI, SCZ, MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
GNB1	No	BMI, NDD, MDD, GAD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL109917.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CALML6	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TMEM52	No	BMI	NO	NO	NO	YES	NO	NO	YES	NO	NO	NO	NO	NO	NO
CFAP74	No	BMI, SCZ	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
AL391845.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GABRD	No	BMI, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
AL391845.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PRKCZ	No	BMI, SCZ, BIP	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
AL590822.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PRKCZ-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
