NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
ONECUT3	1	ONECUT3	
FOXG1	1	FOXG1	
LHX6	1	LHX6	
EGFL6	1	EGFL6	
ONECUT2	1	ONECUT2	
HCRT	1	HCRT	
LHX8	1	LHX8	
TRH	1	TRH	
SIM1	1	SIM1	
ZIC2	1	ZIC2	
ZIC3	1	ZIC3	
ARX	1	ARX	
ZIC5	1	ZIC5	
LINC01608	1	LINC01608	
MBP	1	MBP	
LINC01235	1	LINC01235	
GABRA1	1	GABRA1	
GAN	1	GAN	
CBLN2	1	CBLN2	
OTOF	1	OTOF	
MOBP	1	MOBP	
CTXN3	1	CTXN3	
LINC01445	1	LINC01445	
TFR2	1	TFR2	
SHD	1	SHD	
TMEM235	1	TMEM235	
CACNA1G	1	CACNA1G	
PCP4L1	1	PCP4L1	
GPR12	1	GPR12	
BCAS1	1	BCAS1	
SLC6A7	1	SLC6A7	
ZMAT4	1	ZMAT4	
INSYN1-AS1	1	INSYN1-AS1	
SLC13A5	1	SLC13A5	
APLF	1	APLF	
KIRREL1	1	KIRREL1	
LINC01551	1	LINC01551	
GPIHBP1	1	GPIHBP1	
SLC17A8	1	SLC17A8	
MT-ND6	1	MT-ND6	
TAC3	1	TAC3	
KCNN1	1	KCNN1	
SLCO1A2	1	SLCO1A2	
NRN1	1	NRN1	
SLC14A1	1	SLC14A1	
BTBD16	1	BTBD16	
SYT2	1	SYT2	
IRX1	1	IRX1	
OPALIN	1	OPALIN	
MIR124-2HG	1	MIR124-2HG	
CHI3L1	1	CHI3L1	
SFRP1	1	SFRP1	
CNTN5	1	CNTN5	
LINC00836	1	LINC00836	
LINC01497	1	LINC01497	
DDC	1	DDC	
CCNE2	1	CCNE2	
PRR5L	1	PRR5L	
SEC14L5	1	SEC14L5	
CRABP1	1	CRABP1	
ELFN2	1	ELFN2	
GPR17	1	GPR17	
INSM2	1	INSM2	
NKX6-2	1	NKX6-2	
CCNO	1	CCNO	
SEMA3B-AS1	1	SEMA3B-AS1	
SERPINA3	1	SERPINA3	
TAF4	1	TAF4	
MIR193BHG	1	MIR193BHG	
NXPH4	1	NXPH4	
FOXB1	1	FOXB1	
GREM1	1	GREM1	
PDE1C	1	PDE1C	
KANK4	1	KANK4	
ARHGAP5-AS1	1	ARHGAP5-AS1	
ERMN	1	ERMN	
S100A1	1	S100A1	
LYPD6B	1	LYPD6B	
ZNF385D	1	ZNF385D	
GAD2	1	GAD2	
ANKRD18A	1	ANKRD18A	
BCL11A	1	BCL11A	
SHC4	1	SHC4	
NPFFR1	1	NPFFR1	
FSIP1	1	FSIP1	
ZEB2	1	ZEB2	
PRIM1	1	PRIM1	
ADORA2B	1	ADORA2B	
MYBPC1	1	MYBPC1	
DPH6-DT	1	DPH6-DT	
ZNF182	1	ZNF182	
MPPED1	1	MPPED1	
LINC00299	1	LINC00299	
PYDC1	1	PYDC1	
