NAME	TITLE	SCORE	
EDN3	endothelin 3 [Source:HGNC Symbol;Acc:HGNC:3178]	3.5245268	
WIF1	WNT inhibitory factor 1 [Source:HGNC Symbol;Acc:HGNC:18081]	3.3711402	
CRYM	crystallin mu [Source:HGNC Symbol;Acc:HGNC:2418]	3.3274548	
RAX	retina and anterior neural fold homeobox [Source:HGNC Symbol;Acc:HGNC:18662]	3.1738112	
PLVAP	plasmalemma vesicle associated protein [Source:HGNC Symbol;Acc:HGNC:13635]	3.1210783	
MGP	matrix Gla protein [Source:HGNC Symbol;Acc:HGNC:7060]	3.038015	
FRZB	frizzled related protein [Source:HGNC Symbol;Acc:HGNC:3959]	2.958528	
SPAG6	sperm associated antigen 6 [Source:HGNC Symbol;Acc:HGNC:11215]	2.8507655	
CYSLTR2	cysteinyl leukotriene receptor 2 [Source:HGNC Symbol;Acc:HGNC:18274]	2.8490963	
CRLF1	cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]	2.807708	
SFTA3	surfactant associated 3 [Source:HGNC Symbol;Acc:HGNC:18387]	2.7880373	
HOATZ	HOATZ cilia and flagella associated protein [Source:HGNC Symbol;Acc:HGNC:25061]	2.7332056	
IGFBP6	insulin like growth factor binding protein 6 [Source:HGNC Symbol;Acc:HGNC:5475]	2.7169893	
TBX3	T-box transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11602]	2.7012734	
IGFBP2	insulin like growth factor binding protein 2 [Source:HGNC Symbol;Acc:HGNC:5471]	2.6849558	
SLCO2A1	solute carrier organic anion transporter family member 2A1 [Source:HGNC Symbol;Acc:HGNC:10955]	2.6697278	
COL1A2	collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]	2.6224406	
TRDN	triadin [Source:HGNC Symbol;Acc:HGNC:12261]	2.6217744	
SPATA18	spermatogenesis associated 18 [Source:HGNC Symbol;Acc:HGNC:29579]	2.6008623	
MOXD1	monooxygenase DBH like 1 [Source:HGNC Symbol;Acc:HGNC:21063]	2.591216	
TBX2	T-box transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:11597]	2.5884254	
DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	2.5799084	
CCL14	C-C motif chemokine ligand 14 [Source:HGNC Symbol;Acc:HGNC:10612]	2.5341234	
MMRN1	multimerin 1 [Source:HGNC Symbol;Acc:HGNC:7178]	2.5101526	
NGFR	nerve growth factor receptor [Source:HGNC Symbol;Acc:HGNC:7809]	2.4744754	
VIM	vimentin [Source:HGNC Symbol;Acc:HGNC:12692]	2.468591	
OGN	osteoglycin [Source:HGNC Symbol;Acc:HGNC:8126]	2.431035	
ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	2.4250917	
OAF	out at first homolog [Source:HGNC Symbol;Acc:HGNC:28752]	2.4250374	
ANGPTL1	angiopoietin like 1 [Source:HGNC Symbol;Acc:HGNC:489]	2.3779643	
FAM20A	FAM20A golgi associated secretory pathway pseudokinase [Source:HGNC Symbol;Acc:HGNC:23015]	2.3330426	
SLC16A4	solute carrier family 16 member 4 [Source:HGNC Symbol;Acc:HGNC:10925]	2.3267136	
PAPLN	papilin, proteoglycan like sulfated glycoprotein [Source:HGNC Symbol;Acc:HGNC:19262]	2.3139706	
SGMS2	sphingomyelin synthase 2 [Source:HGNC Symbol;Acc:HGNC:28395]	2.2895155	
ADGRV1	adhesion G protein-coupled receptor V1 [Source:HGNC Symbol;Acc:HGNC:17416]	2.248926	
LTBP2	latent transforming growth factor beta binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6715]	2.246779	
ISLR	immunoglobulin superfamily containing leucine rich repeat [Source:HGNC Symbol;Acc:HGNC:6133]	2.2419448	
NXPH3	neurexophilin 3 [Source:HGNC Symbol;Acc:HGNC:8077]	2.2073414	
AGTR1	angiotensin II receptor type 1 [Source:HGNC Symbol;Acc:HGNC:336]	2.2048686	
CFAP161	cilia and flagella associated protein 161 [Source:HGNC Symbol;Acc:HGNC:26782]	2.1983054	
TEKT1	tektin 1 [Source:HGNC Symbol;Acc:HGNC:15534]	2.1982033	
LUM	lumican [Source:HGNC Symbol;Acc:HGNC:6724]	2.17479	
WDR38	WD repeat domain 38 [Source:HGNC Symbol;Acc:HGNC:23745]	2.1682625	
CFAP73	cilia and flagella associated protein 73 [Source:HGNC Symbol;Acc:HGNC:37100]	2.1634398	
C7	complement C7 [Source:HGNC Symbol;Acc:HGNC:1346]	2.1304796	
PODN	podocan [Source:HGNC Symbol;Acc:HGNC:23174]	2.110457	
COL3A1	collagen type III alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2201]	2.1087885	
CD93	CD93 molecule [Source:HGNC Symbol;Acc:HGNC:15855]	2.1060247	
SLC27A6	solute carrier family 27 member 6 [Source:HGNC Symbol;Acc:HGNC:11000]	2.1036298	
IRF6	interferon regulatory factor 6 [Source:HGNC Symbol;Acc:HGNC:6121]	2.0959542	
CALCRL	calcitonin receptor like receptor [Source:HGNC Symbol;Acc:HGNC:16709]	2.0915139	
PALMD	palmdelphin [Source:HGNC Symbol;Acc:HGNC:15846]	2.0786824	
SOD3	superoxide dismutase 3 [Source:HGNC Symbol;Acc:HGNC:11181]	2.0766156	
FOLR1	folate receptor alpha [Source:HGNC Symbol;Acc:HGNC:3791]	2.0754876	
TRBC2	T cell receptor beta constant 2 [Source:HGNC Symbol;Acc:HGNC:12157]	2.0693429	
COL6A2	collagen type VI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2212]	2.064551	
MAP3K19	mitogen-activated protein kinase kinase kinase 19 [Source:HGNC Symbol;Acc:HGNC:26249]	2.0581322	
