NAME	TITLE	SCORE	
TAC3	tachykinin precursor 3 [Source:HGNC Symbol;Acc:HGNC:11521]	1.8653984	
ZNF713	zinc finger protein 713 [Source:HGNC Symbol;Acc:HGNC:22043]	1.6663057	
TAFA4	TAFA chemokine like family member 4 [Source:HGNC Symbol;Acc:HGNC:21591]	1.6413865	
C2orf66	chromosome 2 open reading frame 66 [Source:HGNC Symbol;Acc:HGNC:33809]	1.5440916	
INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	1.4905456	
ANKRD18A	ankyrin repeat domain 18A [Source:HGNC Symbol;Acc:HGNC:23643]	1.4491735	
KANSL1-AS1	KANSL1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43740]	1.436897	
TTN-AS1	TTN antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44124]	1.3403462	
TBX3	T-box transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11602]	1.3311483	
C2CD6	C2 calcium dependent domain containing 6 [Source:HGNC Symbol;Acc:HGNC:14438]	1.3204957	
PTH2R	parathyroid hormone 2 receptor [Source:HGNC Symbol;Acc:HGNC:9609]	1.3154241	
DRAIC	downregulated RNA in cancer, inhibitor of cell invasion and migration [Source:HGNC Symbol;Acc:HGNC:27082]	1.3113334	
ZNF519	zinc finger protein 519 [Source:HGNC Symbol;Acc:HGNC:30574]	1.2993889	
ZNF354B	zinc finger protein 354B [Source:HGNC Symbol;Acc:HGNC:17197]	1.2938554	
ALG11	ALG11 alpha-1,2-mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:32456]	1.2812248	
MEMO1	mediator of cell motility 1 [Source:HGNC Symbol;Acc:HGNC:14014]	1.277713	
ALG1L1P	ALG1 like 1, pseudogene [Source:HGNC Symbol;Acc:HGNC:33721]	1.2712699	
C5orf64	chromosome 5 putative open reading frame 64 [Source:HGNC Symbol;Acc:HGNC:26744]	1.2591411	
TRMT12	tRNA methyltransferase 12 homolog [Source:HGNC Symbol;Acc:HGNC:26091]	1.2550918	
MYZAP	myocardial zonula adherens protein [Source:HGNC Symbol;Acc:HGNC:43444]	1.2527112	
PTPRS	protein tyrosine phosphatase receptor type S [Source:HGNC Symbol;Acc:HGNC:9681]	1.2302122	
ZNF891	zinc finger protein 891 [Source:HGNC Symbol;Acc:HGNC:38709]	1.218364	
MYOZ3	myozenin 3 [Source:HGNC Symbol;Acc:HGNC:18565]	1.1939117	
VARS2	valyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21642]	1.1768894	
ZNF230	zinc finger protein 230 [Source:HGNC Symbol;Acc:HGNC:13024]	1.1659709	
AGBL4	AGBL carboxypeptidase 4 [Source:HGNC Symbol;Acc:HGNC:25892]	1.1636182	
LMCD1-AS1	LMCD1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44477]	1.1287994	
NEU3	neuraminidase 3 [Source:HGNC Symbol;Acc:HGNC:7760]	1.1239681	
SMOC1	SPARC related modular calcium binding 1 [Source:HGNC Symbol;Acc:HGNC:20318]	1.1155401	
DACH1	dachshund family transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:2663]	1.0975465	
ESYT3	extended synaptotagmin 3 [Source:HGNC Symbol;Acc:HGNC:24295]	1.0919691	
KIF27	kinesin family member 27 [Source:HGNC Symbol;Acc:HGNC:18632]	1.0865206	
ACSM5	acyl-CoA synthetase medium chain family member 5 [Source:HGNC Symbol;Acc:HGNC:26060]	1.0852042	
RPRML	reprimo like [Source:HGNC Symbol;Acc:HGNC:32422]	1.0785102	
