gene	cluster_set	cluster
TBX3	hvg10_SNNk5	1
GLRA2	hvg10_SNNk5	1
GABRE	hvg10_SNNk5	1
AGRP	hvg10_SNNk5	1
OTP	hvg10_SNNk5	2
PCSK1	hvg10_SNNk5	2
SCGN	hvg10_SNNk5	2
TH	hvg10_SNNk5	2
GAL	hvg10_SNNk5	2
VSNL1	hvg10_SNNk5	3
SCN2A	hvg10_SNNk5	3
GAD1	hvg10_SNNk5	3
GABRA1	hvg10_SNNk5	3
GABRG2	hvg10_SNNk5	3
AUXG01000058.1	hvg10_SNNk5	3
GAD2	hvg10_SNNk5	3
SYNGR3	hvg10_SNNk5	3
DIRAS3	hvg10_SNNk5	3
SNCB	hvg10_SNNk5	3
NEFL	hvg10_SNNk5	3
INA	hvg10_SNNk5	3
SYT1	hvg10_SNNk5	3
GNG2	hvg10_SNNk5	3
CHGA	hvg10_SNNk5	3
GPRASP2	hvg10_SNNk5	3
CALB2	hvg10_SNNk5	3
SLC12A5	hvg10_SNNk5	3
SEZ6L	hvg10_SNNk5	3
PRKAR1B	hvg10_SNNk5	3
SYT13	hvg10_SNNk5	3
CELF4	hvg10_SNNk5	3
TMEM35A	hvg10_SNNk5	3
CD200	hvg10_SNNk5	3
NSG1	hvg10_SNNk5	3
GUCY1B1	hvg10_SNNk5	3
TSPYL4	hvg10_SNNk5	3
CALB1	hvg10_SNNk5	3
SYT4	hvg10_SNNk5	3
SYN2	hvg10_SNNk5	3
UBE2QL1	hvg10_SNNk5	3
MLLT11	hvg10_SNNk5	3
SLIT1	hvg10_SNNk5	3
CELF5	hvg10_SNNk5	3
SLC8A1	hvg10_SNNk5	3
INPP5F	hvg10_SNNk5	3
BASP1	hvg10_SNNk5	3
DNM1	hvg10_SNNk5	3
CDK5R1	hvg10_SNNk5	3
NSF	hvg10_SNNk5	3
NNAT	hvg10_SNNk5	3
VSTM2L	hvg10_SNNk5	3
L1CAM	hvg10_SNNk5	3
PTPRN	hvg10_SNNk5	3
VSTM2A	hvg10_SNNk5	3
PNMA8A	hvg10_SNNk5	3
NAP1L3	hvg10_SNNk5	3
TAGLN3	hvg10_SNNk5	3
GRIN1	hvg10_SNNk5	3
RAB3C	hvg10_SNNk5	3
LONRF2	hvg10_SNNk5	3
NSG2	hvg10_SNNk5	3
HPRT1	hvg10_SNNk5	3
CLSTN3	hvg10_SNNk5	3
SULT4A1	hvg10_SNNk5	3
SYN1	hvg10_SNNk5	3
NECAP1	hvg10_SNNk5	3
NAP1L2	hvg10_SNNk5	3
ZCCHC12	hvg10_SNNk5	3
PNCK	hvg10_SNNk5	3
GABBR2	hvg10_SNNk5	3
PNMA8B	hvg10_SNNk5	3
TMEM130	hvg10_SNNk5	3
CHGB	hvg10_SNNk5	3
GPRASP1	hvg10_SNNk5	3
ATCAY	hvg10_SNNk5	3
SNAP91	hvg10_SNNk5	3
STXBP1	hvg10_SNNk5	3
MOAP1	hvg10_SNNk5	3
EEF1A2	hvg10_SNNk5	3
SV2A	hvg10_SNNk5	3
MEG3	hvg10_SNNk5	3
HPCAL1	hvg10_SNNk5	3
CAMK2N2	hvg10_SNNk5	3
SYP	hvg10_SNNk5	3
PAK3	hvg10_SNNk5	3
NAP1L5	hvg10_SNNk5	3
ACHE	hvg10_SNNk5	3
NAPB	hvg10_SNNk5	3
RAB3A	hvg10_SNNk5	3
TSPYL2	hvg10_SNNk5	3
ATP1A3	hvg10_SNNk5	3
BEX5	hvg10_SNNk5	3
AMPH	hvg10_SNNk5	3
BAIAP3	hvg10_SNNk5	3
SPINT2	hvg10_SNNk5	3
GNG3	hvg10_SNNk5	3
SCN3B	hvg10_SNNk5	3
NCDN	hvg10_SNNk5	3
GOT1	hvg10_SNNk5	3
NRXN1	hvg10_SNNk5	3
PNMA2	hvg10_SNNk5	3
VAT1L	hvg10_SNNk5	3
NPTN	hvg10_SNNk5	3
SNCG	hvg10_SNNk5	3
TUBA4A	hvg10_SNNk5	3
BLCAP	hvg10_SNNk5	3
WIF1	hvg10_SNNk5	4
ANKRD34B	hvg10_SNNk5	5
FEZF1	hvg10_SNNk5	5
SLC17A6	hvg10_SNNk5	5
NRGN	hvg10_SNNk5	5
RBFOX1	hvg10_SNNk5	5
CDH13	hvg10_SNNk5	5
ADCYAP1	hvg10_SNNk5	5
