gene_id	gene_name	V12D07-075_D1	V12D07-075_A1	V12Y31-080_A1	V12D05-348_D1	V12D05-350_D1	V13M13-362_D1	V12D05-348_C1	V12D05-350_C1	V13Y24-346_C1	nsigsamps	meanrank
ENSG00000001036	FUCA2	145									1	145
ENSG00000001561	ENPP4				838	1003					2	920.5
ENSG00000001630	CYP51A1					490					1	490
ENSG00000002746	HECW1	467									1	467
ENSG00000002822	MAD1L1					1108					1	1108
ENSG00000002933	TMEM176A					1039					1	1039
ENSG00000004468	CD38						796				1	796
ENSG00000004478	FKBP4						952				1	952
ENSG00000004700	RECQL							589			1	589
ENSG00000004766	VPS50		797								1	797
ENSG00000004779	NDUFAB1				830						1	830
ENSG00000004838	ZMYND10				905		227				2	566
ENSG00000004866	ST7							707		113	2	410
ENSG00000004948	CALCR	279		581			20				3	293.333333333333
ENSG00000005075	POLR2J						890				1	890
ENSG00000005238	FAM214B					1179					1	1179
ENSG00000005249	PRKAR2B				390						1	390
ENSG00000005486	RHBDD2	287		368		356	301	271			5	316.6
ENSG00000005513	SOX8					359					1	359
ENSG00000005884	ITGA3								474		1	474
ENSG00000005893	LAMP2								238		1	238
ENSG00000006016	CRLF1								69		1	69
ENSG00000006042	TMEM98					993					1	993
ENSG00000006118	TMEM132A							107			1	107
ENSG00000006128	TAC1	40	55	115	69	69	66	17	26	64	9	57.8888888888889
ENSG00000006210	CX3CL1							360			1	360
ENSG00000006327	TNFRSF12A		604								1	604
ENSG00000006715	VPS41				447						1	447
ENSG00000006740	ARHGAP44		919								1	919
ENSG00000006831	ADIPOR2		868								1	868
ENSG00000007168	PAFAH1B1					850	226				2	538
ENSG00000007174	DNAH9				471						1	471
ENSG00000007402	CACNA2D2					922		619			2	770.5
ENSG00000007516	BAIAP3			101	233		169	261	264		5	205.6
ENSG00000007520	TSR3	329									1	329
ENSG00000008018	PSMB1						863				1	863
ENSG00000008056	SYN1	81	633				597				3	437
ENSG00000008086	CDKL5				773						1	773
ENSG00000008118	CAMK1G			120	939	137		775	60		5	406.2
ENSG00000008128	CDK11A		677								1	677
ENSG00000008277	ADAM22				815						1	815
ENSG00000008283	CYB561					641					1	641
ENSG00000008300	CELSR3					493					1	493
ENSG00000008324	SS18L2						876				1	876
ENSG00000008441	NFIX					976					1	976
ENSG00000008517	IL32		322								1	322
ENSG00000008710	PKD1						549				1	549
ENSG00000008952	SEC62			626			283				2	454.5
ENSG00000008988	RPS20			686	183		1007				3	625.333333333333
ENSG00000010270	STARD3NL			475	648						2	561.5
ENSG00000010278	CD9					833					1	833
ENSG00000010322	NISCH			509							1	509
ENSG00000010361	FUZ					503					1	503
ENSG00000010404	IDS			513	703	184		251	144	367	6	360.333333333333
ENSG00000010539	ZNF200		424								1	424
ENSG00000010626	LRRC23						372				1	372
ENSG00000011007	ELOA					1151					1	1151
ENSG00000011021	CLCN6					847					1	847
ENSG00000011132	APBA3								337		1	337
ENSG00000011201	ANOS1				168		286				2	227
ENSG00000011295	TTC19				1115					165	2	640
ENSG00000011332	DPF1		825								1	825
ENSG00000011454	RABGAP1	219									1	219
ENSG00000011465	DCN		335		80	409				88	4	228
ENSG00000011485	PPP5C	113			1019				204		3	445.333333333333
ENSG00000012232	EXTL3		810								1	810
ENSG00000012822	CALCOCO1	347									1	347
ENSG00000013016	EHD3									319	1	319
ENSG00000013275	PSMC4						761				1	761
ENSG00000013293	SLC7A14						409				1	409
ENSG00000013297	CLDN11						785		403	258	3	482
ENSG00000013364	MVP						136				1	136
ENSG00000013375	PGM3		566								1	566
ENSG00000013392	RWDD2A			461							1	461
ENSG00000013619	MAMLD1				1067			339			2	703
ENSG00000014123	UFL1			688						221	2	454.5
ENSG00000014641	MDH1	260		169	203	734			377		5	348.6
ENSG00000015171	ZMYND11							676			1	676
ENSG00000015592	STMN4	173		750	687						3	536.666666666667
ENSG00000015676	NUDCD3					728					1	728
ENSG00000016082	ISL1				1143						1	1143
ENSG00000018189	RUFY3			389	641						2	515
ENSG00000018236	CNTN1					227					1	227
ENSG00000018625	ATP1A2			104	313	120	655			296	5	297.6
ENSG00000019485	PRDM11						811				1	811
ENSG00000019505	SYT13		856		581						2	718.5
ENSG00000019582	CD74	93		262							2	177.5
ENSG00000020129	NCDN	334		608		863	1035	474	93		6	567.833333333333
ENSG00000020426	MNAT1								322		1	322
ENSG00000020577	SAMD4A					1185					1	1185
ENSG00000020922	MRE11						492				1	492
ENSG00000021300	PLEKHB1			532			572				2	552
ENSG00000021355	SERPINB1					661					1	661
ENSG00000022267	FHL1	364			1042						2	703
ENSG00000022355	GABRA1		93		149	183	1036	458			5	383.8
ENSG00000022567	SLC45A4			617							1	617
ENSG00000023041	ZDHHC6			676							1	676
ENSG00000023318	ERP44								309		1	309
ENSG00000023516	AKAP11					985		305			2	645
ENSG00000023572	GLRX2		662								1	662
ENSG00000023608	SNAPC1		418		636						2	527
ENSG00000025772	TOMM34					948			500		2	724
ENSG00000026025	VIM			454	124	383	960	100	45		6	344.333333333333
ENSG00000026297	RNASET2				473						1	473
ENSG00000026508	CD44			132		1029			130		3	430.333333333333
ENSG00000026652	AGPAT4				1158						1	1158
ENSG00000028203	VEZT	263									1	263
ENSG00000028310	BRD9							448			1	448
