Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to13,Feature log2 fold change topic 3to13
ENSG00000228794,LINC01128,5,-2.2789,28,0.34155,23,0.52198
ENSG00000187634,SAMD11,17,-0.6505,15,-0.8245,29,0.78661
ENSG00000188976,NOC2L,54,0.25945,55,0.27750,44,-0.2955
ENSG00000188290,HES4,129,-0.4056,445,1.61979,146,-0.9733
ENSG00000187608,ISG15,32,-1.6420,311,1.97289,83,-1.0427
ENSG00000188157,AGRN,24,0.57059,28,0.81042,15,-0.7777
ENSG00000078808,SDF4,120,-0.0551,201,0.75849,118,-0.4396
ENSG00000176022,B3GALT6,6,-3.0576,34,-0.5812,56,1.44327
ENSG00000160087,UBE2J2,45,-0.3669,93,0.75513,55,-0.3105
ENSG00000131584,ACAP3,51,-0.3147,66,0.08997,63,0.10906
ENSG00000127054,INTS11,80,0.36421,102,0.75035,59,-0.6319
ENSG00000107404,DVL1,45,-0.0698,48,0.02073,47,0.02612
ENSG00000162576,MXRA8,69,1.42217,148,2.93299,14,-2.8746
ENSG00000175756,AURKAIP1,211,0.41735,207,0.38668,153,-0.4448
ENSG00000221978,CCNL2,25,-1.6054,198,1.64490,66,-0.7436
ENSG00000242485,MRPL20,109,-0.9248,223,0.17263,206,0.30991
ENSG00000235098,ANKRD65,1,-3.5504,10,-1.0923,23,1.95897
ENSG00000179403,VWA1,66,0.59741,133,1.79946,35,-1.4819
ENSG00000160072,ATAD3B,17,0.06264,52,1.89953,13,-1.3535
ENSG00000197785,ATAD3A,21,0.15651,32,0.85162,17,-0.5971
ENSG00000205090,TMEM240,5,-2.3054,22,-0.1055,26,0.90573
ENSG00000160075,SSU72,206,-0.0035,236,0.21202,204,-0.1177
ENSG00000228594,FNDC10,17,-2.3733,34,-1.3813,97,1.88794
ENSG00000272106,AL691432.2,24,-0.8200,45,0.15150,42,0.28571
ENSG00000197530,MIB2,48,-0.2179,67,0.31185,54,-0.0735
ENSG00000189339,SLC35E2B,4,-1.8816,6,-1.4392,18,1.73094
ENSG00000215790,SLC35E2A,14,-0.8778,12,-1.0689,28,1.03335
ENSG00000008130,NADK,12,-1.4197,54,0.80736,32,-0.0399
ENSG00000078369,GNB1,236,-0.6796,246,-0.6133,390,0.69277
ENSG00000067606,PRKCZ,43,-1.8174,53,-1.5122,161,1.74408
