,ADARB1,ALKAL2,SHISAL2B,CRH,DCC,IL18R1,PROKR1,RDH10,RXRG,SHANK3,SSTR2,VGF,HRH1,LYPD6,C2orf80
cluster 1 -- astrocytes,0.38,1,1,0,0,0.98,0,1,0,0,1,0.49,1,0.95,0.16
cluster 2 -- likely more than one cell types,0,0.82,0.12,0,0,1,0.01,1,0,1,0.01,0.57,1,0.46,0
cluster 3 -- myelinating oligodendrocytes,0.26,0.98,1,0,0.87,0.79,0.02,1,0.06,0.84,0.34,0.64,1,0.85,0.3
cluster 4 -- microglia,0,1,1,0,0.01,1,0.1,1,0,0.52,0.32,0.62,0.95,0.11,0
cluster 5 -- ,0,0.18,0.55,0.24,0,0.89,0.77,1,0.05,0.92,0.53,0.45,1,0.02,0.46
cluster 6 -- oligodendrocyte precursor,0.61,0.96,1,0,0.01,1,0.03,1,0,0,0.74,1,1,0,0
cluster 7 -- immune related,0,0.94,0.94,0.03,0,0.99,0.1,1,0,1,0.01,0.24,0.95,0.01,0
cluster 8 -- epithelial cells,0.01,0.69,0.22,0.02,0,1,0.21,0.95,0.11,0.02,1,0.57,0.88,0.01,0.06
cluster 9 -- astrocytes,0.24,1,0.23,0.36,0.06,1,0.18,1,0,1,1,0.09,1,0.74,0.09
cluster 10 -- excitatory neurons,0.01,1,0.01,0,0,0.75,0.05,1,0,0.72,0.51,0.29,1,0.02,0
cluster 11 -- ,0.36,1,0.33,0.04,0.08,1,0.65,1,0.01,1,1,0.46,1,0.3,0.04
cluster 12 -- POMC neuronal cells,0,1,1,0,0,1,0,1,0,1,0,1,1,0.01,0
cluster 13 -- non-myelinating matureish(?) oligodendrocytes,0.28,0.24,0.27,0.01,0.04,0.03,0.5,0.75,0.01,0.04,0.83,0.02,0.83,0.07,0.89
cluster 14 -- epithelial cells,0.05,1,0.79,0.01,0.16,0.63,0.41,1,0,0.87,1,0.97,1,0.84,0
cluster 15 -- ,0,1,1,1,0,1,0,1,0,1,0.96,1,0.87,0,0
cluster 16 -- ,0,1,1,0,0,0.71,0,1,0,0.94,0,1,1,0.08,0
cluster 17 -- T cells,0.83,0.93,0.16,0.01,0.03,0.98,0,0.99,0,0.94,0.09,0.13,0,0.28,0.01
cluster 18 -- AVP neurons,0.24,NA,NA,0.83,0.97,NA,NA,0.99,0.96,0.41,0.2,0.92,NA,NA,0.93
cluster 19 -- monocyte,0.36,0.08,0.12,0.03,0.09,NA,0.16,0.15,0.08,0.97,0.13,0.66,0.63,0.21,0.56
