,PWP2,TAC1,IGFBP5,NTRK3,MYT1L,DLG4,SHANK3,MC4R,VSNL1,SNCA,RAB3B,TNRC6B,CRHR2,RNF152
cluster 1 -- astrocytes,,X,,,,,,,X,X,X,,,X
cluster 2 -- likely more than one cell types,,,,,,,,,,,X,,,
cluster 3 -- myelinating oligodendrocytes,,X,,,,,,,X,,,,,
cluster 4 -- microglia,,X,,,,,,,,,,,,
cluster 5 -- ,,X,,,,X,,,,X,X,,,
cluster 6 -- oligodendrocyte precursor,X,X,,,,,,,,,,,,X
cluster 7 -- immune related,,,,,,,X,,,,,,,
cluster 8 -- epithelial cells,X,X,X,,,,,,,,,,,
cluster 9 -- astrocytes,X,X,,,,,X,,,,,,,
cluster 10 -- excitatory neurons,X,X,,,,,,,,,,,,
cluster 11 -- ,,X,,,,,X,X,,X,,,X,
cluster 12 -- POMC neuronal cells,,,,,,X,,,,,,,,
cluster 13 -- non-myelinating matureish(?) oligodendrocytes,,,,,,,,,,,,,,X
cluster 14 -- epithelial cells,,,,,,,,,,,,,,
cluster 15 -- ,,,,,,,,,,,,,,
cluster 16 -- ,,X,,,,,,,,,,,,
cluster 17 -- T cells,,,,,,,,,,,,,,
cluster 18 -- AVP neurons,,,,,,,,,,,,,,
cluster 19 -- monocyte,,,,,,,,,,,,,,
