,ADARB1,ALKAL2,SHISAL2B,CRH,DCC,IL18R1,PROKR1,RDH10,RXRG,SHANK3,SSTR2,VGF,HRH1,LYPD6,C2orf80
cluster 1 -- astrocytes,,X,X,,,X,,X,,,X,,X,X,
cluster 2 -- likely more than one cell types,,,,,,X,,X,,X,,,X,,
cluster 3 -- myelinating oligodendrocytes,,X,X,,,,,X,,,,,X,,
cluster 4 -- microglia,,X,X,,,X,,X,,,,,X,,
cluster 5 -- ,,,,,,,,X,,,,,X,,
cluster 6 -- oligodendrocyte precursor,,X,X,,,X,,X,,,,X,X,,
cluster 7 -- immune related,,,,,,X,,X,,X,,,,,
cluster 8 -- epithelial cells,,,,,,X,,,,,X,,,,
cluster 9 -- astrocytes,,X,,,,X,,X,,X,X,,X,,
cluster 10 -- excitatory neurons,,X,,,,,,X,,,,,X,,
cluster 11 -- ,,X,,,,X,,X,,X,X,,X,,
cluster 12 -- POMC neuronal cells,,X,X,,,X,,X,,X,,X,X,,
cluster 13 -- non-myelinating matureish(?) oligodendrocytes,,,,,,,,,,,,,,,
cluster 14 -- epithelial cells,,X,,,,,,X,,,X,X,X,,
cluster 15 -- ,,X,X,X,,X,,X,,X,X,X,,,
cluster 16 -- ,,X,X,,,,,X,,,,X,X,,
cluster 17 -- T cells,,,,,,X,,X,,,,,,,
cluster 18 -- AVP neurons,,,,,X,,,X,X,,,,,,
cluster 19 -- monocyte,,,,,,,,,,X,,,,,
