,ADARB1,ALKAL2,SHISAL2B,CRH,DCC,IL18R1,PROKR1,RDH10,RXRG,SHANK3,SSTR2,VGF,HRH1,LYPD6,C2orf80
cluster 1 -- astrocytes,0.62,0,0,1,1,0.02,1,0,1,1,0,0.51,0,0.05,0.84
cluster 2 -- likely more than one cell types,1,0.18,0.88,1,1,0,0.99,0,1,0,0.99,0.43,0,0.54,1
cluster 3 -- myelinating oligodendrocytes,0.74,0.02,0,1,0.13,0.21,0.98,0,0.94,0.16,0.66,0.36,0,0.15,0.7
cluster 4 -- microglia,1,0,0,1,0.99,0,0.9,0,1,0.48,0.68,0.38,0.05,0.89,1
cluster 5 -- ,1,0.82,0.45,0.76,1,0.11,0.23,0,0.95,0.08,0.47,0.55,0,0.98,0.54
cluster 6 -- oligodendrocyte precursor,0.39,0.04,0,1,0.99,0,0.97,0,1,1,0.26,0,0,1,1
cluster 7 -- immune related,1,0.06,0.06,0.97,1,0.01,0.9,0,1,0,0.99,0.76,0.05,0.99,1
cluster 8 -- epithelial cells,0.99,0.31,0.78,0.98,1,0,0.79,0.05,0.89,0.98,0,0.43,0.12,0.99,0.94
cluster 9 -- astrocytes,0.76,0,0.77,0.64,0.94,0,0.82,0,1,0,0,0.91,0,0.26,0.91
cluster 10 -- excitatory neurons,0.99,0,0.99,1,1,0.25,0.95,0,1,0.28,0.49,0.71,0,0.98,1
cluster 11 -- ,0.64,0,0.67,0.96,0.92,0,0.35,0,0.99,0,0,0.54,0,0.7,0.96
cluster 12 -- POMC neuronal cells,1,0,0,1,1,0,1,0,1,0,1,0,0,0.99,1
cluster 13 -- non-myelinating matureish(?) oligodendrocytes,0.72,0.76,0.73,0.99,0.96,0.97,0.5,0.25,0.99,0.96,0.17,0.98,0.17,0.93,0.11
cluster 14 -- epithelial cells,0.95,0,0.21,0.99,0.84,0.37,0.59,0,1,0.13,0,0.03,0,0.16,1
cluster 15 -- ,1,0,0,0,1,0,1,0,1,0,0.04,0,0.13,1,1
cluster 16 -- ,1,0,0,1,1,0.29,1,0,1,0.06,1,0,0,0.92,1
cluster 17 -- T cells,0.17,0.07,0.84,0.99,0.97,0.02,1,0.01,1,0.06,0.91,0.87,1,0.72,0.99
cluster 18 -- AVP neurons,0.76,NA,NA,0.17,0.03,NA,NA,0.01,0.04,0.59,0.8,0.08,NA,NA,0.07
cluster 19 -- monocyte,0.64,0.92,0.88,0.97,0.91,NA,0.84,0.85,0.92,0.03,0.87,0.34,0.37,0.79,0.44
