,PWP2,TAC1,IGFBP5,NTRK3,MYT1L,DLG4,SHANK3,MC4R,VSNL1,SNCA,RAB3B,TNRC6B,CRHR2,RNF152
cluster 1 -- astrocytes,0.57,1,0.24,0,0.66,0,0,0.32,1,1,1,0.72,0.94,1
cluster 2 -- likely more than one cell types,0.42,0.12,0.67,0.27,0.22,0.94,0.2,0,0.23,0.53,1,0.13,0.61,0.11
cluster 3 -- myelinating oligodendrocytes,0,1,0.23,0.36,0.5,0.63,0.49,0.03,0.99,0.42,0.94,0,0.79,0.89
cluster 4 -- microglia,0.86,1,0,0.04,0.09,0,0.03,0,0.04,0,0.42,0,0.36,0.86
cluster 5 -- ,0.01,1,0,0,0,1,0,0,0.81,0.99,1,0,0,0.29
cluster 6 -- oligodendrocyte precursor,1,1,0,0.61,0,0.93,0,0.05,0.01,0.12,0.76,0,0.83,0.98
cluster 7 -- immune related,0.8,0.95,0.84,0.87,0.21,0.32,1,0.12,0.02,0.74,0.23,0,0.25,0.18
cluster 8 -- epithelial cells,1,1,0.97,0,0.53,0.92,0.84,0.14,0.48,0.1,0.15,0,0.47,0
cluster 9 -- astrocytes,0.99,1,0.05,0,0.43,0.03,1,0.74,0,0.05,0,0.32,0.16,0.01
cluster 10 -- excitatory neurons,0.96,1,0,0.43,0,0,0,0,0,0.01,0.03,0.01,0.15,0.4
cluster 11 -- ,0.93,1,0.01,0.57,0.25,0.13,0.98,1,0.18,1,0.8,0.66,1,0.17
cluster 12 -- POMC neuronal cells,0.43,0.58,0.85,0.75,0.26,0.97,0.25,0.05,0.48,0.88,0.88,0.14,0.03,0.18
cluster 13 -- non-myelinating matureish(?) oligodendrocytes,0.11,0.64,0,0.23,0,0.06,0.05,0,0.01,0.02,0.07,0.05,0.78,0.97
cluster 14 -- epithelial cells,0.86,0.92,0.09,0.54,0.02,0.63,0.23,NA,0.29,0.42,0.2,0.61,0.84,0.3
cluster 15 -- ,0.21,0.83,0.94,0.4,0.48,0.03,0.44,0.42,0.27,0.59,0.88,0.05,0.85,0.82
cluster 16 -- ,0.32,0.95,0.11,0.68,0,0.01,0.13,NA,0.55,0.56,0.87,0.7,NA,0.24
cluster 17 -- T cells,0.57,0.84,0.6,0.62,0.81,0.21,0.8,0.03,0.11,0.75,0.36,0.14,0.01,0.94
cluster 18 -- AVP neurons,0.6,NA,0.09,0.26,0.04,0.6,0.27,NA,0.01,0.67,0.34,0.07,0.65,NA
cluster 19 -- monocyte,0.64,0.67,0.2,0.31,0.14,0.05,0.58,NA,0.34,0.64,0.62,0.22,NA,0.77
