Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to13,Feature log2 fold change topic 4to13
ENSG00000228794,LINC01128,5,-2.2789,28,0.34155,14,-0.6633,24,0.62997
ENSG00000187634,SAMD11,17,-0.6505,15,-0.8245,76,1.71910,24,-0.5869
ENSG00000188976,NOC2L,54,0.25945,55,0.27750,48,0.07651,44,-0.2519
ENSG00000188290,HES4,129,-0.4056,445,1.61979,180,0.11131,143,-0.8162
ENSG00000187608,ISG15,32,-1.6420,311,1.97289,68,-0.5422,85,-0.6932
ENSG00000188157,AGRN,24,0.57059,28,0.81042,0,-6.1959,17,-0.0643
ENSG00000078808,SDF4,120,-0.0551,201,0.75849,72,-0.8319,123,-0.0939
ENSG00000176022,B3GALT6,6,-3.0576,34,-0.5812,27,-0.9597,58,1.37374
ENSG00000160087,UBE2J2,45,-0.3669,93,0.75513,38,-0.6264,57,-0.0359
ENSG00000131584,ACAP3,51,-0.3147,66,0.08997,27,-1.2572,67,0.47080
ENSG00000127054,INTS11,80,0.36421,102,0.75035,35,-0.8882,61,-0.2496
ENSG00000107404,DVL1,45,-0.0698,48,0.02073,36,-0.3931,48,0.16432
ENSG00000162576,MXRA8,69,1.42217,148,2.93299,0,-6.9719,16,-2.1561
ENSG00000175756,AURKAIP1,211,0.41735,207,0.38668,245,0.65998,144,-0.6144
ENSG00000221978,CCNL2,25,-1.6054,198,1.64490,32,-1.2333,70,-0.2845
ENSG00000242485,MRPL20,109,-0.9248,223,0.17263,68,-1.6185,220,0.71709
ENSG00000235098,ANKRD65,1,-3.5504,10,-1.0923,8,-1.2978,24,1.83711
ENSG00000179403,VWA1,66,0.59741,133,1.79946,4,-3.5434,39,-0.8051
ENSG00000160072,ATAD3B,17,0.06264,52,1.89953,0,-5.4513,15,-0.6437
ENSG00000197785,ATAD3A,21,0.15651,32,0.85162,0,-6.2558,19,0.11606
ENSG00000205090,TMEM240,5,-2.3054,22,-0.1055,20,-0.3037,26,0.74633
ENSG00000160075,SSU72,206,-0.0035,236,0.21202,121,-0.8190,212,0.17553
ENSG00000228594,FNDC10,17,-2.3733,34,-1.3813,88,0.03004,98,1.06721
ENSG00000272106,AL691432.2,24,-0.8200,45,0.15150,18,-1.2099,44,0.60692
ENSG00000197530,MIB2,48,-0.2179,67,0.31185,23,-1.2770,57,0.31918
ENSG00000189339,SLC35E2B,4,-1.8816,6,-1.4392,0,-6.1293,20,2.41894
ENSG00000215790,SLC35E2A,14,-0.8778,12,-1.0689,25,0.01069,28,0.66573
ENSG00000008130,NADK,12,-1.4197,54,0.80736,5,-2.5961,35,0.53964
ENSG00000078369,GNB1,236,-0.6796,246,-0.6133,363,-0.0181,393,0.47873
ENSG00000067606,PRKCZ,43,-1.8174,53,-1.5122,141,-0.0214,163,1.03956
ENSG00000162585,FAAP20,131,0.40502,120,0.27051,79,-0.3742,99,-0.1606
ENSG00000157933,SKI,91,1.88754,58,1.09760,0,-6.9884,23,-1.0774
ENSG00000157916,RER1,87,-0.2380,149,0.59731,116,0.19437,97,-0.2652
ENSG00000157911,PEX10,42,0.24138,55,0.66023,24,-0.6416,35,-0.2035
ENSG00000197921,HES5,5,-2.4139,0,-8.3031,3,-3.3197,36,3.61268
ENSG00000272449,AL139246.5,0,-7.6040,2,-3.3091,0,-6.7702,32,4.96276
ENSG00000157870,PRXL2B,35,-1.1145,13,-2.5250,93,0.36233,82,0.78723
ENSG00000158109,TPRG1L,47,-1.9939,108,-0.7545,158,-0.1779,199,0.92833
ENSG00000116213,WRAP73,7,-1.0886,18,0.17642,0,-6.1039,18,1.07058
ENSG00000130764,LRRC47,57,-0.8834,89,-0.2054,61,-0.7682,111,0.68489
ENSG00000116198,CEP104,12,-0.5192,30,0.89781,0,-6.1912,18,0.35038
ENSG00000196581,AJAP1,3,-3.2790,4,-2.9406,0,-5.5011,37,3.79989
ENSG00000069424,KCNAB2,41,-0.6821,37,-0.8288,114,0.90998,64,0.00974
ENSG00000116254,CHD5,33,-1.5999,23,-2.0926,67,-0.5335,111,1.42728
ENSG00000116251,RPL22,684,0.56550,702,0.60623,247,-1.0140,460,-0.2428
ENSG00000116237,ICMT,37,-0.1385,31,-0.4080,20,-1.0983,44,0.58223
ENSG00000097021,ACOT7,77,-2.4000,143,-1.4808,481,0.36935,425,0.86144
ENSG00000171680,PLEKHG5,9,-0.9944,13,-0.4364,3,-2.5493,21,1.24734
ENSG00000162408,NOL9,15,-1.0475,26,-0.2567,19,-0.6995,33,0.73450
ENSG00000204859,ZBTB48,3,-2.5688,44,1.48006,0,-5.9428,18,0.22880
ENSG00000162413,KLHL21,7,-3.0496,106,0.96299,6,-3.1998,64,0.66939
ENSG00000116273,PHF13,11,-1.4936,69,1.29989,2,-3.9430,32,0.22388
ENSG00000041988,THAP3,7,-1.7392,31,0.43540,8,-1.5812,26,0.73492
ENSG00000007923,DNAJC11,25,-0.4020,31,-0.1086,27,-0.2898,34,0.30966
ENSG00000171735,CAMTA1,69,-1.3438,115,-0.5758,91,-0.9234,190,1.04650
ENSG00000049245,VAMP3,76,0.33335,121,1.08476,21,-1.6396,59,-0.3113
ENSG00000049246,PER3,36,-0.3932,26,-0.8848,13,-1.9065,53,1.07581
ENSG00000116288,PARK7,290,-0.5273,409,-0.0004,360,-0.1952,425,0.26837
ENSG00000116285,ERRFI1,48,0.39275,184,2.84529,0,-7.3403,25,-1.5850
ENSG00000162426,SLC45A1,23,-0.8192,38,-0.0682,18,-1.1652,44,0.71460
ENSG00000142599,RERE,24,-2.3247,122,0.11123,60,-0.9764,128,0.88707
ENSG00000074800,ENO1,515,-0.4480,875,0.38069,678,-0.0230,687,-0.0038
ENSG00000171612,SLC25A33,88,0.30147,61,-0.2822,19,-1.9994,78,0.47342
ENSG00000188807,TMEM201,15,-0.5278,20,-0.1084,22,0.05089,22,0.21079
ENSG00000171603,CLSTN1,165,-1.4601,310,-0.5157,440,0.02362,471,0.62798
ENSG00000178585,CTNNBIP1,26,-1.0167,70,0.51067,28,-0.9009,54,0.36996
ENSG00000162441,LZIC,52,0.87071,28,-0.1161,18,-0.7913,29,-0.1486
ENSG00000130939,UBE4B,19,-1.2822,42,-0.0978,37,-0.2983,49,0.56257
ENSG00000054523,KIF1B,117,-0.8693,130,-0.7072,170,-0.2995,227,0.70308
ENSG00000142657,PGD,65,-0.5181,76,-0.2805,35,-1.4601,101,0.78158
ENSG00000160049,DFFA,35,0.20950,29,-0.0917,33,0.11504,30,-0.0991
ENSG00000142655,PEX14,18,-0.7107,17,-0.7851,20,-0.5863,32,0.79790
ENSG00000120948,TARDBP,20,-1.8716,131,1.02758,29,-1.3224,72,0.26549
ENSG00000116649,SRM,59,-1.2157,109,-0.2777,140,0.10363,139,0.43959
ENSG00000171824,EXOSC10,20,-0.9071,51,0.51515,15,-1.3175,39,0.43779
ENSG00000198793,MTOR,2,-4.1110,43,0.04266,38,-0.1233,46,0.71064
ENSG00000204624,DISP3,9,-0.7527,6,-1.3284,0,-6.0683,18,1.77715
ENSG00000116661,FBXO2,739,1.65213,84,-1.7790,221,-0.3318,251,-0.4686
ENSG00000132879,FBXO44,58,-1.2457,66,-1.0573,106,-0.3421,149,0.95355
ENSG00000116663,FBXO6,1,-3.5658,14,-0.3988,6,-1.6735,22,1.56785
ENSG00000116670,MAD2L2,60,1.06189,44,0.54042,41,0.41740,26,-0.8845
ENSG00000177674,AGTRAP,70,1.57856,70,1.57064,10,-1.4906,20,-1.3097
ENSG00000177000,MTHFR,8,-1.0007,38,1.38358,0,-6.1539,16,0.09112
ENSG00000011021,CLCN6,24,-2.0452,33,-1.5566,117,0.35558,104,0.83820
ENSG00000116685,KIAA2013,62,0.22930,50,-0.0920,13,-2.0850,57,0.44313
ENSG00000083444,PLOD1,33,-0.4399,89,1.12186,18,-1.3651,44,-0.0954
ENSG00000116688,MFN2,50,-1.0417,72,-0.4931,74,-0.4538,109,0.74132
ENSG00000116691,MIIP,17,-0.3898,37,0.77908,1,-4.1535,24,0.35900
ENSG00000028137,TNFRSF1B,77,2.34525,44,1.31526,0,-6.4135,13,-1.5648
ENSG00000048707,VPS13D,37,-0.2953,47,0.08357,49,0.13695,45,0.01713
ENSG00000162496,DHRS3,132,1.73436,131,1.73272,1,-4.7094,34,-1.3723
ENSG00000162493,PDPN,64,1.73996,65,1.75957,19,-0.2190,14,-1.7636
ENSG00000116731,PRDM2,38,0.47313,44,0.71268,13,-1.1019,27,-0.2370
ENSG00000189337,KAZN,54,-0.0098,11,-2.3018,15,-1.9683,63,1.22259
ENSG00000142634,EFHD2,39,-0.4734,68,0.38595,22,-1.3048,56,0.37896
ENSG00000132906,CASP9,54,2.02875,24,0.61723,0,-6.1368,13,-0.9584
ENSG00000116138,DNAJC16,8,-1.5770,9,-1.4884,3,-2.9901,29,2.07672
ENSG00000197312,DDI2,4,-2.0949,28,0.75297,0,-6.2268,19,0.84173
ENSG00000116786,PLEKHM2,32,-0.6531,84,0.85768,30,-0.7255,49,0.01033
ENSG00000065526,SPEN,27,-0.2167,50,0.76247,42,0.49080,28,-0.4841
ENSG00000185519,FAM131C,33,0.31285,5,-2.5114,33,0.33067,28,0.23553
ENSG00000037637,FBXO42,32,-0.2763,33,-0.1913,76,1.11395,35,-0.4113
ENSG00000055070,SZRD1,76,1.07455,130,2.04288,9,-2.0635,29,-1.2977
ENSG00000157191,NECAP2,46,1.14645,53,1.41051,0,-6.6097,19,-0.7668
ENSG00000219481,NBPF1,37,0.59204,13,-1.0566,11,-1.1874,27,0.39834
ENSG00000058453,CROCC,28,0.53511,27,0.47534,0,-6.4377,20,0.15259
