NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
LTF	1	LTF	
MOBP	1	MOBP	
SLC5A11	1	SLC5A11	
ANLN	1	ANLN	
LINC01549	1	LINC01549	
CARNS1	1	CARNS1	
KLK6	1	KLK6	
DNAH17	1	DNAH17	
HAGLR	1	HAGLR	
ERMN	1	ERMN	
TP53TG5	1	TP53TG5	
LDB3	1	LDB3	
TMEM125	1	TMEM125	
USH1C	1	USH1C	
S1PR5	1	S1PR5	
PLP1	1	PLP1	
MBP	1	MBP	
SERPINA3	1	SERPINA3	
SLC45A3	1	SLC45A3	
PCSK6	1	PCSK6	
HAPLN2	1	HAPLN2	
FA2H	1	FA2H	
UGT8	1	UGT8	
MOG	1	MOG	
CYP4F3	1	CYP4F3	
GJB1	1	GJB1	
MAG	1	MAG	
ADAMTS4	1	ADAMTS4	
SH3TC2	1	SH3TC2	
GPD1	1	GPD1	
EVI2A	1	EVI2A	
FOLH1	1	FOLH1	
CCNE2	1	CCNE2	
ENPP6	1	ENPP6	
TF	1	TF	
TSPAN8	1	TSPAN8	
BCAS1	1	BCAS1	
SEC14L5	1	SEC14L5	
LINC00323	1	LINC00323	
PIEZO2	1	PIEZO2	
ZNF488	1	ZNF488	
LINC01094	1	LINC01094	
PPP1R14A	1	PPP1R14A	
CNDP1	1	CNDP1	
CAPN3	1	CAPN3	
LINC01877	1	LINC01877	
LRP2	1	LRP2	
TRIM59	1	TRIM59	
TMEM63A	1	TMEM63A	
GALNT15	1	GALNT15	
NIPAL4	1	NIPAL4	
SGK2	1	SGK2	
CLDN11	1	CLDN11	
TMEM235	1	TMEM235	
CP	1	CP	
GJC2	1	GJC2	
MYRF	1	MYRF	
HPN	1	HPN	
NINJ2	1	NINJ2	
GPIHBP1	1	GPIHBP1	
PLEKHH1	1	PLEKHH1	
ERBB3	1	ERBB3	
DNAH17-AS1	1	DNAH17-AS1	
GLDN	1	GLDN	
DAO	1	DAO	
ART3	1	ART3	
APLNR	1	APLNR	
ENPP2	1	ENPP2	
KLHL4	1	KLHL4	
GPR37	1	GPR37	
DOCK5	1	DOCK5	
CMTM5	1	CMTM5	
PLPP2	1	PLPP2	
RAPGEF5	1	RAPGEF5	
CLCA4	1	CLCA4	
TMEM144	1	TMEM144	
KANK4	1	KANK4	
PVALB	1	PVALB	
CD22	1	CD22	
HSPA2	1	HSPA2	
SLC31A2	1	SLC31A2	
BTBD16	1	BTBD16	
LINC00320	1	LINC00320	
GALNT6	1	GALNT6	
PPP1R13L	1	PPP1R13L	
CYP4F12	1	CYP4F12	
COL4A5	1	COL4A5	
CD44	1	CD44	
ELOVL1	1	ELOVL1	
PRIMA1	1	PRIMA1	
HMSD	1	HMSD	
PADI2	1	PADI2	
TMC6	2	TNRC6C-AS1:TMC6	
RASGRP3	1	RASGRP3	
ST18	1	ST18	
