NAME	TITLE	SCORE	
RPS4Y1	ribosomal protein S4 Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:10425]	11.303501	
EIF1AY	eukaryotic translation initiation factor 1A Y-linked [Source:HGNC Symbol;Acc:HGNC:3252]	10.618986	
USP9Y	ubiquitin specific peptidase 9 Y-linked [Source:HGNC Symbol;Acc:HGNC:12633]	9.899942	
DDX3Y	DEAD-box helicase 3 Y-linked [Source:HGNC Symbol;Acc:HGNC:2699]	9.596032	
NLGN4Y	neuroligin 4 Y-linked [Source:HGNC Symbol;Acc:HGNC:15529]	8.987144	
KDM5D	lysine demethylase 5D [Source:HGNC Symbol;Acc:HGNC:11115]	8.669193	
TTTY14	testis-specific transcript, Y-linked 14 [Source:HGNC Symbol;Acc:HGNC:18495]	8.166136	
UTY	ubiquitously transcribed tetratricopeptide repeat containing, Y-linked [Source:HGNC Symbol;Acc:HGNC:12638]	7.6744823	
ZFY	zinc finger protein Y-linked [Source:HGNC Symbol;Acc:HGNC:12870]	7.381789	
PCDH11Y	protocadherin 11 Y-linked [Source:HGNC Symbol;Acc:HGNC:15813]	7.3666453	
TMSB4Y	thymosin beta 4 Y-linked [Source:HGNC Symbol;Acc:HGNC:11882]	6.7898173	
PWP2	PWP2 small subunit processome component [Source:HGNC Symbol;Acc:HGNC:9711]	6.1814156	
PRKY	protein kinase Y-linked (pseudogene) [Source:HGNC Symbol;Acc:HGNC:9444]	5.130034	
GATD3	glutamine amidotransferase class 1 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:1273]	3.1053765	
FAM237A	family with sequence similarity 237 member A [Source:HGNC Symbol;Acc:HGNC:52388]	3.0643978	
AOX1	aldehyde oxidase 1 [Source:HGNC Symbol;Acc:HGNC:553]	2.964535	
GSTM1	glutathione S-transferase mu 1 [Source:HGNC Symbol;Acc:HGNC:4632]	2.8162644	
INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	2.6593783	
KCNMB2	potassium calcium-activated channel subfamily M regulatory beta subunit 2 [Source:HGNC Symbol;Acc:HGNC:6286]	2.442993	
CCKBR	cholecystokinin B receptor [Source:HGNC Symbol;Acc:HGNC:1571]	2.365044	
MAFIP	MAFF interacting protein (pseudogene) [Source:HGNC Symbol;Acc:HGNC:31102]	2.3158123	
TSHR	thyroid stimulating hormone receptor [Source:HGNC Symbol;Acc:HGNC:12373]	2.1395054	
TERC	telomerase RNA component [Source:HGNC Symbol;Acc:HGNC:11727]	2.1190143	
LUM	lumican [Source:HGNC Symbol;Acc:HGNC:6724]	2.1054451	
CHRM5	cholinergic receptor muscarinic 5 [Source:HGNC Symbol;Acc:HGNC:1954]	2.025291	
LYPD6B	LY6/PLAUR domain containing 6B [Source:HGNC Symbol;Acc:HGNC:27018]	1.9989023	
TRAPPC10	trafficking protein particle complex subunit 10 [Source:HGNC Symbol;Acc:HGNC:11868]	1.9489834	
GALP	galanin like peptide [Source:HGNC Symbol;Acc:HGNC:24840]	1.9012038	
H1-4	H1.4 linker histone, cluster member [Source:HGNC Symbol;Acc:HGNC:4718]	1.8336678	
LINC00622	long intergenic non-protein coding RNA 622 [Source:HGNC Symbol;Acc:HGNC:44251]	1.8134754	
KCNK15	potassium two pore domain channel subfamily K member 15 [Source:HGNC Symbol;Acc:HGNC:13814]	1.7984269	
IL11	interleukin 11 [Source:HGNC Symbol;Acc:HGNC:5966]	1.7972251	
SOSTDC1	sclerostin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21748]	1.7945486	
LINC02593	long intergenic non-protein coding RNA 2593 [Source:HGNC Symbol;Acc:HGNC:53933]	1.7621138	
FSIP2	fibrous sheath interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:21675]	1.7545061	
CRH	corticotropin releasing hormone [Source:HGNC Symbol;Acc:HGNC:2355]	1.70175	
NTS	neurotensin [Source:HGNC Symbol;Acc:HGNC:8038]	1.6947994	
PRR15	proline rich 15 [Source:HGNC Symbol;Acc:HGNC:22310]	1.6938524	
EGFL6	EGF like domain multiple 6 [Source:HGNC Symbol;Acc:HGNC:3235]	1.6877252	
PROC	protein C, inactivator of coagulation factors Va and VIIIa [Source:HGNC Symbol;Acc:HGNC:9451]	1.6851907	
FOXD2	forkhead box D2 [Source:HGNC Symbol;Acc:HGNC:3803]	1.6727058	
ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2 [Source:HGNC Symbol;Acc:HGNC:218]	1.6515752	
SERPINB11	serpin family B member 11 [Source:HGNC Symbol;Acc:HGNC:14221]	1.6441631	
TPBG	trophoblast glycoprotein [Source:HGNC Symbol;Acc:HGNC:12004]	1.6284376	
RMRP	RNA component of mitochondrial RNA processing endoribonuclease [Source:HGNC Symbol;Acc:HGNC:10031]	1.623192	
IRS4	insulin receptor substrate 4 [Source:HGNC Symbol;Acc:HGNC:6128]	1.6169239	
