NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
CHR1P11	21		Rejected!	
CHR1P12	53		Rejected!	
CHR1P13	213	95		
CHR1P21	107	34		
CHR1P22	134	52		
CHR1P31	223	67		
CHR1P32	156	58		
CHR1P33	61	21		
CHR1P34	292	145		
CHR1P35	136	74		
CHR1P36	681	279		
CHR1Q21	404	133		
CHR1Q22	71	42		
CHR1Q23	224	72		
CHR1Q24	128	41		
CHR1Q25	165	58		
CHR1Q31	74	23		
CHR1Q32	286	109		
CHR1Q41	96	31		
CHR1Q42	239	86		
CHR1Q43	62	15		
CHR1Q44	128	26		
CHR10P11	126	24		
CHR10P12	140	48		
CHR10P13	66	27		
CHR10P14	48	17		
CHR10P15	89	25		
CHR10Q11	188	47		
CHR10Q21	119	38		
CHR10Q22	207	83		
CHR10Q23	194	65		
CHR10Q24	189	100		
CHR10Q25	131	45		
CHR10Q26	207	88		
CHR11P11	153	51		
CHR11P12	19		Rejected!	
CHR11P13	64	32		
CHR11P14	59	19		
CHR11P15	563	171		
CHR11Q11	40		Rejected!	
CHR11Q12	342	91		
CHR11Q13	449	215		
CHR11Q14	156	44		
CHR11Q21	63	28		
CHR11Q22	105	38		
CHR11Q23	218	90		
CHR11Q24	190	55		
CHR11Q25	31	15		
CHR12P11	84	30		
CHR12P12	113	38		
CHR12P13	349	130		
CHR12Q12	62	23		
CHR12Q13	419	169		
CHR12Q14	114	38		
CHR12Q15	56	17		
CHR12Q21	139	53		
CHR12Q22	57	17		
CHR12Q23	150	63		
CHR12Q24	410	202		
CHR13Q11	25		Rejected!	
CHR13Q12	235	61		
CHR13Q13	81	23		
CHR13Q14	245	78		
CHR13Q21	117		Rejected!	
CHR13Q22	62		Rejected!	
CHR13Q31	99		Rejected!	
CHR13Q32	95	29		
CHR13Q33	57	16		
CHR13Q34	88	34		
CHR14Q11	330	60		
CHR14Q12	105	42		
CHR14Q13	60	24		
CHR14Q21	97	32		
CHR14Q22	93	40		
CHR14Q23	131	55		
CHR14Q24	201	95		
CHR14Q31	59	15		
CHR14Q32	565	131		
CHR15Q11	216		Rejected!	
CHR15Q12	18		Rejected!	
CHR15Q13	101	18		
CHR15Q14	61	25		
CHR15Q15	146	73		
CHR15Q21	176	74		
CHR15Q22	131	62		
CHR15Q23	68	30		
CHR15Q24	122	53		
CHR15Q25	157	64		
CHR15Q26	204	69		
CHR16P11	276	92		
CHR16P12	172	66		
CHR16P13	421	201		
CHR16Q11	12		Rejected!	
CHR16Q12	101	29		
CHR16Q13	40	22		
CHR16Q21	78	30		
CHR16Q22	182	103		
CHR16Q23	114	46		
CHR16Q24	132	64		
CHR17P11	203	55		
CHR17P12	64	18		
CHR17P13	346	167		
CHR17Q11	169	70		
CHR17Q12	147	62		
CHR17Q21	472	181		
CHR17Q22	88	37		
CHR17Q23	118	46		
CHR17Q24	98	33		
CHR17Q25	305	165		
CHR18P11	210	61		
CHR18Q11	85	26		
CHR18Q12	104	34		
CHR18Q21	202	66		
CHR18Q22	65	22		
CHR18Q23	39	22		
CHR19P12	114	22		
CHR19P13	786	440		
CHR19Q11	5		Rejected!	
CHR19Q12	30		Rejected!	
CHR19Q13	1185		Rejected!	
CHR2P11	213	39		
CHR2P12	56		Rejected!	
CHR2P13	140	71		
CHR2P14	63	19		
CHR2P15	44	15		
CHR2P16	119	31		
CHR2P21	80	32		
CHR2P22	103	41		
CHR2P23	149	77		
CHR2P24	80	22		
CHR2P25	126	49		
CHR2Q11	152	61		
CHR2Q12	82	21		
CHR2Q13	59	15		
CHR2Q14	164	51		
CHR2Q21	150	32		
CHR2Q22	70		Rejected!	
CHR2Q23	53	21		
CHR2Q24	128	39		
CHR2Q31	178	67		
CHR2Q32	111	40		
CHR2Q33	203	68		
CHR2Q34	45	15		
CHR2Q35	131	58		
CHR2Q36	85	27		
CHR2Q37	226	78		
CHR20P11	150	45		
CHR20P12	108	37		
CHR20P13	120	57		
CHR20Q11	245	91		
CHR20Q12	25		Rejected!	
CHR20Q13	410	173		
CHR21P11	38		Rejected!	
CHR21P12	15		Rejected!	
CHR21Q11	47		Rejected!	
CHR21Q21	121	25		
CHR21Q22	370	119		
CHR22Q11	401	93		
CHR22Q12	221	94		
CHR22Q13	320	165		
CHR3P11	25		Rejected!	
CHR3P12	73		Rejected!	
CHR3P13	47		Rejected!	
CHR3P14	141	49		
CHR3P21	316	163		
CHR3P22	185	73		
CHR3P23	10		Rejected!	
CHR3P24	113	29		
CHR3P25	155	75		
CHR3P26	48	15		
CHR3Q11	54		Rejected!	
CHR3Q12	53	21		
CHR3Q13	221	62		
CHR3Q21	160	62		
CHR3Q22	135	46		
CHR3Q23	62	22		
CHR3Q24	46		Rejected!	
CHR3Q25	179	52		
CHR3Q26	219	56		
CHR3Q27	127	47		
CHR3Q28	36		Rejected!	
CHR3Q29	139	46		
CHR4P11	19		Rejected!	
CHR4P12	26		Rejected!	
CHR4P13	31		Rejected!	
CHR4P14	67	24		
CHR4P15	134	40		
CHR4P16	220	89		
CHR4Q12	84	33		
CHR4Q13	153	25		
CHR4Q21	133	52		
CHR4Q22	73	26		
CHR4Q23	36		Rejected!	
CHR4Q24	59	22		
CHR4Q25	90	25		
CHR4Q26	55		Rejected!	
CHR4Q27	31		Rejected!	
CHR4Q28	81	20		
CHR4Q31	163	55		
CHR4Q32	119	35		
CHR4Q33	15		Rejected!	
CHR4Q34	60	18		
CHR4Q35	115	29		
CHR5P12	32		Rejected!	
CHR5P13	139	51		
CHR5P14	37		Rejected!	
CHR5P15	204	57		
CHR5Q11	95	26		
CHR5Q12	66	25		
CHR5Q13	151	51		
CHR5Q14	136	52		
CHR5Q15	60	23		
CHR5Q21	68	15		
CHR5Q22	59	25		
CHR5Q23	115	31		
CHR5Q31	297	127		
CHR5Q32	78	25		
CHR5Q33	118	51		
CHR5Q34	40		Rejected!	
CHR5Q35	231	104		
CHR6P11	9		Rejected!	
CHR6P12	135	31		
CHR6P21	487	230		
CHR6P22	364	81		
CHR6P23	16		Rejected!	
CHR6P24	63	25		
CHR6P25	84	33		
CHR6Q11	6		Rejected!	
CHR6Q12	24		Rejected!	
CHR6Q13	64	16		
CHR6Q14	96	36		
CHR6Q15	51	19		
CHR6Q16	56	22		
CHR6Q21	122	50		
CHR6Q22	126	47		
CHR6Q23	118	32		
CHR6Q24	77	30		
CHR6Q25	161	53		
CHR6Q26	15		Rejected!	
CHR6Q27	79	26		
CHR7P11	86	15		
CHR7P12	64		Rejected!	
CHR7P13	52	29		
CHR7P14	173	55		
CHR7P15	101	26		
CHR7P21	87	26		
CHR7P22	132	62		
CHR7Q11	268	77		
CHR7Q21	176	70		
CHR7Q22	219	110		
CHR7Q31	137	47		
CHR7Q32	97	38		
CHR7Q33	58	19		
CHR7Q34	184	31		
CHR7Q35	65		Rejected!	
CHR7Q36	156	71		
CHR8P11	102	39		
CHR8P12	70	20		
CHR8P21	135	64		
CHR8P22	47	18		
CHR8P23	233	34		
CHR8Q11	76	16		
CHR8Q12	90	28		
CHR8Q13	75	26		
CHR8Q21	190	56		
CHR8Q22	164	63		
CHR8Q23	50		Rejected!	
CHR8Q24	353	143		
CHR9P11	51		Rejected!	
CHR9P12	17		Rejected!	
CHR9P13	174	67		
CHR9P21	124	27		
CHR9P22	52	17		
CHR9P23	20		Rejected!	
CHR9P24	105	31		
CHR9Q12	8		Rejected!	
CHR9Q13	55		Rejected!	
CHR9Q21	198	59		
CHR9Q22	198	71		
CHR9Q31	136	43		
CHR9Q32	50	25		
CHR9Q33	136	59		
CHR9Q34	323	184		
MT	37		Rejected!	
CHRXP11	374	118		
CHRXP21	82		Rejected!	
CHRXP22	245	88		
CHRXQ11	29		Rejected!	
CHRXQ12	26		Rejected!	
CHRXQ13	164	45		
CHRXQ21	142	26		
CHRXQ22	171	62		
CHRXQ23	89	18		
CHRXQ24	81	28		
CHRXQ25	48		Rejected!	
CHRXQ26	172	46		
CHRXQ27	91		Rejected!	
CHRXQ28	212	74		
CHRYP11	122		Rejected!	
CHRYQ11	311		Rejected!	
GLI1_UP.V1_DN	17	15		
GLI1_UP.V1_UP	24	23		
GCNP_SHH_UP_EARLY.V1_DN	167	135		
GCNP_SHH_UP_LATE.V1_DN	178	140		
RAPA_EARLY_UP.V1_DN	186	146		
RAPA_EARLY_UP.V1_UP	167	124		
HINATA_NFKB_MATRIX	11		Rejected!	
CYCLIN_D1_KE_.V1_UP	188	152		
CYCLIN_D1_UP.V1_UP	187	137		
CSR_EARLY_UP.V1_DN	126	112		
VEGF_A_UP.V1_UP	195	148		
BCAT_GDS748_DN	45	39		
BCAT_GDS748_UP	48	38		
BCAT.100_UP.V1_DN	41	25		
BCAT.100_UP.V1_UP	49	38		
ATF2_S_UP.V1_UP	193	123		
ATF2_UP.V1_UP	190	118		
WNT_UP.V1_UP	176	119		
ATM_DN.V1_DN	146	78		
ATM_DN.V1_UP	146	95		
P53_DN.V2_DN	145	95		
RELA_DN.V1_DN	139	70		
BCAT_BILD_ET_AL_DN	46	44		
BCAT_BILD_ET_AL_UP	45	41		
E2F3_UP.V1_UP	190	168		
CAMP_UP.V1_DN	199	183		
CAMP_UP.V1_UP	200	192		
PRC1_BMI_UP.V1_UP	185	118		
PRC2_EED_DN.V1_UP	191	144		
PRC2_EZH2_UP.V1_UP	192	151		
PRC2_SUZ12_UP.V1_UP	185	131		
JNK_DN.V1_DN	190	135		
JNK_DN.V1_UP	186	124		
BRCA1_DN.V1_UP	133	67		
CTIP_DN.V1_UP	135	69		
PKCA_DN.V1_DN	154	113		
MTOR_UP.N4.V1_DN	184	156		
PTEN_DN.V2_UP	139	93		
DCA_UP.V1_UP	186	112		
ESC_J1_UP_EARLY.V1_UP	178	141		
ESC_J1_UP_LATE.V1_UP	185	139		
ESC_V6.5_UP_EARLY.V1_UP	166	133		
ESC_V6.5_UP_LATE.V1_UP	184	144		
PTEN_DN.V1_DN	184	113		
NOTCH_DN.V1_DN	183	108		
EIF4E_DN	100	89		
