gene	t_stat_ARCboundary_slice2-VMHboundary_slice2	p_value_ARCboundary_slice2-VMHboundary_slice2	fdr_ARCboundary_slice2-VMHboundary_slice2	logFC_ARCboundary_slice2-VMHboundary_slice2
ABCC9	0.707395893070111	0.483505850070044	0.638856105146701	0.0592591853111664
ACVR1C	3.83478678609536	0.000445002527435739	0.00208808878258308	0.474309818816554
ADAMTS12	-0.385705321440004	0.701800617596967	0.809723011969923	-0.0784197462236795
ADAMTS16	1.81675667289589	0.0769074962190712	0.1608465349496	0.42872720009836
ADAMTS3	-2.15388143757918	0.0374573874020582	0.0907907535705516	-0.347142387964555
ADARB1	3.53010676763166	0.00107919812945832	0.00443805073462635	0.241760663955786
ADCYAP1	-5.23009130715529	5.97020844605016e-06	3.83350226535852e-05	-0.842548168362491
ADRA1A	-1.84184214206085	0.0730744893903455	0.154596896629286	-0.15296837541478
ADRA1B	1.51706964801816	0.137274475897376	0.256339072338977	0.255504903143639
AGRP	8.35790617370838	3.05290807904909e-10	7.98117397808548e-09	1.87329914047887
AIF1	-0.831178240471717	0.410908226789082	0.585184478617914	-0.177023228121609
ALK	3.21730487844023	0.0025965408589684	0.00950333954382433	0.540178810681093
ALKAL2	2.39307929514639	0.0215939358197861	0.0568588525902281	0.701516566451429
ANGPT1	0.817535885319232	0.418564630658433	0.585694325148946	0.0944663509522545
ANK1	3.55550926569627	0.00100344934628055	0.00417343705384864	0.343144546917722
ANKRD18A	-0.0637130127505628	0.949522592779162	0.962673875227627	-0.00523517283714448
ANKRD34B	-9.12025245969938	3.10181809356345e-11	1.41908177780528e-09	-1.59294184160286
ANO3	-1.57198914368087	0.123992145435617	0.236360027236646	-0.351207479286584
ANXA1	0.655910576663974	0.515713970747482	0.669330898204179	0.171752865575133
APOE	-0.578680644565936	0.566115595322837	0.710922508842277	-0.0401235672899105
APP	2.82640414061823	0.00737299616315259	0.0221189884894578	0.185278144289281
AQP4	-1.20244658462787	0.236405031261834	0.396933690228141	-0.0980932415050084
AR	-2.20643061614648	0.0332803437218265	0.0828612639604661	-0.190073928051017
ARHGAP24	5.70675760535928	1.3023014987929e-06	9.53284697116406e-06	0.532132027348526
ATP2C2	-2.11054281809403	0.0412442482656369	0.098662711537406	-0.220304635221567
