gene	t_stat_ARC_yi_2stage-VMH_yi_2stage	p_value_ARC_yi_2stage-VMH_yi_2stage	fdr_ARC_yi_2stage-VMH_yi_2stage	logFC_ARC_yi_2stage-VMH_yi_2stage	knownmarkerof
ADCYAP1	-16.0165300863458	8.15595285570333e-19	3.49712718277505e-17	-2.29970545396026	VMH
AGRP	16.2100995568295	5.40558252985692e-19	3.29740534321272e-17	3.4464981771152	ARC
ANKRD34B	-11.3602084200749	5.55717127042689e-14	8.13569873990496e-13	-2.20555432824927	VMH
ESR1	5.82624014307856	8.81777948233403e-07	3.43330562822793e-06	1.24230132774265	ARC
FEZF1	-22.7031811721471	3.42771415259375e-24	6.27271689924656e-22	-4.14691767920667	VMH
GAD1	16.1112779172382	6.66559194216746e-19	3.48515235833327e-17	2.20194815699058	ARC
GAD2	10.0932072353609	1.81610708082013e-12	1.82714123455872e-11	1.75884506880375	ARC
GHRH	14.6764045056833	1.56141180134329e-17	4.39597476378189e-16	5.37056909460536	ARC
LAMP5	-7.99128070963751	9.24845840787069e-10	5.12869057163738e-09	-2.12744574063906	VMH
NR5A1	-11.7745857251105	1.85846892180106e-14	3.09181647899631e-13	-2.96110316354435	VMH
NRGN	-17.2443507291614	6.37900686041213e-20	4.66943302182168e-18	-3.84384860783758	VMH
POMC	11.2851069261975	6.79349336845507e-14	9.20895767723909e-13	2.96204488462428	ARC
SLC17A6	-15.9917342672889	8.59949307239767e-19	3.49712718277505e-17	-2.13768142025438	VMH
TAC3	10.7691809751097	2.75401058374306e-13	3.25150926983858e-12	3.27700295852221	ARC
