gene	t_stat_ARCboundary-VMHboundary	p_value_ARCboundary-VMHboundary	fdr_ARCboundary-VMHboundary	logFC_ARCboundary-VMHboundary
ABCC9	0.230992208355575	0.81853550221081	0.966399980029537	0.0151958767712905
ACVR1C	2.16404090006014	0.0366836306793227	0.176660642482001	0.217424394356522
ADAMTS12	-1.36004413579803	0.181672134550599	0.531936009964155	-0.378872629200174
ADAMTS16	2.48047644455923	0.0175702788541315	0.0974351827365474	0.687604685397494
ADAMTS3	0.167021714405434	0.868221034560586	0.981556167325222	0.0260152802431231
ADARB1	0.754699165917774	0.454989441228737	0.827300267982451	0.0522602187386401
ADCYAP1	-2.55363164577231	0.0147082657067225	0.0857217103810118	-0.396039118626087
ADRA1A	1.07158953760668	0.290529676428275	0.686024913372571	0.0745480128709577
ADRA1B	-1.67846577929412	0.101299885602821	0.374502607380126	-0.240912634825009
AGRP	1.64091280992449	0.108904354658854	0.386980522380005	0.470728704033151
AIF1	-0.409445167137118	0.684466296921992	0.927832091383145	-0.081141621530028
ALK	2.44272618042305	0.0192377505333222	0.103812816763759	0.358012240295102
ALKAL2	1.32630246648531	0.192499694457368	0.556916196557208	0.35580857970276
ANGPT1	0.777292629839836	0.441703229886958	0.827300267982451	0.0910266676658384
ANK1	0.725497067685625	0.472503720900921	0.843592009023107	0.0712758880433437
ANKRD18A	1.11380370892616	0.272220814370355	0.668784191078869	0.0864307915124236
ANKRD34B	-6.92815628639079	2.77258010867086e-08	5.07382159886768e-06	-0.838628052623431
ANO3	-0.57831620229045	0.566394928563722	0.889701904954172	-0.117903070037777
ANXA1	0.500526290651674	0.619534052583546	0.908890236764413	0.13526288443691
APOE	1.08187097486846	0.285993001934937	0.679697653949266	0.0513307995351298
APP	1.199810173671	0.237493569400574	0.639137105886839	0.061262775565293
AQP4	0.642997767605128	0.524010334540844	0.863754389991157	0.0379110915909369
AR	-1.66637069415116	0.103699703977935	0.379540916559244	-0.137980379775343
ARHGAP24	3.65452931536066	0.000761436147032245	0.0107186780697616	0.289834348030784
ATP2C2	0.240040030903184	0.811563842628503	0.964390800006598	0.0235122351213306
AVP	0.60791495028175	0.546788564615809	0.870107020214723	0.163640949312344
B4GALNT1	-1.10480411619521	0.276053645142412	0.669110159749157	-0.0698715553996347
BCAN	0.498947687746739	0.620635497775381	0.908890236764413	0.0300100083333579
BDNF	-3.3291470335915	0.00191844551945318	0.0222335170729836	-0.625504948981551
BMP8B	-0.715644364180427	0.478498961060977	0.846041641296221	-0.0589603168779131
BRINP3	0.75727488063256	0.453463060673482	0.827300267982451	0.062681208630563
BTBD11	-2.91119731810383	0.00594022599454128	0.0462579300851512	-0.219159836099006
C1QL3	1.46095890714453	0.152084059780115	0.493460748687694	0.236759650599575
C1orf162	0.0535470157349433	0.957571032245371	0.993009681547916	0.005020703346867
C2orf80	-0.478565046832235	0.63493587203573	0.9149075951381	-0.047344609533873
