enriched_cluster	comparator_cluster	ensembl	gene	logFC	t_stat	p_value	fdr
ARC_1	ARC_2	ENSG00000003137	CYP26B1	0.761831167644425	4.89109705405712	7.78439081929786e-06	2.04410262521131e-05
ARC_1	ARC_2	ENSG00000006128	TAC1	1.17665460487882	4.08685523401075	0.000131069176351893	0.000289940905263279
ARC_2	ARC_1	ENSG00000007372	PAX6	2.1405361328428	23.7583300032484	2.48731562247813e-32	1.00874466911613e-30
ARC_2	ARC_1	ENSG00000008394	MGST1	2.00253642473926	20.964793990152	2.11719418812407e-29	4.54574046273697e-28
ARC_1	ARC_2	ENSG00000009694	TENM1	1.29512963312207	9.56416648407466	1.0570655875621e-13	6.12426888032012e-13
ARC_2	ARC_1	ENSG00000010282	HHATL	2.45153163569574	14.3119661501789	4.59732375023518e-21	4.53519775361038e-20
ARC_2	ARC_1	ENSG00000010610	CD4	0.693977831609807	2.1573291840878	0.0349700679700453	0.0498596672229162
ARC_2	ARC_1	ENSG00000011465	DCN	1.9642149540824	9.38977849365678	2.06851473684345e-13	1.12687743126546e-12
ARC_2	ARC_1	ENSG00000013297	CLDN11	1.01604168400784	6.78014310259095	5.77282139363534e-09	2.12836344310798e-08
ARC_2	ARC_1	ENSG00000026297	RNASET2	0.18843872321621	2.43155794912084	0.0180180213811889	0.0277481709246593
ARC_1	ARC_2	ENSG00000029534	ANK1	0.618380595088792	3.99176328800242	0.000180262885946235	0.000393987744732788
ARC_2	ARC_1	ENSG00000038427	VCAN	1.12577332196471	6.16061730810148	6.48308178848234e-08	2.13182419170816e-07
ARC_2	ARC_1	ENSG00000039068	CDH1	0.504117250680701	1.43724412102613	0.155811845223099	0.190843367471245
ARC_2	ARC_1	ENSG00000042493	CAPG	1.33226351159594	9.0930419885261	6.52113689069909e-13	3.30585411820162e-12
ARC_2	ARC_1	ENSG00000048740	CELF2	0.535286321616461	7.20707519332476	1.07517708213891e-09	4.265648206312e-09
ARC_2	ARC_1	ENSG00000053108	FSTL4	0.761160468588763	5.81812063751329	2.42608377445186e-07	7.37933814729109e-07
ARC_1	ARC_2	ENSG00000054356	PTPRN	1.59177510151031	25.4054837751196	6.24658783418498e-34	3.80000759912919e-32
ARC_2	ARC_1	ENSG00000064270	ATP2C2	0.560082822300945	3.96859310834361	0.00019471123953445	0.00042053019189393
ARC_2	ARC_1	ENSG00000065361	ERBB3	0.869657776562907	5.13289483883196	3.20758212885601e-06	8.86945058357913e-06
ARC_2	ARC_1	ENSG00000066336	SPI1	0.390956030875154	3.38441387729952	0.00125824234695572	0.00245592757560876
ARC_2	ARC_1	ENSG00000066468	FGFR2	1.90014238648418	14.2414258059227	5.79315158552073e-21	5.56447454925017e-20
ARC_2	ARC_1	ENSG00000068078	FGFR3	2.85562427868533	27.62996974978	5.84365957492752e-36	4.77698769579435e-34
ARC_2	ARC_1	ENSG00000069431	ABCC9	2.16250307350185	15.1473080354858	3.11984337656326e-22	3.25355094984454e-21
ARC_2	ARC_1	ENSG00000069482	GAL	0.627827517025041	2.7440030517601	0.00798089972992717	0.0133014995498786
ARC_1	ARC_2	ENSG00000070808	CAMK2A	0.132182773668919	1.71439568640349	0.0915863420827256	0.118123727421183
ARC_1	ARC_2	ENSG00000072315	TRPC5	1.33676668818146	9.66163121553383	7.27223669287427e-14	4.35142031622805e-13
ARC_1	ARC_2	ENSG00000072657	TRHDE	0.201378390807379	1.47003404232306	0.146745456332108	0.180343742630369
ARC_2	ARC_1	ENSG00000077942	FBLN1	2.31543802865038	19.0015188423851	3.71059013155527e-27	6.1562063546258e-26
ARC_1	ARC_2	ENSG00000077943	ITGA8	1.00396788184786	3.658507123499	0.000534540869919377	0.00110230179390154
ARC_1	ARC_2	ENSG00000078328	RBFOX1	0.183473354034403	1.73598693291419	0.0876678414898789	0.113874598376533
ARC_2	ARC_1	ENSG00000080815	PSEN1	0.602361955961497	6.53246181255836	1.52395755654232e-08	5.29756674417093e-08
ARC_1	ARC_2	ENSG00000083750	RRAGB	0.499470745292783	7.44081272053825	4.27515680211521e-10	1.77321844633188e-09
ARC_1	ARC_2	ENSG00000089199	CHGB	1.49036222348375	23.2368877826099	8.33906773747482e-32	2.53646643681526e-30
ARC_2	ARC_1	ENSG00000091137	SLC26A4	1.07387842351474	2.20381917059622	0.0313617603541734	0.045245227388432
ARC_1	ARC_2	ENSG00000091664	SLC17A6	1.54498800108593	9.84505723131488	3.60594978379273e-14	2.19361945180724e-13
ARC_1	ARC_2	ENSG00000091831	ESR1	0.964064418235239	6.92649005485506	3.24747633460251e-09	1.2477145917157e-08
ARC_2	ARC_1	ENSG00000092529	CAPN3	1.0329943515081	6.76254081607768	6.18593891913619e-09	2.25786770548471e-08
ARC_2	ARC_1	ENSG00000092969	TGFB2	1.14005133819955	8.56748439519502	5.0627773771041e-12	2.33913131980126e-11
ARC_1	ARC_2	ENSG00000095596	CYP26A1	1.7523978914342	4.70932709499329	1.50039117605014e-05	3.77684675350552e-05
ARC_2	ARC_1	ENSG00000095970	TREM2	1.33270837062302	3.67400820791478	0.000508737856542188	0.00105505294112442
ARC_1	ARC_2	ENSG00000099250	NRP1	0.690677106217482	4.77119478295802	1.20134235677402e-05	3.06636335819943e-05
